base_p,n,B,G,rate_mode,replicate,virgen,anidada,mixta,decisiones,anidada_tras_conteo_bajo,decisiones_libres,anida_pudiendo_no
0.3,5,3,3,homogeneous,1,0.6666666666666666,0.33333333333333326,0.0,3.000000000000001,0.0663133333333333,2.0000000000000004,0.0
0.3,5,3,3,homogeneous,2,0.6666666666666666,0.33333333333333326,0.0,3.000000000000001,0.0663133333333333,2.0000000000000004,0.0
0.3,5,3,3,homogeneous,3,0.6666666666666666,0.33333333333333326,0.0,3.000000000000001,0.0663133333333333,2.0000000000000004,0.0
0.3,6,3,3,homogeneous,0,0.6666666666666666,0.2685063333333332,0.06482699999999998,3.000000000000001,0.04230333333333331,2.0000000000000004,0.0
0.3,6,3,3,homogeneous,1,0.6666666666666666,0.2685063333333332,0.06482699999999998,3.000000000000001,0.04230333333333331,2.0000000000000004,0.0
0.3,6,3,3,homogeneous,2,0.6666666666666666,0.2685063333333332,0.06482699999999998,3.000000000000001,0.04230333333333331,2.0000000000000004,0.0
0.3,6,3,3,homogeneous,3,0.6666666666666666,0.2685063333333332,0.06482699999999998,3.000000000000001,0.04230333333333331,2.0000000000000004,0.0
0.3,5,3,3,beta_bimodal,0,0.9732748873941467,0.013328917718719661,0.01339619488713353,3.0000000000000004,0.0,3.0000000000000004,0.02672511260585319
0.3,5,3,3,beta_bimodal,1,0.9675394534496492,0.03246054655035089,0.0,3.0,0.0,3.0,0.03246054655035089
0.3,5,3,3,beta_bimodal,2,0.9042034927459605,0.09447547645927513,0.0013210307947643888,2.9999999999999996,0.0,2.9999999999999996,0.09579650725403951
0.3,5,3,3,beta_bimodal,3,0.9044290195396746,0.047312233328077206,0.048258747132248335,3.0,0.0,3.0,0.09557098046032553
0.3,6,3,3,beta_bimodal,0,0.8891018401315708,0.10558752342721475,0.0053106364412143624,2.9999999999999996,0.0,2.9999999999999996,0.11089815986842912
0.3,6,3,3,beta_bimodal,1,0.8228837948534615,0.15853638818104962,0.018579816965488837,2.9999999999999996,0.0,2.9999999999999996,0.17711620514653847
0.3,6,3,3,beta_bimodal,2,0.7851262744600499,0.10029261765397547,0.11458110788597481,2.9999999999999996,0.0,2.9999999999999996,0.21487372553995024
0.3,6,3,3,beta_bimodal,3,0.9099391879858144,0.02090970011475784,0.06915111189942762,3.000000000000001,0.0,3.000000000000001,0.09006081201418545
0.4,5,3,3,homogeneous,0,1.0,0.0,0.0,2.9999999999999996,0.0,2.9999999999999996,0.0
0.4,5,3,3,homogeneous,1,1.0,0.0,0.0,2.9999999999999996,0.0,2.9999999999999996,0.0
0.4,5,3,3,homogeneous,2,1.0,0.0,0.0,2.9999999999999996,0.0,2.9999999999999996,0.0
0.4,5,3,3,homogeneous,3,1.0,0.0,0.0,2.9999999999999996,0.0,2.9999999999999996,0.0
0.4,6,3,3,homogeneous,0,1.0,0.0,0.0,3.0,0.0,3.0,0.0
0.4,6,3,3,homogeneous,1,1.0,0.0,0.0,3.0,0.0,3.0,0.0
0.4,6,3,3,homogeneous,2,1.0,0.0,0.0,3.0,0.0,3.0,0.0
0.4,6,3,3,homogeneous,3,1.0,0.0,0.0,3.0,0.0,3.0,0.0
0.4,5,3,3,beta_bimodal,0,0.8726614939705158,0.12733850602948424,0.0,3.0,0.0,3.0,0.12733850602948424
0.4,5,3,3,beta_bimodal,1,0.8307655156302886,0.16923448436971142,0.0,3.0000000000000004,0.0,3.0000000000000004,0.16923448436971142
0.4,5,3,3,beta_bimodal,2,0.7924376339335613,0.20756236606643863,0.0,3.0000000000000004,0.0,3.0000000000000004,0.20756236606643863
0.4,5,3,3,beta_bimodal,3,0.7940694892745029,0.20593051072549692,0.0,3.0000000000000004,0.0,3.0000000000000004,0.20593051072549692
0.4,6,3,3,beta_bimodal,0,0.7462942242749099,0.09103688164573476,0.16266889407935536,3.0000000000000004,0.0,3.0000000000000004,0.2537057757250902
0.4,6,3,3,beta_bimodal,1,0.939534425948103,0.060465574051897036,0.0,3.000000000000001,0.0,3.000000000000001,0.060465574051897036
0.4,6,3,3,beta_bimodal,2,0.9078192313082493,0.09218076869175061,0.0,3.000000000000001,0.0,3.000000000000001,0.09218076869175061
0.4,6,3,3,beta_bimodal,3,0.8804380306751581,0.11956196932484192,0.0,2.9999999999999996,0.0,2.9999999999999996,0.11956196932484192
0.5,5,3,3,homogeneous,0,1.0,0.0,0.0,3.0,0.0,3.0,0.0
0.5,5,3,3,homogeneous,1,1.0,0.0,0.0,3.0,0.0,3.0,0.0
0.5,5,3,3,homogeneous,2,1.0,0.0,0.0,3.0,0.0,3.0,0.0
0.5,5,3,3,homogeneous,3,1.0,0.0,0.0,3.0,0.0,3.0,0.0
0.5,6,3,3,homogeneous,0,1.0,0.0,0.0,3.0,0.0,3.0,0.0
0.5,6,3,3,homogeneous,1,1.0,0.0,0.0,3.0,0.0,3.0,0.0
0.5,6,3,3,homogeneous,2,1.0,0.0,0.0,3.0,0.0,3.0,0.0
0.5,6,3,3,homogeneous,3,1.0,0.0,0.0,3.0,0.0,3.0,0.0
0.5,5,3,3,beta_bimodal,0,0.7943189246953422,0.20568107530465782,0.0,3.0,0.0,3.0,0.20568107530465782
0.5,5,3,3,beta_bimodal,1,0.7713214088116636,0.07625559946775894,0.15242299172057747,3.0000000000000004,0.0,3.0000000000000004,0.22867859118833644
0.5,5,3,3,beta_bimodal,2,0.8388616520346461,0.05124036531867651,0.10989798264667743,2.9999999999999996,0.0,2.9999999999999996,0.16113834796535392
0.5,5,3,3,beta_bimodal,3,0.8662050628503586,0.045795193694866496,0.08799974345477489,3.000000000000001,0.0,3.000000000000001,0.13379493714964139
0.5,6,3,3,beta_bimodal,0,0.7697628238318928,0.1236053103311019,0.10663186583700537,2.9999999999999996,0.0,2.9999999999999996,0.23023717616810732
0.5,6,3,3,beta_bimodal,1,0.8359797014018581,0.16402029859814193,0.0,2.9999999999999996,0.0,2.9999999999999996,0.16402029859814193
0.5,6,3,3,beta_bimodal,2,0.7798725720365388,0.2201274279634613,0.0,2.9999999999999996,0.0,2.9999999999999996,0.2201274279634613
0.5,6,3,3,beta_bimodal,3,0.9202991166456008,0.022656738704583915,0.05704414464981524,2.9999999999999996,0.0,2.9999999999999996,0.07970088335439916
0.6,5,3,3,homogeneous,0,1.0,0.0,0.0,3.0,0.0,3.0,0.0
0.6,5,3,3,homogeneous,1,1.0,0.0,0.0,3.0,0.0,3.0,0.0
0.6,5,3,3,homogeneous,2,1.0,0.0,0.0,3.0,0.0,3.0,0.0
0.6,5,3,3,homogeneous,3,1.0,0.0,0.0,3.0,0.0,3.0,0.0
0.6,6,3,3,homogeneous,0,1.0,0.0,0.0,2.999999999999999,0.0,2.999999999999999,0.0
0.6,6,3,3,homogeneous,1,1.0,0.0,0.0,2.999999999999999,0.0,2.999999999999999,0.0
0.6,6,3,3,homogeneous,2,1.0,0.0,0.0,2.999999999999999,0.0,2.999999999999999,0.0
0.6,6,3,3,homogeneous,3,1.0,0.0,0.0,2.999999999999999,0.0,2.999999999999999,0.0
0.6,5,3,3,beta_bimodal,0,0.8529229732552664,0.1470770267447336,0.0,3.0,0.0,3.0,0.1470770267447336
0.6,5,3,3,beta_bimodal,1,1.0,0.0,0.0,3.0000000000000004,0.0,3.0000000000000004,0.0
0.6,5,3,3,beta_bimodal,2,0.883599239544572,0.11640076045542815,0.0,2.999999999999999,0.0,2.999999999999999,0.11640076045542815
0.6,5,3,3,beta_bimodal,3,0.840259474090356,0.15974052590964402,0.0,3.0,0.0,3.0,0.15974052590964402
0.6,6,3,3,beta_bimodal,0,0.8425193564440111,0.1574806435559889,0.0,2.9999999999999996,0.0,2.9999999999999996,0.1574806435559889
0.6,6,3,3,beta_bimodal,1,0.9572025474998295,0.04279745250017069,0.0,2.999999999999999,0.0,2.999999999999999,0.04279745250017069
0.6,6,3,3,beta_bimodal,2,0.9635771084119313,0.036422891588068614,0.0,3.0000000000000004,0.0,3.0000000000000004,0.036422891588068614
0.6,6,3,3,beta_bimodal,3,0.7985388997256914,0.20146110027430875,0.0,3.0,0.0,3.0,0.20146110027430875
0.7,5,3,3,homogeneous,0,1.0,0.0,0.0,2.9999999999999996,0.0,2.9999999999999996,0.0
0.7,5,3,3,homogeneous,1,1.0,0.0,0.0,2.9999999999999996,0.0,2.9999999999999996,0.0
0.7,5,3,3,homogeneous,2,1.0,0.0,0.0,2.9999999999999996,0.0,2.9999999999999996,0.0
0.7,5,3,3,homogeneous,3,1.0,0.0,0.0,2.9999999999999996,0.0,2.9999999999999996,0.0
0.7,6,3,3,homogeneous,0,1.0,0.0,0.0,2.9999999999999996,0.0,2.9999999999999996,0.0
0.7,6,3,3,homogeneous,1,1.0,0.0,0.0,2.9999999999999996,0.0,2.9999999999999996,0.0
0.7,6,3,3,homogeneous,2,1.0,0.0,0.0,2.9999999999999996,0.0,2.9999999999999996,0.0
0.7,6,3,3,homogeneous,3,1.0,0.0,0.0,2.9999999999999996,0.0,2.9999999999999996,0.0
0.7,5,3,3,beta_bimodal,0,1.0,0.0,0.0,3.0000000000000004,0.0,3.0000000000000004,0.0
0.7,5,3,3,beta_bimodal,1,1.0,0.0,0.0,3.0000000000000004,0.0,3.0000000000000004,0.0
0.7,5,3,3,beta_bimodal,2,1.0,0.0,0.0,3.0,0.0,3.0,0.0
0.7,5,3,3,beta_bimodal,3,1.0,0.0,0.0,2.9999999999999996,0.0,2.9999999999999996,0.0
0.7,6,3,3,beta_bimodal,0,0.8824282433646197,0.11757175663538026,0.0,3.0,0.0,3.0,0.11757175663538026
0.7,6,3,3,beta_bimodal,1,0.8511780087609454,0.14882199123905462,0.0,2.9999999999999996,0.0,2.9999999999999996,0.14882199123905462
0.7,6,3,3,beta_bimodal,2,0.9241357425839576,0.07586425741604229,0.0,3.0000000000000004,0.0,3.0000000000000004,0.07586425741604229
0.7,6,3,3,beta_bimodal,3,1.0,0.0,0.0,2.9999999999999996,0.0,2.9999999999999996,0.0
0.8,5,3,3,homogeneous,0,1.0,0.0,0.0,3.0000000000000004,0.0,3.0000000000000004,0.0
0.8,5,3,3,homogeneous,1,1.0,0.0,0.0,3.0000000000000004,0.0,3.0000000000000004,0.0
0.8,5,3,3,homogeneous,2,1.0,0.0,0.0,3.0000000000000004,0.0,3.0000000000000004,0.0
0.8,5,3,3,homogeneous,3,1.0,0.0,0.0,3.0000000000000004,0.0,3.0000000000000004,0.0
0.8,6,3,3,homogeneous,0,1.0,0.0,0.0,3.0000000000000004,0.0,3.0000000000000004,0.0
0.8,6,3,3,homogeneous,1,1.0,0.0,0.0,3.0000000000000004,0.0,3.0000000000000004,0.0
0.8,6,3,3,homogeneous,2,1.0,0.0,0.0,3.0000000000000004,0.0,3.0000000000000004,0.0
0.8,6,3,3,homogeneous,3,1.0,0.0,0.0,3.0000000000000004,0.0,3.0000000000000004,0.0
0.8,5,3,3,beta_bimodal,0,1.0,0.0,0.0,3.0,0.0,3.0,0.0
0.8,5,3,3,beta_bimodal,1,1.0,0.0,0.0,3.0,0.0,3.0,0.0
0.8,5,3,3,beta_bimodal,2,1.0,0.0,0.0,3.0,0.0,3.0,0.0
0.8,5,3,3,beta_bimodal,3,1.0,0.0,0.0,3.0,0.0,3.0,0.0
0.8,6,3,3,beta_bimodal,0,1.0,0.0,0.0,3.0000000000000004,0.0,3.0000000000000004,0.0
0.8,6,3,3,beta_bimodal,1,1.0,0.0,0.0,3.0,0.0,3.0,0.0
0.8,6,3,3,beta_bimodal,2,1.0,0.0,0.0,3.0000000000000004,0.0,3.0000000000000004,0.0
0.8,6,3,3,beta_bimodal,3,1.0,0.0,0.0,3.0,0.0,3.0,0.0
0.9,5,3,3,homogeneous,0,1.0,0.0,0.0,2.9999999999999996,0.0,2.9999999999999996,0.0
0.9,5,3,3,homogeneous,1,1.0,0.0,0.0,2.9999999999999996,0.0,2.9999999999999996,0.0
0.9,5,3,3,homogeneous,2,1.0,0.0,0.0,2.9999999999999996,0.0,2.9999999999999996,0.0
0.9,5,3,3,homogeneous,3,1.0,0.0,0.0,2.9999999999999996,0.0,2.9999999999999996,0.0
0.9,6,3,3,homogeneous,0,1.0,0.0,0.0,2.9999999999999996,0.0,2.9999999999999996,0.0
0.9,6,3,3,homogeneous,1,1.0,0.0,0.0,2.9999999999999996,0.0,2.9999999999999996,0.0
0.9,6,3,3,homogeneous,2,1.0,0.0,0.0,2.9999999999999996,0.0,2.9999999999999996,0.0
0.9,6,3,3,homogeneous,3,1.0,0.0,0.0,2.9999999999999996,0.0,2.9999999999999996,0.0
0.9,5,3,3,beta_bimodal,0,1.0,0.0,0.0,3.0000000000000004,0.0,3.0000000000000004,0.0
0.9,5,3,3,beta_bimodal,1,1.0,0.0,0.0,3.0,0.0,3.0,0.0
0.9,5,3,3,beta_bimodal,2,1.0,0.0,0.0,2.9999999999999996,0.0,2.9999999999999996,0.0
0.9,5,3,3,beta_bimodal,3,1.0,0.0,0.0,3.0,0.0,3.0,0.0
0.9,6,3,3,beta_bimodal,0,1.0,0.0,0.0,2.9999999999999996,0.0,2.9999999999999996,0.0
0.9,6,3,3,beta_bimodal,1,1.0,0.0,0.0,3.0,0.0,3.0,0.0
0.9,6,3,3,beta_bimodal,2,1.0,0.0,0.0,3.0,0.0,3.0,0.0
0.9,6,3,3,beta_bimodal,3,1.0,0.0,0.0,3.000000000000001,0.0,3.000000000000001,0.0
