base_p,n,B,G,rate_mode,utility_mode,instances,ratio_laminar_opt_min,ratio_laminar_opt_max,ratio_laminar_opt_mean,ratio_laminar_opt_median,ratio_laminar_opt_worst_instance,ratio_laminar_opt_best_instance,ratio_greedy_laminar_min,ratio_greedy_laminar_max,ratio_greedy_laminar_mean,ratio_greedy_laminar_median,ratio_greedy_laminar_worst_instance,ratio_greedy_laminar_best_instance,ratio_static_opt_min,ratio_static_opt_max,ratio_static_opt_mean,ratio_static_opt_median,ratio_static_opt_worst_instance,ratio_static_opt_best_instance,ratio_greedy_static_min,ratio_greedy_static_max,ratio_greedy_static_mean,ratio_greedy_static_median,ratio_greedy_static_worst_instance,ratio_greedy_static_best_instance
0.05,5,3,3,beta_bimodal,flat,3,0.9976418680635094,0.9995309995121094,0.9988556462003686,0.999394071025487,92,90,0.9856108750965795,0.9981434451734225,0.9911449198712182,0.9896804393436526,92,90,0.9981145428755405,0.9996538819018843,0.9991041183775474,0.9995439303552173,92,90,0.9851441216177855,0.9980207484539864,0.9908989762987622,0.9895320588245148,92,90
0.05,5,3,3,beta_bimodal,log_uniform,3,0.9947085302557596,0.9999284627856744,0.99725670530495,0.9971331228734158,94,95,0.9797382435139816,0.9975369423971977,0.9863634265979059,0.9818150938825382,95,94,0.9950302656800321,0.999923029875153,0.9968936113504515,0.9957275384961696,94,95,0.9797435667539235,0.9972143964581852,0.9867196674833768,0.9832010392380217,95,94
0.05,5,3,3,homogeneous,flat,3,0.9899081042338604,0.9899081042338604,0.9899081042338604,0.9899081042338604,84,84,0.9822144071576797,0.9822144071576797,0.9822144071576796,0.9822144071576797,84,84,0.982951927507295,0.982951927507295,0.982951927507295,0.982951927507295,84,84,0.9891653645833335,0.9891653645833335,0.9891653645833335,0.9891653645833335,84,84
0.05,5,3,3,homogeneous,log_uniform,3,0.9934163319273784,0.9958599177389443,0.99446796460639,0.994127644152847,89,87,0.9873203855182486,0.9888489242976151,0.9879434364483043,0.9876609995290493,88,87,0.9885219161650431,0.9923445989101715,0.9904257757740341,0.9904108122468877,88,87,0.9906581745750319,0.9929192998442967,0.9919764447788327,0.9923518599171698,89,88
0.05,6,2,2,beta_bimodal,flat,3,0.9999703992867903,1.0,0.9999891835843897,0.9999971514663788,103,104,0.9999999999999999,1.0,1.0,1.0,103,102,0.9999703992867902,1.0000000000000002,0.9999891835843897,0.9999971514663787,103,104,0.9999999999999998,1.0000000000000002,1.0,1.0,104,102
0.05,6,2,2,beta_bimodal,log_uniform,3,0.9963782994697413,0.9998279999236801,0.9979960742603909,0.9977819233877514,107,106,0.9444545677880061,0.9999999999999998,0.9700263165861097,0.9656243819703232,106,107,0.9963782994697411,0.9998279999236799,0.9979960742603907,0.9977819233877513,107,106,0.9444545677880063,1.0,0.9700263165861099,0.9656243819703234,106,107
0.05,6,2,2,homogeneous,flat,3,1.0,1.0,1.0,1.0,96,96,1.0,1.0,1.0,1.0,96,96,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,96,96,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,96,96
0.05,6,2,2,homogeneous,log_uniform,3,0.9959171168089006,0.9999999999999998,0.9981681076993437,0.998587206289131,100,99,0.9999999999999998,1.0,1.0,1.0,101,99,0.9959171168089009,1.0000000000000002,0.9981681076993438,0.9985872062891303,100,99,0.9999999999999997,1.0000000000000007,1.0,0.9999999999999997,99,101
0.05,6,2,3,beta_bimodal,flat,3,0.9997686720960741,1.0,0.9999024445335486,0.9999386615045717,114,115,0.9999999999999998,1.0,1.0,1.0,115,114,0.9997686720960745,1.0000000000000002,0.9999024445335488,0.9999386615045716,114,115,0.9999999999999997,1.0000000000000002,0.9999999999999999,0.9999999999999997,114,116
0.05,6,2,3,beta_bimodal,log_uniform,3,0.9904930712329181,0.999796551084816,0.9946304080536382,0.9936016018431805,119,118,0.9846059251415954,1.0,0.991502426930048,0.9899013556485486,117,119,0.9781653621353947,0.9999935236196533,0.9890713989639677,0.9890553111368552,117,118,0.989706371006493,1.0014536700626078,0.997101281068757,1.0001438021371702,118,119
0.05,6,2,3,homogeneous,flat,3,1.0,1.0,1.0,1.0,108,108,1.0,1.0,1.0,1.0,108,108,0.9999999999999994,0.9999999999999994,0.9999999999999994,0.9999999999999994,108,108,1.0000000000000004,1.0000000000000004,1.0000000000000004,1.0000000000000004,108,108
0.05,6,2,3,homogeneous,log_uniform,3,0.98642726318483,0.9883875805043507,0.9870820536411827,0.9864313172343679,112,111,0.9999999999999997,1.0,0.9999999999999999,1.0,111,112,0.9771573895398687,0.9883875805043505,0.9824070891118212,0.981676297291244,113,111,0.9999999999999998,1.0094907205264714,1.004776788885656,1.004839646130497,111,113
0.05,6,3,2,beta_bimodal,flat,3,0.9977299613096362,1.0,0.9992365563555105,0.9999797077568953,127,128,0.9999999999999997,0.9999999999999999,0.9999999999999997,0.9999999999999997,127,126,0.9977299613096356,0.9999999999999999,0.9992365563555103,0.9999797077568954,127,128,0.9999999999999997,1.0000000000000002,1.0,0.9999999999999999,126,127
0.05,6,3,2,beta_bimodal,log_uniform,3,0.9981923233057645,0.9994641847667208,0.9988754329113694,0.998969790661623,129,131,0.9999223041496728,1.0,0.9999666823258814,0.9999777428279712,131,130,0.9908277870120945,0.9992348222865216,0.9954322818319251,0.9962342361971596,130,131,1.0001518244331646,1.008217375164741,1.0034374624514562,1.0019431877564628,131,130
0.05,6,3,2,homogeneous,flat,3,1.0,1.0,1.0,1.0,120,120,1.0,1.0,1.0,1.0,120,120,1.0,1.0,1.0,1.0,120,120,1.0,1.0,1.0,1.0,120,120
0.05,6,3,2,homogeneous,log_uniform,3,0.9884233090635117,0.991757239689567,0.990391511186019,0.990993984804978,125,124,0.9937559965837487,1.0,0.9972301879876907,0.9979345673793231,123,125,0.9801394251715996,0.9884233090635122,0.9840147109704738,0.9834813986763096,123,125,0.9999999999999996,1.0063320295299858,1.0036977941815295,1.0047613530146027,125,124
0.05,6,3,3,beta_bimodal,flat,3,0.99115368131962,0.9934671156748484,0.9920942681636532,0.9916620074964914,138,140,0.9625612134012401,0.9631952778830348,0.962831671581818,0.9627385234611789,140,139,0.9991653969869144,0.999552915846974,0.9993811983034812,0.9994252820765546,139,140,0.9547705554277451,0.9567006380326664,0.9558110683707876,0.9559620116519512,138,140
0.05,6,3,3,beta_bimodal,log_uniform,3,0.9997873868936111,0.9999436315379726,0.9998877397454288,0.9999322008047026,141,142,0.966990821286103,0.9997560478755185,0.9862182027881655,0.991907739202875,143,142,0.9998832145368775,0.9999649653189318,0.9999321710695336,0.9999483333527919,141,143,0.9669591371915374,0.9997513469648367,0.9861743866920847,0.9918126759198801,143,142
0.05,6,3,3,homogeneous,flat,3,0.9992287203314942,0.9992287203314942,0.9992287203314941,0.9992287203314942,132,132,0.9818324013157895,0.9818324013157895,0.9818324013157896,0.9818324013157895,132,132,0.9992287203314942,0.9992287203314942,0.9992287203314941,0.9992287203314942,132,132,0.9818324013157895,0.9818324013157895,0.9818324013157896,0.9818324013157895,132,132
0.05,6,3,3,homogeneous,log_uniform,3,0.9912626693696486,0.9961868675604317,0.9934221135013906,0.9928168035740915,136,135,0.9876668664877565,0.9894805472970145,0.9887219956235208,0.9890185730857913,136,137,0.9947256522919377,0.9956352844132508,0.9952792808860926,0.9954769059530894,135,137,0.9834856928049577,0.9904714048655764,0.9868788623945676,0.9866794895131685,136,135
0.1,4,2,2,beta_bimodal,flat,3,0.9974794138136984,1.0,0.9991231366898291,0.9998899962557888,152,150,0.9999999999999999,1.0,1.0,1.0,152,150,0.9974794138136983,1.0000000000000002,0.9991231366898291,0.9998899962557888,152,150,0.9999999999999998,1.0,1.0,1.0,150,151
0.1,4,2,2,beta_bimodal,log_uniform,3,0.9628697679402952,0.9999835121993651,0.9875922812244374,0.9999235635336522,155,154,0.9898501063314531,1.0,0.9966167021104844,0.9999999999999999,155,153,0.9628697679402952,0.9999835121993651,0.9875809732286295,0.9998896395462279,155,154,0.9898501063314531,1.000033927731704,0.9966280113543857,0.9999999999999999,155,153
0.1,4,2,2,homogeneous,flat,3,1.0,1.0,1.0,1.0,144,144,1.0,1.0,1.0,1.0,144,144,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,144,144,0.9999999999999998,0.9999999999999998,0.9999999999999997,0.9999999999999998,144,144
0.1,4,2,2,homogeneous,log_uniform,3,0.9854335230888387,0.9949116957860928,0.9899798498918982,0.9895943308007634,147,148,0.9999999999999999,1.0,1.0,1.0,149,147,0.963678877985998,0.9895943308007639,0.9795689106252005,0.9854335230888391,148,149,0.9999999999999994,1.0324099848129582,1.0108033282709858,0.9999999999999996,149,148
0.1,4,2,3,beta_bimodal,flat,3,0.999791992984122,0.9999998593184547,0.9999304734667351,0.9999995680976288,164,163,0.9961025338962127,0.9998913788459574,0.9980233661280051,0.9980761856418451,162,164,0.9993728191519385,0.9998629641831094,0.9996231485978297,0.9996336624584412,162,164,0.9967272319077602,0.999820405630071,0.9983298164958517,0.998441811949724,162,164
0.1,4,2,3,beta_bimodal,log_uniform,3,0.9916289917375056,1.0,0.9971969637460444,0.9999618995006274,167,165,0.9628900297086095,1.0,0.9876300099028699,1.0,165,166,0.9878510094327867,0.9997417772959939,0.993852493624792,0.9939646941455953,165,166,0.974732040068968,1.0002201790598657,0.9908674448159909,0.9976501153191387,165,166
0.1,4,2,3,homogeneous,flat,3,1.0,1.0,1.0,1.0,156,156,0.9527777777777781,0.9527777777777781,0.9527777777777781,0.9527777777777781,156,156,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,156,156,0.9527777777777777,0.9527777777777777,0.9527777777777778,0.9527777777777777,156,156
0.1,4,2,3,homogeneous,log_uniform,3,0.9914448245186194,0.9974928911630471,0.995032179979746,0.9961588242575719,159,161,0.9699727069692369,0.9858665940358672,0.979583308726657,0.9829106251748667,160,161,0.9952405487170868,0.9978941948238119,0.9968133439981385,0.9973052884535166,161,159,0.9688576632685177,0.9880977221572682,0.9778378262692199,0.976558093381874,160,161
0.1,4,3,2,beta_bimodal,flat,3,0.9996268888821102,0.9998616076728918,0.9997645822967062,0.9998052503351166,175,176,0.9937113267694304,0.999388582235713,0.9970746613138809,0.9981240749364988,174,175,0.9998120233297223,0.9999209506327763,0.9998543098295801,0.9998299555262415,176,174,0.993596344983898,0.9991856052350179,0.9969851752623454,0.9981735755681201,174,175
0.1,4,3,2,beta_bimodal,log_uniform,3,0.9996720413775266,1.0,0.9998786506456465,0.9999639105594127,179,177,0.9848932335274947,0.9999278499518341,0.9937019908689718,0.9962848891275866,179,178,0.9994939495319279,0.9998917631151018,0.9996874766074635,0.9996767171753608,179,178,0.9850687237880997,1.0,0.9938919329553243,0.9966070750778733,179,178
0.1,4,3,2,homogeneous,flat,3,0.9910233393177739,0.9910233393177739,0.9910233393177738,0.9910233393177739,168,168,0.9787784679089028,0.9787784679089028,0.9787784679089028,0.9787784679089028,168,168,0.9746088740702751,0.9746088740702751,0.9746088740702751,0.9746088740702751,168,168,0.9952631578947362,0.9952631578947362,0.9952631578947363,0.9952631578947362,168,168
0.1,4,3,2,homogeneous,log_uniform,3,0.9928522865074687,0.9939859433486921,0.993325888761718,0.9931394364289934,172,171,0.9790955015109023,0.9895827032029804,0.9836204097185565,0.9821830244417865,172,171,0.9830897367698436,0.990263220527297,0.9865121199668417,0.9861834026033851,172,171,0.9888183865883029,0.993302867737527,0.9904106986565634,0.9891108416438602,172,171
0.1,4,3,3,beta_bimodal,flat,3,0.99791034101656,0.999999820648514,0.9992457416261767,0.9998270632134564,187,188,0.9948672426360182,0.9999973071742573,0.9979086622273753,0.9988614368718505,187,188,0.9970796869585705,0.9999999990403284,0.9990235903845451,0.9999910851547364,187,188,0.9956960535355535,0.9999971287829231,0.9981302608459344,0.9986976002193265,187,188
0.1,4,3,3,beta_bimodal,log_uniform,3,0.9983891968858868,0.9999460082575358,0.9994003221885303,0.9998657614221682,189,191,0.9579203450145544,0.9998438996696435,0.9809512875671577,0.985089618017275,189,190,0.9998308610901203,0.9999347538845585,0.9998937671561469,0.9999156864937621,190,189,0.9564397279166329,0.9998788004568191,0.9804793395213495,0.9851194901905962,189,190
0.1,4,3,3,homogeneous,flat,3,0.9752650176678445,0.9752650176678445,0.9752650176678445,0.9752650176678445,180,180,0.9368530020703936,0.9368530020703936,0.9368530020703935,0.9368530020703936,180,180,0.9591115598182742,0.9591115598182742,0.9591115598182741,0.9591115598182742,180,180,0.9526315789473679,0.9526315789473679,0.9526315789473679,0.9526315789473679,180,180
0.1,4,3,3,homogeneous,log_uniform,3,0.9918015884847236,0.994016724214471,0.9929689699370621,0.9930885971119915,184,183,0.9785194951263158,0.9851065105251382,0.9818142224476943,0.9818166616916288,184,185,0.9867927977031244,0.9878348658026683,0.9873212222025671,0.9873360031019086,184,183,0.9834862920447891,0.9908461146659138,0.987431088322334,0.9879608582562993,184,185
0.1,5,2,2,beta_bimodal,flat,3,1.0,1.0,1.0,1.0,198,198,1.0,1.0,1.0,1.0,198,198,1.0,1.0000000000000002,1.0,1.0000000000000002,198,199,0.9999999999999998,1.0,1.0,0.9999999999999999,200,198
0.1,5,2,2,beta_bimodal,log_uniform,3,0.993338791710417,0.9994917574501774,0.9955702388021175,0.9938801672457581,201,202,0.9380696812646414,0.9999999999999999,0.9757268232830096,0.9891107885843878,201,202,0.9873055780991692,0.9994917574501774,0.9933787090865877,0.9933387917104167,203,202,0.9380696812646416,0.9999999999999999,0.9779223600380101,0.995697398849389,201,202
0.1,5,2,2,homogeneous,flat,3,1.0,1.0,1.0,1.0,192,192,1.0,1.0,1.0,1.0,192,192,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,192,192,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,192,192
0.1,5,2,2,homogeneous,log_uniform,3,0.9890810407407555,1.0,0.9937049399758697,0.9920337791868533,197,196,0.9999999999999998,1.0,1.0,1.0,196,195,0.989081040740756,1.0000000000000004,0.9934814312529682,0.9913632530181482,197,196,0.9999999999999994,1.0006763677861406,1.0002254559287131,0.9999999999999996,196,195
0.1,5,2,3,beta_bimodal,flat,3,0.9787321609793775,0.9982300047823549,0.986441760762384,0.9823631165254195,210,211,0.9984014745424422,1.0,0.999467158180814,1.0,211,210,0.9976306991209632,0.9999999031300708,0.9992081804438807,0.9999939390806082,211,210,0.9787322557891018,0.9990012432309583,0.9867008565350766,0.9823690705851694,210,211
0.1,5,2,3,beta_bimodal,log_uniform,3,0.9908853181915105,0.999998398477993,0.9964034152999975,0.998326529230489,214,213,0.8414772477747343,1.0,0.9471588979938819,0.9999994462069113,215,214,0.9897824594108501,0.9999909216536678,0.9959566912006306,0.998096692537374,214,213,0.8416710189287779,1.0011142436099716,0.9475973952112411,1.0000069230949737,215,214
0.1,5,2,3,homogeneous,flat,3,1.0,1.0,1.0,1.0,204,204,0.9999999999999998,0.9999999999999998,0.9999999999999997,0.9999999999999998,204,204,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,204,204,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,204,204
0.1,5,2,3,homogeneous,log_uniform,3,0.9927557674431545,0.9985648664437392,0.9953158355090128,0.9946268726401446,207,208,0.9782215120230658,0.9993300281807233,0.9860014920915958,0.9804529360709983,209,207,0.994626872640145,0.9985648664437398,0.9960319177029425,0.9949040140249429,209,208,0.9782215120230654,0.9971722247274709,0.9852822242738446,0.9804529360709977,209,207
0.1,5,3,2,beta_bimodal,flat,3,0.9633440389521216,0.9947237436885605,0.9830422474279733,0.9910589596432375,222,223,0.9923952561924853,0.9977008786910525,0.9955980925880393,0.9966981428805803,224,222,0.982570980677138,0.9972052641343593,0.9910463126670406,0.9933626931896246,222,223,0.9781778752329504,0.9942178843933823,0.9874965086270046,0.9900937662546809,222,223
0.1,5,3,2,beta_bimodal,log_uniform,3,0.999668770983165,0.9999999948808479,0.9998880337799497,0.999995335475836,227,226,0.9698728854099994,0.9999994780849883,0.9898499234155019,0.9996774067515183,225,226,0.9992243564340624,0.9999933680452433,0.9997352989409517,0.9999881723435496,227,225,0.96987479358024,1.0001220227990644,0.9900027057117518,1.0000113007559508,225,227
0.1,5,3,2,homogeneous,flat,3,0.995714100177497,0.995714100177497,0.995714100177497,0.995714100177497,216,216,0.9999999999999998,0.9999999999999998,0.9999999999999997,0.9999999999999998,216,216,0.9957141001774974,0.9957141001774974,0.9957141001774974,0.9957141001774974,216,216,0.9999999999999993,0.9999999999999993,0.9999999999999994,0.9999999999999993,216,216
0.1,5,3,2,homogeneous,log_uniform,3,0.9809186960217811,0.9854263452826032,0.9826600035368992,0.9816349693063134,221,220,0.9946976784283352,0.9990653820154961,0.9972333410404777,0.9979369626776017,219,221,0.9668307517752471,0.9805780255622178,0.9759548638646821,0.9804558142565812,219,220,0.9995370495203985,1.0099285973684506,1.0041122526418687,1.0028711110367567,221,219
0.1,5,3,3,beta_bimodal,flat,3,0.9863617937666737,0.998207830996533,0.992577178091164,0.9931619095102854,236,235,0.9849389336902691,0.9893066778281825,0.986469252033969,0.9851621445834551,235,234,0.9883965979591944,0.9998052318092756,0.9945820889237242,0.9955444370027028,236,235,0.9831339991343001,0.9869390784817844,0.9844794541854851,0.9833652849403706,236,234
0.1,5,3,3,beta_bimodal,log_uniform,3,0.9974045422182976,0.9992764034536403,0.9983178787316856,0.9982726905231188,238,237,0.8963491685509962,0.9905567621088565,0.9504827400529217,0.9645422894989123,237,238,0.9967958570033217,0.9998253229390272,0.998770622630342,0.9996906879486772,239,237,0.8958570590664298,0.9882915043249306,0.9500399667154747,0.9659713367550639,237,238
