region,iteration,candidate_ratio,incumbent_ratio,accepted,coordinate,p,u,n,B,G,seed_instance
low,15,0.9438853569610721,0.9438853569610721,1,p[1],"[0.26463381369138794, 0.25046278282038487, 0.2, 0.2, 0.2, 0.2]","[0.3045895320760726, 0.634761975338223, 0.5411021075115671, 1.6674962821601178, 1.4150427752476245, 1.437007327666395]",6,3,2,555
low,16,0.9481747253124206,0.9438853569610721,0,log_u[5],"[0.26463381369138794, 0.25046278282038487, 0.2, 0.2, 0.2, 0.2]","[0.3045895320760726, 0.634761975338223, 0.5411021075115671, 1.6674962821601178, 1.4150427752476245, 1.437007327666395]",6,3,2,555
low,17,0.9452577200093205,0.9438853569610721,0,p[5],"[0.26463381369138794, 0.25046278282038487, 0.2, 0.2, 0.2, 0.2]","[0.3045895320760726, 0.634761975338223, 0.5411021075115671, 1.6674962821601178, 1.4150427752476245, 1.437007327666395]",6,3,2,555
low,18,0.9472535937749054,0.9438853569610721,0,log_u[2],"[0.26463381369138794, 0.25046278282038487, 0.2, 0.2, 0.2, 0.2]","[0.3045895320760726, 0.634761975338223, 0.5411021075115671, 1.6674962821601178, 1.4150427752476245, 1.437007327666395]",6,3,2,555
low,19,0.944514743560242,0.9438853569610721,0,p[2],"[0.26463381369138794, 0.25046278282038487, 0.2, 0.2, 0.2, 0.2]","[0.3045895320760726, 0.634761975338223, 0.5411021075115671, 1.6674962821601178, 1.4150427752476245, 1.437007327666395]",6,3,2,555
low,20,0.9456462603313422,0.9438853569610721,0,log_u[2],"[0.26463381369138794, 0.25046278282038487, 0.2, 0.2, 0.2, 0.2]","[0.3045895320760726, 0.634761975338223, 0.5411021075115671, 1.6674962821601178, 1.4150427752476245, 1.437007327666395]",6,3,2,555
low,21,0.9451907350591988,0.9438853569610721,0,p[5],"[0.26463381369138794, 0.25046278282038487, 0.2, 0.2, 0.2, 0.2]","[0.3045895320760726, 0.634761975338223, 0.5411021075115671, 1.6674962821601178, 1.4150427752476245, 1.437007327666395]",6,3,2,555
low,22,0.9464432775169349,0.9438853569610721,0,log_u[3],"[0.26463381369138794, 0.25046278282038487, 0.2, 0.2, 0.2, 0.2]","[0.3045895320760726, 0.634761975338223, 0.5411021075115671, 1.6674962821601178, 1.4150427752476245, 1.437007327666395]",6,3,2,555
low,23,0.9467526285569831,0.9438853569610721,0,p[2],"[0.26463381369138794, 0.25046278282038487, 0.2, 0.2, 0.2, 0.2]","[0.3045895320760726, 0.634761975338223, 0.5411021075115671, 1.6674962821601178, 1.4150427752476245, 1.437007327666395]",6,3,2,555
low,24,0.9445932220314159,0.9438853569610721,0,log_u[1],"[0.26463381369138794, 0.25046278282038487, 0.2, 0.2, 0.2, 0.2]","[0.3045895320760726, 0.634761975338223, 0.5411021075115671, 1.6674962821601178, 1.4150427752476245, 1.437007327666395]",6,3,2,555
middle,0,0.9350297780184084,0.9350297780184084,1,seed,"[0.3, 0.3, 0.3, 0.3]","[1.0, 1.0, 1.0, 1.0]",4,3,3,756
middle,1,0.9368827823100043,0.9350297780184084,0,p[3],"[0.3, 0.3, 0.3, 0.3]","[1.0, 1.0, 1.0, 1.0]",4,3,3,756
middle,2,0.9429623920966844,0.9350297780184084,0,log_u[0],"[0.3, 0.3, 0.3, 0.3]","[1.0, 1.0, 1.0, 1.0]",4,3,3,756
middle,3,0.9601094879647039,0.9350297780184084,0,p[1],"[0.3, 0.3, 0.3, 0.3]","[1.0, 1.0, 1.0, 1.0]",4,3,3,756
middle,4,0.946924433444874,0.9350297780184084,0,log_u[0],"[0.3, 0.3, 0.3, 0.3]","[1.0, 1.0, 1.0, 1.0]",4,3,3,756
middle,5,0.9573209497640932,0.9350297780184084,0,p[1],"[0.3, 0.3, 0.3, 0.3]","[1.0, 1.0, 1.0, 1.0]",4,3,3,756
middle,6,0.9421333327642031,0.9350297780184084,0,log_u[0],"[0.3, 0.3, 0.3, 0.3]","[1.0, 1.0, 1.0, 1.0]",4,3,3,756
middle,7,0.9548294727942804,0.9350297780184084,0,p[3],"[0.3, 0.3, 0.3, 0.3]","[1.0, 1.0, 1.0, 1.0]",4,3,3,756
middle,8,0.9454117884851675,0.9350297780184084,0,log_u[2],"[0.3, 0.3, 0.3, 0.3]","[1.0, 1.0, 1.0, 1.0]",4,3,3,756
middle,9,0.9382804502173363,0.9350297780184084,0,p[2],"[0.3, 0.3, 0.3, 0.3]","[1.0, 1.0, 1.0, 1.0]",4,3,3,756
middle,10,0.9414491229840452,0.9350297780184084,0,log_u[1],"[0.3, 0.3, 0.3, 0.3]","[1.0, 1.0, 1.0, 1.0]",4,3,3,756
middle,11,0.9506243803246393,0.9350297780184084,0,p[0],"[0.3, 0.3, 0.3, 0.3]","[1.0, 1.0, 1.0, 1.0]",4,3,3,756
middle,12,0.9430875484868291,0.9350297780184084,0,log_u[1],"[0.3, 0.3, 0.3, 0.3]","[1.0, 1.0, 1.0, 1.0]",4,3,3,756
middle,13,0.948859605035713,0.9350297780184084,0,p[3],"[0.3, 0.3, 0.3, 0.3]","[1.0, 1.0, 1.0, 1.0]",4,3,3,756
middle,14,0.9411971204770972,0.9350297780184084,0,log_u[0],"[0.3, 0.3, 0.3, 0.3]","[1.0, 1.0, 1.0, 1.0]",4,3,3,756
middle,15,0.9472894637268683,0.9350297780184084,0,p[0],"[0.3, 0.3, 0.3, 0.3]","[1.0, 1.0, 1.0, 1.0]",4,3,3,756
middle,16,0.9412511984286617,0.9350297780184084,0,log_u[0],"[0.3, 0.3, 0.3, 0.3]","[1.0, 1.0, 1.0, 1.0]",4,3,3,756
middle,17,0.9391107897766022,0.9350297780184084,0,p[3],"[0.3, 0.3, 0.3, 0.3]","[1.0, 1.0, 1.0, 1.0]",4,3,3,756
middle,18,0.9405012142520002,0.9350297780184084,0,log_u[2],"[0.3, 0.3, 0.3, 0.3]","[1.0, 1.0, 1.0, 1.0]",4,3,3,756
middle,19,0.9389376722956425,0.9350297780184084,0,p[0],"[0.3, 0.3, 0.3, 0.3]","[1.0, 1.0, 1.0, 1.0]",4,3,3,756
middle,20,0.9398440695838489,0.9350297780184084,0,log_u[0],"[0.3, 0.3, 0.3, 0.3]","[1.0, 1.0, 1.0, 1.0]",4,3,3,756
middle,21,0.938475298550143,0.9350297780184084,0,p[3],"[0.3, 0.3, 0.3, 0.3]","[1.0, 1.0, 1.0, 1.0]",4,3,3,756
middle,22,0.9392677829475541,0.9350297780184084,0,log_u[2],"[0.3, 0.3, 0.3, 0.3]","[1.0, 1.0, 1.0, 1.0]",4,3,3,756
middle,23,0.9380684122405009,0.9350297780184084,0,p[1],"[0.3, 0.3, 0.3, 0.3]","[1.0, 1.0, 1.0, 1.0]",4,3,3,756
middle,24,0.938762011349062,0.9350297780184084,0,log_u[3],"[0.3, 0.3, 0.3, 0.3]","[1.0, 1.0, 1.0, 1.0]",4,3,3,756
high,0,0.928022520714473,0.928022520714473,1,seed,"[0.787148890096605, 0.05649322597298094, 0.9111297271290918, 0.7861070427694165, 0.9155212574230615, 0.743599856608844]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",6,3,2,2000
high,1,0.9491470788857859,0.928022520714473,0,p[1],"[0.787148890096605, 0.05649322597298094, 0.9111297271290918, 0.7861070427694165, 0.9155212574230615, 0.743599856608844]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",6,3,2,2000
high,2,0.9369367321468777,0.928022520714473,0,log_u[5],"[0.787148890096605, 0.05649322597298094, 0.9111297271290918, 0.7861070427694165, 0.9155212574230615, 0.743599856608844]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",6,3,2,2000
high,3,0.919534623594399,0.919534623594399,1,p[1],"[0.787148890096605, 0.01, 0.9111297271290918, 0.7861070427694165, 0.9155212574230615, 0.743599856608844]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",6,3,2,2000
high,4,0.9367535845589238,0.919534623594399,0,log_u[1],"[0.787148890096605, 0.01, 0.9111297271290918, 0.7861070427694165, 0.9155212574230615, 0.743599856608844]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",6,3,2,2000
high,5,0.9493918455546965,0.919534623594399,0,p[3],"[0.787148890096605, 0.01, 0.9111297271290918, 0.7861070427694165, 0.9155212574230615, 0.743599856608844]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",6,3,2,2000
high,6,0.9168156606373217,0.9168156606373217,1,log_u[2],"[0.787148890096605, 0.01, 0.9111297271290918, 0.7861070427694165, 0.9155212574230615, 0.743599856608844]","[0.9387724196224747, 0.9387724196224747, 1.306137901887627, 0.9387724196224747, 0.9387724196224747, 0.9387724196224747]",6,3,2,2000
high,7,0.9265075841035777,0.9168156606373217,0,p[0],"[0.787148890096605, 0.01, 0.9111297271290918, 0.7861070427694165, 0.9155212574230615, 0.743599856608844]","[0.9387724196224747, 0.9387724196224747, 1.306137901887627, 0.9387724196224747, 0.9387724196224747, 0.9387724196224747]",6,3,2,2000
high,8,0.91467366363978,0.91467366363978,1,log_u[5],"[0.787148890096605, 0.01, 0.9111297271290918, 0.7861070427694165, 0.9155212574230615, 0.743599856608844]","[0.9774801362680955, 0.9774801362680955, 1.3599929308058216, 0.9774801362680955, 0.9774801362680955, 0.7300865241217968]",6,3,2,2000
high,9,0.9330880648638271,0.91467366363978,0,p[3],"[0.787148890096605, 0.01, 0.9111297271290918, 0.7861070427694165, 0.9155212574230615, 0.743599856608844]","[0.9774801362680955, 0.9774801362680955, 1.3599929308058216, 0.9774801362680955, 0.9774801362680955, 0.7300865241217968]",6,3,2,2000
high,10,0.9283187374017426,0.91467366363978,0,log_u[3],"[0.787148890096605, 0.01, 0.9111297271290918, 0.7861070427694165, 0.9155212574230615, 0.743599856608844]","[0.9774801362680955, 0.9774801362680955, 1.3599929308058216, 0.9774801362680955, 0.9774801362680955, 0.7300865241217968]",6,3,2,2000
high,11,0.9146736636397801,0.91467366363978,0,p[4],"[0.787148890096605, 0.01, 0.9111297271290918, 0.7861070427694165, 0.9155212574230615, 0.743599856608844]","[0.9774801362680955, 0.9774801362680955, 1.3599929308058216, 0.9774801362680955, 0.9774801362680955, 0.7300865241217968]",6,3,2,2000
high,12,0.9171890114040753,0.91467366363978,0,log_u[2],"[0.787148890096605, 0.01, 0.9111297271290918, 0.7861070427694165, 0.9155212574230615, 0.743599856608844]","[0.9774801362680955, 0.9774801362680955, 1.3599929308058216, 0.9774801362680955, 0.9774801362680955, 0.7300865241217968]",6,3,2,2000
high,13,0.9072931314862066,0.9072931314862066,1,p[2],"[0.787148890096605, 0.01, 0.8540192893513814, 0.7861070427694165, 0.9155212574230615, 0.743599856608844]","[0.9774801362680955, 0.9774801362680955, 1.3599929308058216, 0.9774801362680955, 0.9774801362680955, 0.7300865241217968]",6,3,2,2000
high,14,0.9098129543106415,0.9072931314862066,0,log_u[2],"[0.787148890096605, 0.01, 0.8540192893513814, 0.7861070427694165, 0.9155212574230615, 0.743599856608844]","[0.9774801362680955, 0.9774801362680955, 1.3599929308058216, 0.9774801362680955, 0.9774801362680955, 0.7300865241217968]",6,3,2,2000
high,15,0.9086515973111251,0.9072931314862066,0,p[0],"[0.787148890096605, 0.01, 0.8540192893513814, 0.7861070427694165, 0.9155212574230615, 0.743599856608844]","[0.9774801362680955, 0.9774801362680955, 1.3599929308058216, 0.9774801362680955, 0.9774801362680955, 0.7300865241217968]",6,3,2,2000
high,16,0.9116548263655176,0.9072931314862066,0,log_u[1],"[0.787148890096605, 0.01, 0.8540192893513814, 0.7861070427694165, 0.9155212574230615, 0.743599856608844]","[0.9774801362680955, 0.9774801362680955, 1.3599929308058216, 0.9774801362680955, 0.9774801362680955, 0.7300865241217968]",6,3,2,2000
high,17,0.9087130067264834,0.9072931314862066,0,p[0],"[0.787148890096605, 0.01, 0.8540192893513814, 0.7861070427694165, 0.9155212574230615, 0.743599856608844]","[0.9774801362680955, 0.9774801362680955, 1.3599929308058216, 0.9774801362680955, 0.9774801362680955, 0.7300865241217968]",6,3,2,2000
high,18,0.9070570043750514,0.9070570043750514,1,log_u[5],"[0.787148890096605, 0.01, 0.8540192893513814, 0.7861070427694165, 0.9155212574230615, 0.743599856608844]","[0.9950913251682791, 0.9950913251682791, 1.3844958250526327, 0.9950913251682791, 0.9950913251682791, 0.6351388742742516]",6,3,2,2000
high,19,0.921637443466186,0.9070570043750514,0,p[2],"[0.787148890096605, 0.01, 0.8540192893513814, 0.7861070427694165, 0.9155212574230615, 0.743599856608844]","[0.9950913251682791, 0.9950913251682791, 1.3844958250526327, 0.9950913251682791, 0.9950913251682791, 0.6351388742742516]",6,3,2,2000
high,20,0.9116083654580632,0.9070570043750514,0,log_u[1],"[0.787148890096605, 0.01, 0.8540192893513814, 0.7861070427694165, 0.9155212574230615, 0.743599856608844]","[0.9950913251682791, 0.9950913251682791, 1.3844958250526327, 0.9950913251682791, 0.9950913251682791, 0.6351388742742516]",6,3,2,2000
high,21,0.9096660406566678,0.9070570043750514,0,p[0],"[0.787148890096605, 0.01, 0.8540192893513814, 0.7861070427694165, 0.9155212574230615, 0.743599856608844]","[0.9950913251682791, 0.9950913251682791, 1.3844958250526327, 0.9950913251682791, 0.9950913251682791, 0.6351388742742516]",6,3,2,2000
high,22,0.9068898546420789,0.9068898546420789,1,log_u[5],"[0.787148890096605, 0.01, 0.8540192893513814, 0.7861070427694165, 0.9155212574230615, 0.743599856608844]","[1.0074066236459516, 1.0074066236459516, 1.4016304124973893, 1.0074066236459516, 1.0074066236459516, 0.5687430929188048]",6,3,2,2000
high,23,0.9068898546420788,0.9068898546420789,0,p[4],"[0.787148890096605, 0.01, 0.8540192893513814, 0.7861070427694165, 0.9155212574230615, 0.743599856608844]","[1.0074066236459516, 1.0074066236459516, 1.4016304124973893, 1.0074066236459516, 1.0074066236459516, 0.5687430929188048]",6,3,2,2000
high,24,0.9141513134430718,0.9068898546420789,0,log_u[2],"[0.787148890096605, 0.01, 0.8540192893513814, 0.7861070427694165, 0.9155212574230615, 0.743599856608844]","[1.0074066236459516, 1.0074066236459516, 1.4016304124973893, 1.0074066236459516, 1.0074066236459516, 0.5687430929188048]",6,3,2,2000
