base_p,n,B,G,rate_mode,utility_mode,V_greedy_laminar,V_rollout_laminar,V_static_greedy,V_static_binary,ratio_greedylam_vs_greedystat,ratio_rollout_vs_greedystat
0.05,5,2,2,homogeneous,log_uniform,4.110356999702378,4.110356999702379,4.110356999702379,4.110356999702379,0.9999999999999998,1.0
0.05,5,2,2,homogeneous,log_uniform,3.9618991236806416,3.961899123680642,3.9618991236806416,3.9618991236806416,1.0,1.0000000000000002
0.05,5,2,2,beta_bimodal,flat,3.9439773113289696,3.9439773113289696,3.94397731132897,3.94397731132897,0.9999999999999999,0.9999999999999999
0.05,5,2,2,beta_bimodal,flat,3.9293716796802807,3.9293716796802807,3.92937167968028,3.92937167968028,1.0000000000000002,1.0000000000000002
0.05,5,2,2,beta_bimodal,flat,3.738317305655252,3.738317305655252,3.7383173056552517,3.738317305655252,1.0000000000000002,1.0000000000000002
0.05,5,2,2,beta_bimodal,log_uniform,4.27602264818127,4.27602264818127,4.394184885532812,4.394184885532812,0.9731094069936445,0.9731094069936445
0.05,5,2,2,beta_bimodal,log_uniform,4.192039715488437,4.192039715488437,4.192039715488439,4.192039715488439,0.9999999999999996,0.9999999999999996
0.05,5,2,2,beta_bimodal,log_uniform,4.444300869510164,4.444300869510164,4.418157698485405,4.433621709113822,1.0059172109301848,1.0059172109301848
0.05,5,2,3,homogeneous,flat,4.377125,4.377125,4.377124999999998,4.377124999999999,1.0000000000000007,1.0000000000000007
0.05,5,2,3,homogeneous,log_uniform,4.349763649473886,4.349763649473886,4.41501257910748,4.423973641213028,0.9852211225982996,0.9852211225982996
0.05,5,2,3,homogeneous,log_uniform,4.382052192288318,4.382052192288318,4.456144216587696,4.456144216587696,0.9833730640889998,0.9833730640889998
0.05,5,2,3,homogeneous,log_uniform,4.339551370793601,4.339551370793601,4.417738521953462,4.421094805225221,0.9823015439299275,0.9823015439299275
0.05,5,2,3,beta_bimodal,flat,4.494827143809395,4.494827143809395,4.510015645355421,4.510015645355421,0.9966322729807674,0.9966322729807674
0.05,5,2,3,beta_bimodal,flat,4.472150621288493,4.472150621288494,4.511277968677459,4.511277968677459,0.9913267708927196,0.9913267708927198
0.05,5,2,3,beta_bimodal,flat,4.5009418313793645,4.5009418313793645,4.501814063267661,4.501814063267661,0.9998062487974763,0.9998062487974763
0.05,5,2,3,beta_bimodal,log_uniform,4.76059060388361,4.76059060388361,4.761554819475784,4.761554819475784,0.9997974998443302,0.9997974998443302
0.05,5,2,3,beta_bimodal,log_uniform,4.292542841968552,4.292542841968552,4.269085987754129,4.375990659532893,1.0054945846210896,1.0054945846210896
0.05,5,2,3,beta_bimodal,log_uniform,4.36861208592246,4.36861208592246,4.4436054394287465,4.6153610347068055,0.983123309544799,0.983123309544799
0.05,5,3,2,homogeneous,flat,4.5600000000000005,4.5600000000000005,4.56,4.56,1.0000000000000002,1.0000000000000002
0.05,5,3,2,homogeneous,log_uniform,4.662435917784353,4.662435917784353,4.6366486003746825,4.643182737236508,1.0055616285882838,1.0055616285882838
0.05,5,3,2,homogeneous,log_uniform,4.560358021653573,4.560358021653573,4.580833048258622,4.584429524482762,0.9955302831626155,0.9955302831626155
0.05,5,3,2,homogeneous,log_uniform,4.6141673090440385,4.6181182018872935,4.58630123455853,4.590185510061612,1.0060759363723284,1.0069373915278435
0.05,5,3,2,beta_bimodal,flat,4.646512919150049,4.64651291915005,4.685288805436168,4.69668791512436,0.9917239069145259,0.991723906914526
0.05,5,3,2,beta_bimodal,flat,4.7200191271485545,4.7200191271485545,4.724064445908002,4.73160267719024,0.999143678329166,0.999143678329166
0.05,5,3,2,beta_bimodal,flat,4.744199930982062,4.744199930982062,4.746830353004343,4.7474078797881045,0.9994458571664319,0.9994458571664319
0.05,5,3,2,beta_bimodal,log_uniform,4.568163886806673,4.568163886806673,4.622529091602062,4.70772614498219,0.9882390778471991,0.9882390778471991
0.05,5,3,2,beta_bimodal,log_uniform,4.713629471569275,4.713629471569275,4.720682729177802,4.766682908917116,0.9985058818791334,0.9985058818791334
0.05,5,3,2,beta_bimodal,log_uniform,4.843752671433739,4.843759566987638,4.868938273272075,4.868938273272075,0.9948272907922058,0.9948287070257893
0.05,5,3,3,homogeneous,flat,4.5105940625,4.5600000000000005,4.510243749999998,4.56,1.000077670414155,1.0110318317053268
0.05,5,3,3,homogeneous,log_uniform,4.633822241643844,4.646003178256551,4.642914058328466,4.669535503294791,0.9980417865654194,1.0006653407513637
0.05,5,3,3,homogeneous,log_uniform,4.597103669671325,4.617743240506309,4.615286991437596,4.629886507787908,0.9960601969498311,1.0005321985552078
0.05,5,3,3,homogeneous,log_uniform,4.613147726194576,4.621838975615916,4.643735673814201,4.656649331312996,0.9934130730583765,0.9952846803228359
0.05,5,3,3,beta_bimodal,flat,4.737236137281411,4.742231659927274,4.740085443624717,4.746630913856017,0.9993988913539231,1.000452780087634
0.05,5,3,3,beta_bimodal,flat,4.696228177096717,4.741638379266235,4.698640435863671,4.745908063530011,0.9994866049445833,1.0091511457387483
0.05,5,3,3,beta_bimodal,flat,4.6535771864453475,4.697780026914328,4.665272971743775,4.7237526817937345,0.9974930115838311,1.0069678784858762
0.05,5,3,3,beta_bimodal,log_uniform,4.4581621904231685,4.487410225356996,4.410543910012088,4.53433429431506,1.010796464423126,1.017427854004677
0.05,5,3,3,beta_bimodal,log_uniform,4.721668691458892,4.72794345678283,4.698216248001869,4.7348581290331175,1.0049917760739508,1.0063273394011192
0.05,5,3,3,beta_bimodal,log_uniform,4.6229074509543695,4.622952218496411,4.715128238223492,4.718487171363564,0.9804415102602029,0.9804510047086631
0.05,6,2,2,homogeneous,flat,3.61,3.61,3.6099999999999994,3.609999999999999,1.0000000000000002,1.0000000000000002
0.05,6,2,2,homogeneous,log_uniform,4.692480268532028,4.692480268532028,4.69248026853203,4.69248026853203,0.9999999999999997,0.9999999999999997
0.05,6,2,2,homogeneous,log_uniform,4.789547085893216,4.789547085893216,4.789547085893216,4.789547085893218,1.0,1.0
0.05,6,2,2,homogeneous,log_uniform,4.705841511284651,4.7058415112846514,4.705841511284648,4.705841511284648,1.0000000000000007,1.0000000000000007
0.05,6,2,2,beta_bimodal,flat,3.929192156708872,3.929192156708872,3.9291921567088717,3.929192156708872,1.0000000000000002,1.0000000000000002
0.05,6,2,2,beta_bimodal,flat,3.9473406239038655,3.947340623903866,3.9473406239038655,3.9473406239038655,1.0,1.0000000000000002
0.05,6,2,2,beta_bimodal,flat,3.974716086633388,3.974716086633388,3.974716086633389,3.974716086633389,0.9999999999999998,0.9999999999999998
0.05,6,2,2,beta_bimodal,log_uniform,4.534475715558644,4.534475715558646,4.534475715558646,4.695900186681494,0.9999999999999996,1.0
0.05,6,2,2,beta_bimodal,log_uniform,4.348779311551457,4.348779311551457,4.604540503982814,4.604540503982814,0.9444545677880063,0.9444545677880063
0.05,6,2,2,beta_bimodal,log_uniform,4.796126076585189,4.79612607658519,4.796126076585189,4.796126076585189,1.0,1.0000000000000002
0.05,6,2,3,homogeneous,flat,5.14425,5.14425,5.144249999999998,5.144249999999998,1.0000000000000004,1.0000000000000004
0.05,6,2,3,homogeneous,log_uniform,5.1442499999999995,5.14425,5.144249999999998,5.14425,1.0000000000000004,1.0000000000000004
0.05,6,2,3,homogeneous,log_uniform,5.169146349606809,5.169146349606809,5.14425,5.14425,1.004839646130497,1.004839646130497
0.05,6,2,3,homogeneous,log_uniform,5.193072639068303,5.193072639068303,5.144249999999999,5.144250000000003,1.0094907205264723,1.0094907205264723
0.05,6,2,3,beta_bimodal,flat,5.112313166296278,5.112313166296278,5.11231316629628,5.11231316629628,0.9999999999999997,0.9999999999999997
0.05,6,2,3,beta_bimodal,flat,5.1000007817825574,5.100000781782558,5.100000781782559,5.100000781782559,0.9999999999999997,0.9999999999999998
0.05,6,2,3,beta_bimodal,flat,5.102363924003811,5.102363924003811,5.10236392400381,5.10236392400381,1.0000000000000002,1.0000000000000002
0.05,6,2,3,beta_bimodal,log_uniform,5.380914587552419,5.380914587552419,5.34108978107721,5.380140911791026,1.0074563072533067,1.0074563072533067
0.05,6,2,3,beta_bimodal,log_uniform,5.516653260663053,5.516653260663053,5.574030260159718,5.574030260159718,0.989706371006493,0.989706371006493
0.05,6,2,3,beta_bimodal,log_uniform,5.312280405443912,5.312280405443912,5.304569311840261,5.304569311840261,1.0014536700626078,1.0014536700626078
0.05,6,3,2,homogeneous,flat,5.415,5.415,5.415,5.415,1.0,1.0
0.05,6,3,2,homogeneous,log_uniform,5.440782726574077,5.474968448268936,5.414999999999998,5.415000000000004,1.0047613530146036,1.0110745056821677
0.05,6,3,2,homogeneous,log_uniform,5.449287939904878,5.449287939904878,5.415,5.415000000000005,1.0063320295299867,1.0063320295299867
0.05,6,3,2,homogeneous,log_uniform,5.415,5.415,5.415,5.415000000000003,1.0,1.0
0.05,6,3,2,beta_bimodal,flat,5.400590477615082,5.400590477615083,5.400590477615084,5.400590477615084,0.9999999999999997,0.9999999999999999
0.05,6,3,2,beta_bimodal,flat,5.42993487115827,5.429934871158272,5.429934871158269,5.429934871158269,1.0000000000000002,1.0000000000000004
0.05,6,3,2,beta_bimodal,flat,5.408674548147091,5.408674548147093,5.408674548147092,5.408674548147092,0.9999999999999999,1.0000000000000002
0.05,6,3,2,beta_bimodal,log_uniform,5.812112235506758,5.812112235506758,5.800840114019996,5.800840114019996,1.0019431877564628,1.0019431877564628
0.05,6,3,2,beta_bimodal,log_uniform,5.783010923138685,5.783010923138685,5.735877069360911,5.735877069360911,1.008217375164741,1.008217375164741
0.05,6,3,2,beta_bimodal,log_uniform,5.618143240060145,5.618143240060145,5.617290398129527,5.617290398129527,1.0001518244331646,1.0001518244331646
0.05,6,3,3,homogeneous,flat,5.316622453125,5.327125,5.320237499999999,5.415,0.9993205102450785,1.001294585063167
0.05,6,3,3,homogeneous,log_uniform,5.509866607914383,5.515942284214937,5.541082887653674,5.562872972251193,0.994366393650446,0.9954628717980822
0.05,6,3,3,homogeneous,log_uniform,5.453838027447519,5.456848582876858,5.370315282341404,5.54541674306706,1.0155526706934235,1.016113262627241
0.05,6,3,3,homogeneous,log_uniform,5.472674041087805,5.478768301789915,5.4057802748764034,5.546557011931041,1.0123744885677823,1.0135018486142928
0.05,6,3,3,beta_bimodal,flat,5.40250728524715,5.468214966728329,5.416291535928634,5.658435164903867,0.99745503900777,1.0095865280617309
0.05,6,3,3,beta_bimodal,flat,5.398769231438404,5.461400926340483,5.411287225252703,5.647472562334412,0.9976866883436012,1.009260957513753
0.05,6,3,3,beta_bimodal,flat,5.417315714366577,5.454578303147063,5.4540494973736084,5.662498276897359,0.9932648607195955,1.0000969565409534
0.05,6,3,3,beta_bimodal,log_uniform,5.810082224688807,5.810675838460675,5.851696586516072,5.85804392880955,0.9928884963169218,0.9929899393365814
0.05,6,3,3,beta_bimodal,log_uniform,5.789745080764874,5.790042338101647,5.789698519222067,5.791185076511341,1.0000080421359856,1.0000593845911732
0.05,6,3,3,beta_bimodal,log_uniform,5.705468174658623,5.70564848567585,5.898766310027559,5.900423249766005,0.9672307521251791,0.9672613197062205
0.1,4,2,2,homogeneous,flat,3.2399999999999993,3.2399999999999993,3.24,3.24,0.9999999999999998,0.9999999999999998
0.1,4,2,2,homogeneous,log_uniform,3.24,3.24,3.24,3.240000000000001,1.0,1.0
0.1,4,2,2,homogeneous,log_uniform,3.345008350793986,3.345008350793986,3.2400000000000015,3.2400000000000015,1.0324099848129582,1.0324099848129582
0.1,4,2,2,homogeneous,log_uniform,3.2399999999999993,3.24,3.240000000000001,3.240000000000001,0.9999999999999994,0.9999999999999998
0.1,4,2,2,beta_bimodal,flat,3.2576571221359325,3.2576571221359325,3.2576571221359334,3.2576571221359334,0.9999999999999998,0.9999999999999998
0.1,4,2,2,beta_bimodal,flat,3.2773061043563567,3.2773061043563567,3.2773061043563567,3.2773061043563567,1.0,1.0
0.1,4,2,2,beta_bimodal,flat,3.2466005914175504,3.246600591417551,3.2466005914175504,3.2466005914175504,1.0,1.0000000000000002
0.1,4,2,2,beta_bimodal,log_uniform,3.463739275543886,3.463739275543886,3.463621762713996,3.463621762713996,1.000033927731704,1.000033927731704
0.1,4,2,2,beta_bimodal,log_uniform,3.3673278907690687,3.367327890769069,3.367327890769069,3.367327890769069,0.9999999999999999,1.0
0.1,4,2,2,beta_bimodal,log_uniform,3.0430610793687016,3.0430610793687016,3.072069780912413,3.0742645375336526,0.9905572777923373,0.9905572777923373
0.1,4,2,3,homogeneous,flat,3.087,3.087,3.1509000000000005,3.24,0.9797200799771493,0.9797200799771493
0.1,4,2,3,homogeneous,log_uniform,3.2395803394865292,3.2395803394865292,3.25188214689562,3.317345236746424,0.9962170192973215,0.9962170192973215
0.1,4,2,3,homogeneous,log_uniform,3.232526906971422,3.232526906971422,3.336431169947335,3.336431169947335,0.9688576632685177,0.9688576632685177
0.1,4,2,3,homogeneous,log_uniform,3.341011217776742,3.341011217776742,3.322892601652701,3.3812558645337893,1.0054526637770445,1.0054526637770445
0.1,4,2,3,beta_bimodal,flat,3.5759153488812743,3.5759153488812743,3.587656917968304,3.587656917968304,0.9967272319077602,0.9967272319077602
0.1,4,2,3,beta_bimodal,flat,3.585680769727995,3.585680769727995,3.591276654095642,3.591276654095642,0.998441811949724,0.998441811949724
0.1,4,2,3,beta_bimodal,flat,3.594658956015349,3.594658956015349,3.5953046524891152,3.5953046524891152,0.9998204056300711,0.9998204056300711
0.1,4,2,3,beta_bimodal,log_uniform,3.642079478830325,3.642079478830325,3.706994126897629,3.736493035124429,0.982488602397212,0.982488602397212
0.1,4,2,3,beta_bimodal,log_uniform,3.605514677930525,3.605514677930525,3.6047209938510205,3.604720993851021,1.0002201790598657,1.0002201790598657
0.1,4,2,3,beta_bimodal,log_uniform,3.5108403763108655,3.5108403763108655,3.49534831851854,3.5191098787051023,1.0044321928404811,1.0044321928404811
0.1,4,3,2,homogeneous,flat,3.4037999999999995,3.419999999999999,3.4020000000000006,3.4200000000000017,1.0005291005291002,1.005291005291005
0.1,4,3,2,homogeneous,log_uniform,3.5103329463717734,3.534000615912198,3.4547670599958438,3.5340006159121984,1.0160838300849135,1.022934558116474
0.1,4,3,2,homogeneous,log_uniform,3.447729277084443,3.4867163918543858,3.436989179131997,3.486716391854386,1.0031248564929025,1.0144682482634255
0.1,4,3,2,homogeneous,log_uniform,3.463931497286867,3.502066049068839,3.4386192994949365,3.5020660490688384,1.0073611515516265,1.0184512282540907
0.1,4,3,2,beta_bimodal,flat,3.576413168632209,3.5984634934816695,3.576931892275037,3.5994628872051333,0.9998549808443521,1.0060195725988335
0.1,4,3,2,beta_bimodal,flat,3.596170190803751,3.597469844713717,3.597162991785965,3.59910128004486,0.999724004448928,1.0000853041489788
0.1,4,3,2,beta_bimodal,flat,3.59243731441427,3.59871987952109,3.5925488139020225,3.599010635369304,0.9999689636819071,1.0017177402281043
0.1,4,3,2,beta_bimodal,log_uniform,3.4194729715203347,3.4249917010922752,3.4241798396554537,3.4311144853684112,0.9986254027663475,1.0002370966114045
0.1,4,3,2,beta_bimodal,log_uniform,3.5318032310478293,3.5320580692076473,3.5293464035415627,3.5318032310478293,1.0006961140181088,1.0007683195005634
0.1,4,3,2,beta_bimodal,log_uniform,3.631289096285111,3.6853636994790175,3.629292936456849,3.686330718450712,1.0005500134222318,1.0154495004960686
0.1,4,3,3,homogeneous,flat,3.258,3.419999999999999,3.3858000000000006,3.4200000000000017,0.9622541201488568,1.0101010101010097
0.1,4,3,3,homogeneous,log_uniform,3.4895679085202467,3.510961642245102,3.463017677918558,3.532091255800515,1.0076667903750485,1.0138445623977759
0.1,4,3,3,homogeneous,log_uniform,3.467161305162138,3.496450637963208,3.4690844258723805,3.525378374063031,0.9994456402686831,1.0078885978924959
0.1,4,3,3,homogeneous,log_uniform,3.50357109633896,3.5283228492205554,3.477059026985268,3.5359386735045817,1.007624854553211,1.0147434431907632
0.1,4,3,3,beta_bimodal,flat,3.595257720044716,3.596783806311972,3.5960742266375902,3.5999462893023395,0.9997729450113054,1.000197320641806
0.1,4,3,3,beta_bimodal,flat,3.5689011494113454,3.5737517285022498,3.5649792955273405,3.584327904824733,1.001100105655291,1.0024607248030628
0.1,4,3,3,beta_bimodal,flat,3.5999896586561797,3.5999912679242887,3.5999958029657217,3.599999995037642,0.9999982932453596,0.9999987402648
0.1,4,3,3,beta_bimodal,log_uniform,3.2599204216603814,3.328398059750131,3.31961356737637,3.408390854655641,0.9820180438161161,1.0026462394478957
0.1,4,3,3,beta_bimodal,log_uniform,3.7765805858771246,3.7769395905622942,3.7757081229684695,3.777038361201079,1.0002310726571653,1.000326155400184
0.1,4,3,3,beta_bimodal,log_uniform,3.386669713444667,3.38668790115438,3.437081544249105,3.4378263217484717,0.9853329546723189,0.985338246286579
0.1,5,2,2,homogeneous,flat,3.24,3.24,3.2400000000000007,3.2400000000000007,0.9999999999999999,0.9999999999999999
0.1,5,2,2,homogeneous,log_uniform,3.7244317865044825,3.7244317865044825,3.721914403499183,3.721914403499183,1.0006763677861406,1.0006763677861406
0.1,5,2,2,homogeneous,log_uniform,3.749645265682955,3.7496452656829553,3.749645265682957,3.749645265682957,0.9999999999999994,0.9999999999999996
0.1,5,2,2,homogeneous,log_uniform,3.884993231068064,3.884993231068064,3.884993231068065,3.884993231068066,0.9999999999999998,0.9999999999999998
0.1,5,2,2,beta_bimodal,flat,3.862289666556364,3.862289666556364,3.862289666556364,3.862289666556364,1.0,1.0
0.1,5,2,2,beta_bimodal,flat,3.920381950117426,3.920381950117426,3.9203819501174264,3.9203819501174264,0.9999999999999999,0.9999999999999999
0.1,5,2,2,beta_bimodal,flat,3.399315406141044,3.399315406141044,3.399315406141045,3.399315406141045,0.9999999999999998,0.9999999999999998
0.1,5,2,2,beta_bimodal,log_uniform,3.3785788129540455,3.3785788129540455,3.6016288346504024,3.6016288346504024,0.9380696812646416,0.9380696812646416
0.1,5,2,2,beta_bimodal,log_uniform,3.434667097763086,3.4346670977630867,3.4346670977630867,3.4346670977630867,0.9999999999999999,1.0
0.1,5,2,2,beta_bimodal,log_uniform,4.135838952649828,4.135838952649828,4.1537107131435045,4.1537107131435045,0.995697398849389,0.995697398849389
0.1,5,2,3,homogeneous,flat,3.806999999999999,3.806999999999999,3.8070000000000004,3.807000000000001,0.9999999999999997,0.9999999999999997
0.1,5,2,3,homogeneous,log_uniform,4.022696755804349,4.022696755804349,4.03410429617989,4.03410429617989,0.9971722247274709,0.9971722247274709
0.1,5,2,3,homogeneous,log_uniform,3.8378159927692455,3.8378159927692455,3.8817613120070003,3.914329644570861,0.9886790259097529,0.9886790259097529
0.1,5,2,3,homogeneous,log_uniform,3.839730511133813,3.839730511133813,3.8875255690369617,3.925215775712031,0.9877055322069589,0.9877055322069589
0.1,5,2,3,beta_bimodal,flat,3.94402424729583,3.94402424729583,4.029727460158105,4.029727460158105,0.9787322557891018,0.9787322557891018
0.1,5,2,3,beta_bimodal,flat,4.006247129677149,4.00624712967715,4.010252396403623,4.010252396403623,0.9990012432309583,0.9990012432309585
0.1,5,2,3,beta_bimodal,flat,3.969434594447213,3.969434594447213,4.040675458239675,4.040675458239675,0.9823690705851694,0.9823690705851694
0.1,5,2,3,beta_bimodal,log_uniform,4.58882546824517,4.58882546824517,4.588793699590573,4.588793699590573,1.0000069230949737,1.0000069230949737
0.1,5,2,3,beta_bimodal,log_uniform,4.072214570810222,4.072214570810222,4.06768218193161,4.06768218193161,1.0011142436099716,1.0011142436099716
0.1,5,2,3,beta_bimodal,log_uniform,3.807909949738187,4.114369898228715,4.524226050440276,4.524226050440276,0.8416710189287779,0.9094085601289363
0.1,5,3,2,homogeneous,flat,4.14,4.140000000000001,4.139999999999999,4.140000000000002,1.0000000000000002,1.0000000000000004
0.1,5,3,2,homogeneous,log_uniform,4.269601319904614,4.2719171645853065,4.209864223002339,4.227626914447043,1.0141897918170084,1.014739891430207
0.1,5,3,2,homogeneous,log_uniform,4.307316430789005,4.307316430789005,4.27048654662366,4.294985051804065,1.0086242829155996,1.0086242829155996
0.1,5,3,2,homogeneous,log_uniform,4.254125080361494,4.254125080361494,4.235485897608749,4.256095441787499,1.0044007188793305,1.0044007188793305
0.1,5,3,2,beta_bimodal,flat,4.2424162308767945,4.2424162308767945,4.267395670374082,4.337060097445441,0.9941464440078279,0.9941464440078279
0.1,5,3,2,beta_bimodal,flat,4.418901091893731,4.418901091893731,4.4344642240124434,4.444600284564287,0.9964904143245898,0.9964904143245898
0.1,5,3,2,beta_bimodal,flat,4.3718795702307665,4.371879570230767,4.392397299071399,4.4156217514313605,0.995328808519901,0.9953288085199012
0.1,5,3,2,beta_bimodal,log_uniform,4.536393387969271,4.536393387969271,4.677297954330189,4.677297954330189,0.96987479358024,0.96987479358024
0.1,5,3,2,beta_bimodal,log_uniform,4.838112733894624,4.838112733894625,4.83805806018121,4.83805806018121,1.0000113007559508,1.0000113007559508
0.1,5,3,2,beta_bimodal,log_uniform,4.830248265225182,4.830248265225182,4.829658936723197,4.829658936723197,1.0001220227990644,1.0001220227990644
0.1,5,3,3,homogeneous,flat,4.04451,4.14,4.041900000000001,4.140000000000002,1.0006457359162768,1.0242707637497213
0.1,5,3,3,homogeneous,log_uniform,4.284383950595246,4.2973062555284045,4.202226486541448,4.322371090370165,1.019550936703894,1.022626045809637
0.1,5,3,3,homogeneous,log_uniform,4.21560128907785,4.230860654378605,4.20122683538185,4.258974358222736,1.003421489545611,1.007053610804155
0.1,5,3,3,homogeneous,log_uniform,4.315555754007475,4.341715975814492,4.235627362119777,4.341715975814491,1.0188704966358741,1.0250467297108077
0.1,5,3,3,beta_bimodal,flat,4.410204160559039,4.431757332026893,4.443677790006056,4.4685677735481795,0.9924671339757576,0.9973174342194719
