replicate,category,compatible,pool,tv_product,tv_atom,gap_clean_product,exact_pmf,product_pmf,atom_pmf
2,crossing_nonlaminar,0,19,5.551115123125783e-17,5.551115123125783e-17,0.0,"[0.4369230032417126, 0.5630769967582873, 0.0, 0.0]","[0.4369230032417126, 0.5630769967582874, 0.0, 0.0]","[0.4369230032417126, 0.5630769967582874, 0.0, 0.0]"
3,disjoint,1,192,0.0,0.0,0.0,"[0.24785113589339544, 0.5057919149590605, 0.246356949147544]","[0.24785113589339544, 0.5057919149590605, 0.246356949147544]","[0.24785113589339544, 0.5057919149590605, 0.246356949147544]"
3,observed_node,1,15,0.5394739875657208,0.0,0.02322548773997314,"[0.0, 0.0, 1.0, 0.0, 0.0]","[0.02322548773997314, 0.24651150604288732, 0.46052601243427926, 0.2465115060428873, 0.023225487739973127]","[0.0, 0.0, 1.0, 0.0, 0.0]"
3,nested_compatible,1,12,0.19008313913435318,0.0,0.09504156956717663,"[0.0, 1.0, 0.0]","[0.09504156956717663, 0.8099168608656468, 0.09504156956717658]","[0.0, 1.0, 0.0]"
3,crossing_nonlaminar,0,19,0.27177861020465605,8.326672684688674e-17,0.07232172155551675,"[0.0, 0.2959494331138026, 0.7040505668861972, 0.0]","[0.07232172155551675, 0.3233561558828556, 0.4322719566815413, 0.17205016588008648]","[0.0, 0.2959494331138027, 0.7040505668861973, 0.0]"
4,disjoint,1,192,6.938893903907228e-17,4.163336342344337e-17,2.7755575615628914e-17,"[0.15703135024294507, 0.49053888711363564, 0.3524297626434193]","[0.1570313502429451, 0.4905388871136357, 0.35242976264341924]","[0.1570313502429451, 0.49053888711363564, 0.35242976264341924]"
4,observed_node,1,15,0.3053419814004119,0.0,0.15267099070020598,"[0.0, 1.0, 0.0, 0.0, 0.0]","[0.15267099070020598, 0.6946580185995881, 0.15267099070020598, 0.0, 0.0]","[0.0, 1.0, 0.0, 0.0, 0.0]"
4,nested_compatible,1,12,0.3053419814004119,0.0,0.15267099070020598,"[0.0, 1.0, 0.0]","[0.15267099070020598, 0.6946580185995881, 0.15267099070020598]","[0.0, 1.0, 0.0]"
4,crossing_nonlaminar,0,19,0.0,0.0,0.0,"[0.0, 1.0, 0.0, 0.0]","[0.0, 1.0, 0.0, 0.0]","[0.0, 1.0, 0.0, 0.0]"
5,disjoint,1,192,5.551115123125783e-17,5.551115123125783e-17,0.0,"[0.16113428252690126, 0.48062012304927654, 0.3582455944238223]","[0.16113428252690126, 0.4806201230492765, 0.35824559442382226]","[0.16113428252690126, 0.4806201230492765, 0.35824559442382226]"
5,observed_node,1,15,0.5998616872382865,0.0,0.05159498919203693,"[0.0, 0.0, 1.0, 0.0, 0.0]","[0.05159498919203693, 0.24833585442710637, 0.4001383127617135, 0.24833585442710632, 0.05159498919203691]","[0.0, 0.0, 1.0, 0.0, 0.0]"
5,nested_compatible,1,12,0.4350558981026126,0.0,0.21752794905130635,"[0.0, 1.0, 0.0]","[0.21752794905130635, 0.5649441018973874, 0.2175279490513063]","[0.0, 1.0, 0.0]"
5,crossing_nonlaminar,0,19,0.4743757242878954,0.0,0.0,"[0.0, 0.0, 1.0, 0.0]","[0.0, 0.2371878621439477, 0.5256242757121047, 0.2371878621439477]","[0.0, 0.0, 1.0, 0.0]"
6,disjoint,1,192,2.7755575615628914e-17,2.7755575615628914e-17,0.0,"[0.09645806591030828, 0.5037186159900742, 0.3998233180996177]","[0.09645806591030828, 0.5037186159900742, 0.39982331809961763]","[0.09645806591030828, 0.5037186159900742, 0.39982331809961763]"
6,observed_node,1,15,0.41007247413185327,0.0,0.012731234417580208,"[0.0, 0.0, 1.0, 0.0, 0.0]","[0.012731234417580208, 0.19230500264834652, 0.5899275258681468, 0.19230500264834635, 0.01273123441758019]","[0.0, 0.0, 1.0, 0.0, 0.0]"
6,nested_compatible,1,12,0.1524782670718249,0.0,0.07623913353591251,"[0.0, 1.0, 0.0]","[0.07623913353591251, 0.8475217329281751, 0.07623913353591244]","[0.0, 1.0, 0.0]"
6,crossing_nonlaminar,0,19,0.3339816135655095,0.0,0.1669908067827548,"[0.0, 1.0, 0.0, 0.0]","[0.1669908067827548, 0.6660183864344905, 0.1669908067827547, 0.0]","[0.0, 1.0, 0.0, 0.0]"
7,disjoint,1,192,6.938893903907228e-17,6.938893903907228e-17,0.0,"[0.26153706383647896, 0.5054939928986961, 0.232968943264825]","[0.26153706383647896, 0.505493992898696, 0.23296894326482498]","[0.26153706383647896, 0.505493992898696, 0.23296894326482498]"
7,observed_node,1,15,0.36933829026557063,0.0,0.18466914513278535,"[0.0, 1.0, 0.0, 0.0, 0.0]","[0.18466914513278535, 0.6306617097344294, 0.18466914513278532, 0.0, 0.0]","[0.0, 1.0, 0.0, 0.0, 0.0]"
7,nested_compatible,1,12,0.36933829026557063,0.0,0.18466914513278535,"[0.0, 1.0, 0.0]","[0.18466914513278535, 0.6306617097344294, 0.18466914513278532]","[0.0, 1.0, 0.0]"
7,crossing_nonlaminar,0,19,5.551115123125783e-17,0.0,0.0,"[0.39648908964644025, 0.6035109103535599, 0.0, 0.0]","[0.39648908964644025, 0.6035109103535597, 0.0, 0.0]","[0.39648908964644025, 0.6035109103535599, 0.0, 0.0]"
8,disjoint,1,192,6.245004513516506e-17,6.245004513516506e-17,5.551115123125783e-17,"[0.42922913839116716, 0.4527101746494597, 0.11806068695937308]","[0.4292291383911672, 0.45271017464945973, 0.11806068695937309]","[0.4292291383911672, 0.45271017464945973, 0.11806068695937309]"
8,observed_node,1,15,0.0,0.0,0.0,"[0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 1.0, 0.0, 0.0]"
8,nested_compatible,1,12,0.0,0.0,0.0,"[1.0, 0.0, 0.0]","[1.0, 0.0, 0.0]","[1.0, 0.0, 0.0]"
8,crossing_nonlaminar,0,19,8.326672684688674e-17,8.326672684688674e-17,0.0,"[0.0, 0.0, 0.440982026569632, 0.559017973430368]","[0.0, 0.0, 0.4409820265696319, 0.5590179734303681]","[0.0, 0.0, 0.4409820265696319, 0.5590179734303681]"
9,disjoint,1,192,5.551115123125783e-17,4.163336342344337e-17,-5.551115123125783e-17,"[0.37814253385251784, 0.4765949163758381, 0.145262549771644]","[0.3781425338525178, 0.47659491637583806, 0.145262549771644]","[0.37814253385251784, 0.4765949163758382, 0.14526254977164402]"
9,observed_node,1,15,0.2709397611631228,0.0,0.13546988058156142,"[0.0, 1.0, 0.0, 0.0, 0.0]","[0.13546988058156142, 0.7290602388368772, 0.1354698805815614, 0.0, 0.0]","[0.0, 1.0, 0.0, 0.0, 0.0]"
9,nested_compatible,1,12,0.2709397611631228,0.0,0.13546988058156142,"[0.0, 1.0, 0.0]","[0.13546988058156142, 0.7290602388368772, 0.1354698805815614]","[0.0, 1.0, 0.0]"
9,crossing_nonlaminar,0,19,0.0,0.0,0.0,"[1.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0]"
10,disjoint,1,192,1.1102230246251565e-16,1.1102230246251565e-16,-5.551115123125783e-17,"[0.16129398109915563, 0.5192369164963894, 0.31946910240445514]","[0.16129398109915558, 0.5192369164963893, 0.3194691024044551]","[0.16129398109915558, 0.5192369164963893, 0.3194691024044551]"
10,observed_node,1,15,0.29365514432234807,0.0,0.14682757216117404,"[0.0, 1.0, 0.0, 0.0, 0.0]","[0.14682757216117404, 0.7063448556776519, 0.14682757216117404, 0.0, 0.0]","[0.0, 1.0, 0.0, 0.0, 0.0]"
10,nested_compatible,1,12,0.0,0.0,0.0,"[1.0, 0.0, 0.0]","[1.0, 0.0, 0.0]","[1.0, 0.0, 0.0]"
10,crossing_nonlaminar,0,19,0.14682757216117417,8.326672684688674e-17,0.060276274360306706,"[0.0, 0.4105242188036787, 0.5894757811963216, 0.0]","[0.060276274360306706, 0.37652296788393247, 0.4766494599548935, 0.08655129780086733]","[0.0, 0.4105242188036786, 0.5894757811963215, 0.0]"
11,disjoint,1,192,9.71445146547012e-17,9.71445146547012e-17,5.551115123125783e-17,"[0.36139505243155257, 0.47992942921921616, 0.15867551834923116]","[0.3613950524315526, 0.4799294292192163, 0.1586755183492312]","[0.3613950524315526, 0.4799294292192163, 0.1586755183492312]"
11,observed_node,1,15,0.42559470158641916,0.0,0.21279735079320955,"[0.0, 1.0, 0.0, 0.0, 0.0]","[0.21279735079320955, 0.5744052984135809, 0.21279735079320958, 0.0, 0.0]","[0.0, 1.0, 0.0, 0.0, 0.0]"
11,nested_compatible,1,12,0.0,0.0,0.0,"[1.0, 0.0, 0.0]","[1.0, 0.0, 0.0]","[1.0, 0.0, 0.0]"
11,crossing_nonlaminar,0,19,0.2127973507932095,5.551115123125783e-17,0.13264647802571852,"[0.0, 0.6233464727416678, 0.37665352725833207, 0.0]","[0.13264647802571852, 0.43820438945772183, 0.3489982597490686, 0.08015087276749103]","[0.0, 0.6233464727416679, 0.37665352725833207, 0.0]"
12,disjoint,1,192,2.7755575615628914e-17,9.71445146547012e-17,0.0,"[0.40175328022535645, 0.4724549214825931, 0.12579179829205037]","[0.40175328022535645, 0.47245492148259316, 0.12579179829205037]","[0.4017532802253565, 0.4724549214825932, 0.1257917982920504]"
12,observed_node,1,15,0.0,0.0,0.0,"[0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 1.0, 0.0, 0.0]"
12,nested_compatible,1,12,0.0,0.0,0.0,"[0.0, 0.0, 1.0]","[0.0, 0.0, 1.0]","[0.0, 0.0, 1.0]"
12,crossing_nonlaminar,0,19,0.0,0.0,0.0,"[0.0, 1.0, 0.0, 0.0]","[0.0, 1.0, 0.0, 0.0]","[0.0, 1.0, 0.0, 0.0]"
13,disjoint,1,192,0.0,0.0,0.0,"[0.1907923076000756, 0.6680775076435701, 0.14113018475635433]","[0.1907923076000756, 0.6680775076435701, 0.14113018475635433]","[0.1907923076000756, 0.6680775076435701, 0.14113018475635433]"
13,observed_node,1,15,0.4679827393604563,0.0,0.0,"[0.0, 0.0, 0.0, 1.0, 0.0]","[0.0, 0.0, 0.2339913696802282, 0.5320172606395437, 0.2339913696802281]","[0.0, 0.0, 0.0, 1.0, 0.0]"
13,nested_compatible,1,12,0.4679827393604563,0.0,0.2339913696802282,"[0.0, 1.0, 0.0]","[0.2339913696802282, 0.5320172606395437, 0.2339913696802281]","[0.0, 1.0, 0.0]"
13,crossing_nonlaminar,0,19,0.0,0.0,0.0,"[0.0, 0.0, 1.0, 0.0]","[0.0, 0.0, 1.0, 0.0]","[0.0, 0.0, 1.0, 0.0]"
14,disjoint,1,192,8.326672684688674e-17,8.326672684688674e-17,5.551115123125783e-17,"[0.23786988856525862, 0.5553292371331033, 0.20680087430163796]","[0.23786988856525867, 0.5553292371331034, 0.20680087430163796]","[0.23786988856525867, 0.5553292371331034, 0.20680087430163796]"
14,observed_node,1,15,0.4992417593115219,0.0,0.24962087965576096,"[0.0, 1.0, 0.0, 0.0, 0.0]","[0.24962087965576096, 0.5007582406884781, 0.249620879655761, 0.0, 0.0]","[0.0, 1.0, 0.0, 0.0, 0.0]"
14,nested_compatible,1,12,0.0,0.0,0.0,"[1.0, 0.0, 0.0]","[1.0, 0.0, 0.0]","[1.0, 0.0, 0.0]"
14,crossing_nonlaminar,0,19,0.4992417593115219,0.0,0.24962087965576096,"[0.0, 1.0, 0.0, 0.0]","[0.24962087965576096, 0.5007582406884781, 0.249620879655761, 0.0]","[0.0, 1.0, 0.0, 0.0]"
15,disjoint,1,192,1.5265566588595902e-16,1.5265566588595902e-16,0.0,"[0.26556577817911464, 0.5013787946877087, 0.23305542713317687]","[0.26556577817911464, 0.5013787946877085, 0.23305542713317678]","[0.26556577817911464, 0.5013787946877085, 0.23305542713317678]"
15,observed_node,1,15,0.5390885569413294,0.0,0.030751741047171773,"[0.0, 0.0, 1.0, 0.0, 0.0]","[0.030751741047171773, 0.23879253742349282, 0.4609114430586706, 0.23879253742349293, 0.030751741047171807]","[0.0, 0.0, 1.0, 0.0, 0.0]"
15,nested_compatible,1,12,0.45063595346689284,0.0,0.2253179767334464,"[0.0, 1.0, 0.0]","[0.2253179767334464, 0.5493640465331071, 0.22531797673344647]","[0.0, 1.0, 0.0]"
15,crossing_nonlaminar,0,19,0.2729630497574672,0.0,0.13648152487873355,"[0.0, 1.0, 0.0, 0.0]","[0.13648152487873355, 0.7270369502425328, 0.13648152487873366, 0.0]","[0.0, 1.0, 0.0, 0.0]"
16,disjoint,1,192,1.3877787807814457e-16,0.0,-2.7755575615628914e-17,"[0.17091468912794736, 0.613263739984768, 0.21582157088728476]","[0.17091468912794733, 0.6132637399847678, 0.21582157088728474]","[0.17091468912794736, 0.613263739984768, 0.21582157088728476]"
16,observed_node,1,15,0.45876449345545406,0.0,0.017849628056787213,"[0.0, 0.0, 1.0, 0.0, 0.0]","[0.017849628056787213, 0.21153261867093978, 0.541235506544546, 0.21153261867093984, 0.01784962805678722]","[0.0, 0.0, 1.0, 0.0, 0.0]"
16,nested_compatible,1,12,0.37594463854145477,0.0,0.1879723192707273,"[0.0, 1.0, 0.0]","[0.1879723192707273, 0.6240553614585452, 0.1879723192707274]","[0.0, 1.0, 0.0]"
16,crossing_nonlaminar,0,19,0.1899176232547226,0.0,0.0,"[0.0, 0.0, 1.0, 0.0]","[0.0, 0.09495881162736132, 0.8100823767452774, 0.09495881162736129]","[0.0, 0.0, 1.0, 0.0]"
17,disjoint,1,192,0.0,0.0,0.0,"[0.1864588556501299, 0.5177925278261206, 0.29574861652374945]","[0.1864588556501299, 0.5177925278261206, 0.29574861652374945]","[0.1864588556501299, 0.5177925278261206, 0.29574861652374945]"
17,observed_node,1,15,0.3964349508947459,0.0,0.0,"[0.0, 0.0, 0.0, 1.0, 0.0]","[0.0, 0.0, 0.19821747544737303, 0.6035650491052541, 0.19821747544737292]","[0.0, 0.0, 0.0, 1.0, 0.0]"
17,nested_compatible,1,12,0.0,0.0,0.0,"[0.0, 0.0, 1.0]","[0.0, 0.0, 1.0]","[0.0, 0.0, 1.0]"
17,crossing_nonlaminar,0,19,0.3964349508947459,0.0,0.19821747544737303,"[0.0, 1.0, 0.0, 0.0]","[0.19821747544737303, 0.6035650491052541, 0.19821747544737292, 0.0]","[0.0, 1.0, 0.0, 0.0]"
18,disjoint,1,192,3.469446951953614e-17,3.469446951953614e-17,-5.551115123125783e-17,"[0.3672537117659329, 0.5143577519059681, 0.11838853632809906]","[0.36725371176593286, 0.5143577519059681, 0.11838853632809905]","[0.36725371176593286, 0.5143577519059681, 0.11838853632809905]"
18,observed_node,1,15,0.5848840201272794,0.0,0.04581635724157267,"[0.0, 0.0, 1.0, 0.0, 0.0]","[0.04581635724157267, 0.2466256528220671, 0.41511597987272064, 0.246625652822067, 0.04581635724157264]","[0.0, 0.0, 1.0, 0.0, 0.0]"
18,nested_compatible,1,12,0.4691455494942609,0.0,0.23457277474713045,"[0.0, 1.0, 0.0]","[0.23457277474713045, 0.5308544505057391, 0.23457277474713042]","[0.0, 1.0, 0.0]"
18,crossing_nonlaminar,0,19,0.3906366140824544,0.0,0.19531830704122727,"[0.0, 1.0, 0.0, 0.0]","[0.19531830704122727, 0.6093633859175457, 0.19531830704122716, 0.0]","[0.0, 1.0, 0.0, 0.0]"
19,disjoint,1,192,8.326672684688674e-17,1.249000902703301e-16,5.551115123125783e-17,"[0.2608339446863683, 0.4999916538443834, 0.2391744014692482]","[0.26083394468636834, 0.4999916538443835, 0.2391744014692482]","[0.2608339446863684, 0.4999916538443835, 0.23917440146924823]"
19,observed_node,1,15,0.4983563881551636,0.0,0.2491781940775818,"[0.0, 1.0, 0.0, 0.0, 0.0]","[0.2491781940775818, 0.5016436118448364, 0.2491781940775818, 0.0, 0.0]","[0.0, 1.0, 0.0, 0.0, 0.0]"
19,nested_compatible,1,12,0.0,0.0,0.0,"[1.0, 0.0, 0.0]","[1.0, 0.0, 0.0]","[1.0, 0.0, 0.0]"
19,crossing_nonlaminar,0,19,0.4753956988269466,1.1449174941446927e-16,0.24152463096817617,"[0.0, 0.9692847797627799, 0.03071522023721989, 0.0]","[0.24152463096817617, 0.49388908093583345, 0.25693272498658476, 0.007653563109405647]","[0.0, 0.9692847797627802, 0.030715220237219898, 0.0]"
20,disjoint,1,192,5.551115123125783e-17,5.551115123125783e-17,0.0,"[0.19975463027561377, 0.517615107947029, 0.2826302617773571]","[0.19975463027561377, 0.5176151079470291, 0.2826302617773571]","[0.19975463027561377, 0.5176151079470291, 0.2826302617773571]"
20,observed_node,1,15,0.573002606224696,0.0,0.042220815562202314,"[0.0, 0.0, 1.0, 0.0, 0.0]","[0.042220815562202314, 0.2442804875501457, 0.426997393775304, 0.2442804875501457, 0.042220815562202314]","[0.0, 0.0, 1.0, 0.0, 0.0]"
20,nested_compatible,1,12,0.370490316621811,0.0,0.1852451583109055,"[0.0, 1.0, 0.0]","[0.1852451583109055, 0.629509683378189, 0.1852451583109055]","[0.0, 1.0, 0.0]"
20,crossing_nonlaminar,0,19,0.22791859148804933,8.326672684688674e-17,0.09373788059546276,"[0.0, 0.4112779040246822, 0.5887220959753177, 0.0]","[0.09373788059546276, 0.3579828537263434, 0.4140985547856072, 0.13418071089258668]","[0.0, 0.41127790402468223, 0.5887220959753178, 0.0]"
21,disjoint,1,192,8.326672684688674e-17,8.326672684688674e-17,5.551115123125783e-17,"[0.21995547480205985, 0.5358218525018409, 0.2442226726960991]","[0.2199554748020599, 0.535821852501841, 0.2442226726960991]","[0.2199554748020599, 0.535821852501841, 0.2442226726960991]"
21,observed_node,1,15,0.1672614468669553,0.0,0.08363072343347772,"[0.0, 1.0, 0.0, 0.0, 0.0]","[0.08363072343347772, 0.8327385531330448, 0.08363072343347765, 0.0, 0.0]","[0.0, 1.0, 0.0, 0.0, 0.0]"
21,nested_compatible,1,12,0.0,0.0,0.0,"[1.0, 0.0, 0.0]","[1.0, 0.0, 0.0]","[1.0, 0.0, 0.0]"
21,crossing_nonlaminar,0,19,0.1672614468669553,0.0,0.08363072343347772,"[0.0, 1.0, 0.0, 0.0]","[0.08363072343347772, 0.8327385531330448, 0.08363072343347765, 0.0]","[0.0, 1.0, 0.0, 0.0]"
22,disjoint,1,192,5.551115123125783e-17,5.551115123125783e-17,0.0,"[0.10381638085789147, 0.43935123723124975, 0.4568323819108589]","[0.10381638085789147, 0.4393512372312497, 0.45683238191085884]","[0.10381638085789147, 0.4393512372312497, 0.45683238191085884]"
22,observed_node,1,15,0.27758529282363187,0.0,0.13879264641181588,"[0.0, 1.0, 0.0, 0.0, 0.0]","[0.13879264641181588, 0.7224147071763681, 0.138792646411816, 0.0, 0.0]","[0.0, 1.0, 0.0, 0.0, 0.0]"
22,nested_compatible,1,12,0.0,0.0,0.0,"[1.0, 0.0, 0.0]","[1.0, 0.0, 0.0]","[1.0, 0.0, 0.0]"
22,crossing_nonlaminar,0,19,0.27758529282363187,0.0,0.13879264641181588,"[0.0, 1.0, 0.0, 0.0]","[0.13879264641181588, 0.7224147071763681, 0.138792646411816, 0.0]","[0.0, 1.0, 0.0, 0.0]"
23,disjoint,1,192,5.551115123125783e-17,4.163336342344337e-17,-5.551115123125783e-17,"[0.39303743413017567, 0.468178810240848, 0.1387837556289763]","[0.3930374341301756, 0.46817881024084806, 0.1387837556289763]","[0.39303743413017567, 0.46817881024084806, 0.13878375562897632]"
23,observed_node,1,15,0.27574555487261215,0.0,0.006049541389651857,"[0.0, 0.0, 1.0, 0.0, 0.0]","[0.006049541389651857, 0.13182323604665422, 0.7242544451273879, 0.13182323604665427, 0.006049541389651861]","[0.0, 0.0, 1.0, 0.0, 0.0]"
23,nested_compatible,1,12,0.16804272433875958,0.0,0.08402136216937976,"[0.0, 1.0, 0.0]","[0.08402136216937976, 0.8319572756612404, 0.08402136216937985]","[0.0, 1.0, 0.0]"
23,crossing_nonlaminar,0,19,0.14400007887176372,0.0,0.0,"[0.0, 0.0, 1.0, 0.0]","[0.0, 0.07200003943588187, 0.8559999211282363, 0.07200003943588186]","[0.0, 0.0, 1.0, 0.0]"
24,disjoint,1,192,1.3877787807814457e-17,1.3877787807814457e-17,-2.7755575615628914e-17,"[0.24791873843575624, 0.5522178081398297, 0.1998634534244142]","[0.2479187384357562, 0.5522178081398297, 0.1998634534244142]","[0.2479187384357562, 0.5522178081398297, 0.1998634534244142]"
24,observed_node,1,15,0.09296990881395167,0.0,0.0,"[0.0, 0.0, 0.0, 1.0, 0.0]","[0.0, 0.0, 0.046484954406975816, 0.9070300911860483, 0.04648495440697581]","[0.0, 0.0, 0.0, 1.0, 0.0]"
24,nested_compatible,1,12,0.0,0.0,0.0,"[0.0, 0.0, 1.0]","[0.0, 0.0, 1.0]","[0.0, 0.0, 1.0]"
24,crossing_nonlaminar,0,19,0.0556822181215445,1.1102230246251565e-16,0.03405572417617338,"[0.0, 0.7326182118630363, 0.26738178813696395, 0.0]","[0.03405572417617338, 0.6769359937414916, 0.2765790518515324, 0.012429230230802434]","[0.0, 0.7326182118630361, 0.26738178813696395, 0.0]"
25,disjoint,1,192,5.551115123125783e-17,2.7755575615628914e-17,-5.551115123125783e-17,"[0.4228978779922636, 0.4793789825219393, 0.09772313948579715]","[0.4228978779922635, 0.47937898252193933, 0.09772313948579715]","[0.4228978779922635, 0.4793789825219393, 0.09772313948579715]"
25,observed_node,1,15,0.0,0.0,0.0,"[0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 1.0, 0.0, 0.0]"
25,nested_compatible,1,12,0.0,0.0,0.0,"[0.0, 0.0, 1.0]","[0.0, 0.0, 1.0]","[0.0, 0.0, 1.0]"
25,crossing_nonlaminar,0,19,0.0,0.0,0.0,"[1.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0]"
26,disjoint,1,192,2.220446049250313e-16,2.220446049250313e-16,1.6653345369377348e-16,"[0.3855210251398992, 0.4837064293872492, 0.13077254547285116]","[0.3855210251398994, 0.48370642938724945, 0.13077254547285122]","[0.3855210251398994, 0.48370642938724945, 0.13077254547285122]"
26,observed_node,1,15,0.5401706070749098,0.0,0.020107325421799917,"[0.0, 0.0, 1.0, 0.0, 0.0]","[0.020107325421799917, 0.249977978115655, 0.45982939292509006, 0.2499779781156551, 0.020107325421799934]","[0.0, 0.0, 1.0, 0.0, 0.0]"
26,nested_compatible,1,12,0.16087949783328417,0.0,0.08043974891664209,"[0.0, 1.0, 0.0]","[0.08043974891664209, 0.8391205021667159, 0.08043974891664213]","[0.0, 1.0, 0.0]"
26,crossing_nonlaminar,0,19,0.24996753088621246,2.220446049250313e-16,0.125715440061674,"[0.0, 0.5029270786328676, 0.49707292136713205, 0.0]","[0.125715440061674, 0.3757482893340581, 0.37428417977972916, 0.1242520908245386]","[0.0, 0.5029270786328678, 0.49707292136713227, 0.0]"
27,disjoint,1,192,3.469446951953614e-18,3.469446951953614e-18,-6.938893903907228e-18,"[0.060553328632801336, 0.37818467274188905, 0.5612619986253096]","[0.06055332863280133, 0.37818467274188905, 0.5612619986253096]","[0.06055332863280133, 0.37818467274188905, 0.5612619986253096]"
27,observed_node,1,15,0.0,0.0,0.0,"[0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 1.0, 0.0, 0.0]"
27,nested_compatible,1,12,0.0,0.0,0.0,"[1.0, 0.0, 0.0]","[1.0, 0.0, 0.0]","[1.0, 0.0, 0.0]"
27,crossing_nonlaminar,0,19,2.7755575615628914e-17,8.326672684688674e-17,0.0,"[0.0, 0.0, 0.7124343448107657, 0.2875656551892344]","[0.0, 0.0, 0.7124343448107657, 0.2875656551892343]","[0.0, 0.0, 0.7124343448107656, 0.2875656551892343]"
28,disjoint,1,192,1.5612511283791264e-17,1.5612511283791264e-17,0.0,"[0.7503697785717509, 0.23191151513409983, 0.017718706294149282]","[0.7503697785717509, 0.2319115151340998, 0.01771870629414928]","[0.7503697785717509, 0.2319115151340998, 0.01771870629414928]"
28,observed_node,1,15,0.0,0.0,0.0,"[1.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0]"
28,nested_compatible,1,12,0.0,0.0,0.0,"[1.0, 0.0, 0.0]","[1.0, 0.0, 0.0]","[1.0, 0.0, 0.0]"
28,crossing_nonlaminar,0,19,0.0,0.0,0.0,"[0.0, 1.0, 0.0, 0.0]","[0.0, 1.0, 0.0, 0.0]","[0.0, 1.0, 0.0, 0.0]"
29,disjoint,1,192,0.0,0.0,0.0,"[0.33615752389578446, 0.5555672301001919, 0.1082752460040236]","[0.33615752389578446, 0.5555672301001919, 0.1082752460040236]","[0.33615752389578446, 0.5555672301001919, 0.1082752460040236]"
29,observed_node,1,15,0.511876963033884,0.0,0.027866445030972558,"[0.0, 0.0, 1.0, 0.0, 0.0]","[0.027866445030972558, 0.22807203648596958, 0.48812303696611603, 0.22807203648596944, 0.02786644503097253]","[0.0, 0.0, 1.0, 0.0, 0.0]"
