p,n,B,G,ratio_laminar_opt
0.825,4,2,2,1.0
0.825,4,1,3,1.0
0.825,4,2,3,1.0
0.825,5,1,2,1.0
0.825,5,2,2,1.0
0.825,5,1,3,1.0
0.825,5,2,3,1.0
0.825,6,1,2,1.0
0.825,6,2,2,1.0
0.825,6,1,3,1.0
0.825,6,2,3,1.0
0.85,4,1,2,1.0
0.85,4,2,2,1.0
0.85,4,1,3,1.0
0.85,4,2,3,1.0
0.85,5,1,2,1.0
0.85,5,2,2,1.0
0.85,5,1,3,1.0
0.85,5,2,3,1.0
0.85,6,1,2,1.0
0.85,6,2,2,1.0
0.85,6,1,3,1.0
0.85,6,2,3,1.0
0.875,4,1,2,1.0
0.875,4,2,2,1.0
0.875,4,1,3,1.0
0.875,4,2,3,1.0
0.875,5,1,2,1.0
0.875,5,2,2,1.0
0.875,5,1,3,1.0
0.875,5,2,3,1.0
0.875,6,1,2,1.0
0.875,6,2,2,1.0
0.875,6,1,3,1.0
0.875,6,2,3,1.0
0.9,4,1,2,1.0
0.9,4,2,2,1.0
0.9,4,1,3,1.0
0.9,4,2,3,1.0
0.9,5,1,2,1.0
0.9,5,2,2,1.0
0.9,5,1,3,1.0
0.9,5,2,3,1.0
0.9,6,1,2,1.0
0.9,6,2,2,1.0
0.9,6,1,3,1.0
0.9,6,2,3,1.0
