n,S,replicate,exact_value,true_selected_value,value_ratio,true_regret,empirical_objective,empirical_bruteforce,empirical_identity_error,pool_match,selected_pool,exact_pool,mip_gap
10,500,1,3.1127172492330297,3.1127172492330297,1.0,0.0,3.135572841318256,3.135572841318256,0.0,1,280,280,0.0
10,500,2,3.893507003821277,3.893507003821277,1.0,0.0,3.87585023784836,3.87585023784836,0.0,1,131,131,0.0
10,500,3,2.2746679195492234,2.2746679195492234,1.0,0.0,2.301377777670762,2.301377777670762,0.0,1,133,133,0.0
12,25,0,3.9570183506280707,3.9570183506280707,1.0,0.0,3.166076187178308,3.166076187178308,0.0,1,3104,3104,0.0
12,25,1,2.4986931623961133,2.3486073938730465,0.9399342941415254,0.15008576852306676,2.825677643895601,2.825677643895601,0.0,0,769,648,0.0
12,25,2,1.2912864325656757,1.0758763574691559,0.8331818025312027,0.21541007509651977,1.5380318831977986,1.5380318831977986,0.0,0,131,129,0.0
12,25,3,2.655597479178021,2.655597479178021,1.0,0.0,3.0749308792569865,3.0749308792569865,0.0,1,448,448,0.0
12,50,0,3.9570183506280707,3.9570183506280707,1.0,0.0,3.4299158694431675,3.4299158694431675,0.0,1,3104,3104,0.0
12,50,1,2.4986931623961133,2.4033320742887345,0.9618356148956151,0.09536108810737876,2.9182975417475268,2.9182975417475268,0.0,0,641,648,0.0
12,50,2,1.2912864325656757,1.2380714055583457,0.9587891379749137,0.05321502700732994,1.403738336690117,1.403738336690117,0.0,0,259,129,0.0
12,50,3,2.655597479178021,2.598782289292809,0.9786054963786162,0.056815189885211836,3.2714825658199262,3.2714825658199262,0.0,0,385,448,0.0
12,100,0,3.9570183506280707,3.9570183506280707,1.0,0.0,3.891635313406671,3.891635313406671,0.0,1,3104,3104,0.0
12,100,1,2.4986931623961133,2.4505894870732834,0.980748466419662,0.048103675322829886,2.8003737969667633,2.8003737969667633,0.0,0,896,648,0.0
12,100,2,1.2912864325656757,1.2380714055583457,0.9587891379749137,0.05321502700732994,1.4371606780398818,1.4371606780398818,0.0,0,259,129,0.0
12,100,3,2.655597479178021,2.655597479178021,1.0,0.0,2.855292959310059,2.855292959310059,0.0,1,448,448,0.0
12,250,0,3.9570183506280707,3.9570183506280707,1.0,0.0,4.1158990433318,4.1158990433318,0.0,1,3104,3104,0.0
12,250,1,2.4986931623961133,2.4505894870732834,0.980748466419662,0.048103675322829886,2.560341757226754,2.560341757226754,0.0,0,896,648,0.0
12,250,2,1.2912864325656757,1.2380714055583457,0.9587891379749137,0.05321502700732994,1.3636315270703987,1.3636315270703987,0.0,0,259,129,0.0
12,250,3,2.655597479178021,2.655597479178021,1.0,0.0,2.7235102073419006,2.7235102073419006,0.0,1,448,448,0.0
12,500,0,3.9570183506280707,3.9570183506280707,1.0,0.0,4.076323090992069,4.076323090992069,0.0,1,3104,3104,0.0
12,500,1,2.4986931623961133,2.4505894870732834,0.980748466419662,0.048103675322829886,2.460328407335083,2.460328407335083,0.0,0,896,648,0.0
12,500,2,1.2912864325656757,1.2380714055583457,0.9587891379749137,0.05321502700732994,1.3502625905304924,1.3502625905304924,0.0,0,259,129,0.0
12,500,3,2.655597479178021,2.655597479178021,1.0,0.0,2.7820803193277475,2.7820803193277475,0.0,1,448,448,0.0
