instance,seed,base_p,n,B,G,rate_mode,utility_mode,replicate,p,u,V_star,V_laminar,V_greedy_laminar,V_rollout_laminar,V_static_binary,ratio_laminar_opt,ratio_greedy_laminar,ratio_static_opt,ratio_greedy_static,ratio_rollout_greedy,full_seconds,laminar_seconds,libraries_total,libraries_checked,best_library,practical_library
11,22054232,0.05,4,2,2,beta_bimodal,log_uniform,2,"[0.19932658411456153, 0.00048499345837551725, 8.69874500066618e-05, 0.00010143497705616172]","[1.9979281277825924, 0.20797101793570907, 1.311075631035238, 0.48302522324646063]",3.5596472660415737,3.559111027599617,3.463412144591248,3.463412144591248,3.5591110275996165,0.999849356298004,0.9731115769454061,0.9998493562980038,0.9731115769454062,1.0,0.000561750028282404,0.00044854101724922657,3,3,"[1, 2, 4, 8, 3, 12]","[1, 2, 4, 5, 8, 10]"
12,22054230,0.05,4,2,3,homogeneous,flat,0,"[0.05, 0.05, 0.05, 0.05]","[1.0, 1.0, 1.0, 1.0]",3.61,3.61,3.522125,3.522125,3.61,1.0,0.9756578947368422,1.0,0.9756578947368422,1.0,0.0012173749855719507,0.0005654590204358101,15,3,"[1, 2, 4, 8, 3, 12]","[1, 2, 4, 6, 7, 8]"
13,22054231,0.05,4,2,3,homogeneous,flat,1,"[0.05, 0.05, 0.05, 0.05]","[1.0, 1.0, 1.0, 1.0]",3.61,3.61,3.522125,3.522125,3.61,1.0,0.9756578947368422,1.0,0.9756578947368422,1.0,0.0012173749855719507,0.0005654590204358101,15,3,"[1, 2, 4, 8, 3, 12]","[1, 2, 4, 6, 7, 8]"
14,22054232,0.05,4,2,3,homogeneous,flat,2,"[0.05, 0.05, 0.05, 0.05]","[1.0, 1.0, 1.0, 1.0]",3.61,3.61,3.522125,3.522125,3.61,1.0,0.9756578947368422,1.0,0.9756578947368422,1.0,0.0012173749855719507,0.0005654590204358101,15,3,"[1, 2, 4, 8, 3, 12]","[1, 2, 4, 6, 7, 8]"
15,22054237,0.05,4,2,3,homogeneous,log_uniform,0,"[0.05, 0.05, 0.05, 0.05]","[2.5370185913937524, 0.48167777614361285, 0.30107418204400854, 0.6802294504186263]",3.6852032177322553,3.6644913470278464,3.651620425745465,3.651620425745465,3.683437133626594,0.9943797208781462,0.9964876649817114,0.9995207634419824,0.9913622231826166,1.0,0.0011989580234512687,0.002742749988101423,15,15,"[1, 2, 4, 8, 6, 14]","[1, 2, 4, 8, 10, 11]"
16,22054238,0.05,4,2,3,homogeneous,log_uniform,1,"[0.05, 0.05, 0.05, 0.05]","[0.6222761271602844, 1.5003300780589892, 1.2302701464590897, 0.6471236483216358]",3.6198996934085996,3.6099999999999994,3.5425145166444367,3.5425145166444367,3.617035610165168,0.9972652022854042,0.9813059602893178,0.9992087948600767,0.9793971910834108,1.0,0.0011892920010723174,0.002316416008397937,15,15,"[1, 2, 4, 8, 3, 12]","[1, 2, 4, 8, 12, 14]"
17,22054239,0.05,4,2,3,homogeneous,log_uniform,2,"[0.05, 0.05, 0.05, 0.05]","[1.6550371255812062, 0.9309773875211603, 0.9224747475694326, 0.49151073932820066]",3.620333582435816,3.6100000000000003,3.5617857296506785,3.5617857296506785,3.6171432776810035,0.9971456822415621,0.9866442464406311,0.9991187815481174,0.9846957823396436,1.0,0.0012616250314749777,0.00301445898367092,15,15,"[1, 2, 4, 8, 5, 10]","[1, 2, 4, 6, 7, 8]"
18,22054233,0.05,4,2,3,beta_bimodal,flat,0,"[0.03148823562220054, 0.004861804233685092, 0.013228613212004131, 0.15042134693211037]","[1.0, 1.0, 1.0, 1.0]",3.743807931096094,3.723530774360685,3.705359926660028,3.705359926660028,3.739962883898955,0.9945838148995341,0.9951199952943112,0.9989729582104889,0.9907477805761395,1.0,0.00123366602929309,0.0023147910251282156,15,15,"[1, 2, 4, 8, 6, 7]","[1, 2, 4, 5, 7, 8]"
19,22054234,0.05,4,2,3,beta_bimodal,flat,1,"[0.026013670733155005, 0.0001497211146037021, 0.0026061003542810716, 0.17123050779796015]","[1.0, 1.0, 1.0, 1.0]",3.7842626740667673,3.7708454502111386,3.747441384439792,3.747441384439792,3.7833934682498866,0.9964544681457829,0.9937934168662266,0.9997703103902281,0.9904973976109533,1.0,0.001194832962937653,0.0027777920477092266,15,15,"[1, 2, 4, 8, 6, 7]","[1, 2, 4, 5, 7, 8]"
20,22054235,0.05,4,2,3,beta_bimodal,flat,2,"[0.004578819844058224, 0.06509778957260619, 0.12642995608881663, 0.003893434494519037]","[1.0, 1.0, 1.0, 1.0]",3.7610326700162355,3.720382448302844,3.6600991052186096,3.6600991052186096,3.7599523474369825,0.9891917392695193,0.9837964661101618,0.9997127590547497,0.9734429500718436,1.0,0.0011901669786311686,0.0023250830126926303,15,15,"[1, 2, 4, 8, 9, 11]","[1, 2, 3, 4, 8, 11]"
21,22054240,0.05,4,2,3,beta_bimodal,log_uniform,0,"[0.0010596373101410704, 0.12242436425306999, 0.010833483923814915, 0.06568251451297415]","[0.38493374674564423, 0.7915453572783565, 0.7855238565321008, 2.0379970394438987]",3.718152024646232,3.6799160015692665,3.498847078891464,3.498847078891464,3.71515010980722,0.9897163906092291,0.9507953652744826,0.9991926325714727,0.9417781181049021,1.0,0.0012338330270722508,0.002435291011352092,15,15,"[1, 2, 4, 8, 5, 13]","[1, 2, 4, 6, 8, 14]"
22,22054241,0.05,4,2,3,beta_bimodal,log_uniform,1,"[0.00019995132885376241, 0.18246694292665713, 0.017069568584842442, 0.0002635371596466852]","[1.9449934419539827, 0.38051986390983844, 0.5595287439835139, 1.1149579501526652]",3.91390072825988,3.91390072825988,3.8953814249215046,3.8953814249215046,3.9096734442274443,1.0,0.9952683257383973,0.9989199306967821,0.9963444467908077,1.0,0.0011778330081142485,0.0017065409920178354,15,11,"[1, 2, 4, 8, 9, 13]","[1, 2, 4, 8, 12, 13]"
23,22054242,0.05,4,2,3,beta_bimodal,log_uniform,2,"[0.06000194951438481, 0.12235298381366427, 0.015880676132815345, 0.0017643905391356125]","[0.3497710577020017, 1.105956646668423, 2.2392739306257528, 0.3049983650038221]",3.758826810841078,3.7371791420228897,3.632818670959066,3.632818670959066,3.757631882626604,0.9942408443092529,0.9720750686285446,0.9996821007525467,0.9667840768957141,1.0,0.001168042013887316,0.00229425000725314,15,15,"[1, 2, 4, 8, 12, 14]","[1, 2, 3, 4, 7, 8]"
24,22054320,0.05,4,3,2,homogeneous,flat,0,"[0.05, 0.05, 0.05, 0.05]","[1.0, 1.0, 1.0, 1.0]",3.7523812500000004,3.743475,3.7004875,3.7049999999999996,3.7049999999999987,0.9976265071679483,0.9885166856997842,0.9873730181334848,0.9987820512820516,1.0012194339259353,0.003030249965377152,0.0027366250287741423,3,3,"[1, 2, 4, 8, 3, 12]","[1, 2, 3, 4, 8, 12]"
25,22054321,0.05,4,3,2,homogeneous,flat,1,"[0.05, 0.05, 0.05, 0.05]","[1.0, 1.0, 1.0, 1.0]",3.7523812500000004,3.743475,3.7004875,3.7049999999999996,3.7049999999999987,0.9976265071679483,0.9885166856997842,0.9873730181334848,0.9987820512820516,1.0012194339259353,0.003030249965377152,0.0027366250287741423,3,3,"[1, 2, 4, 8, 3, 12]","[1, 2, 3, 4, 8, 12]"
26,22054322,0.05,4,3,2,homogeneous,flat,2,"[0.05, 0.05, 0.05, 0.05]","[1.0, 1.0, 1.0, 1.0]",3.7523812500000004,3.743475,3.7004875,3.7049999999999996,3.7049999999999987,0.9976265071679483,0.9885166856997842,0.9873730181334848,0.9987820512820516,1.0012194339259353,0.003030249965377152,0.0027366250287741423,3,3,"[1, 2, 4, 8, 3, 12]","[1, 2, 3, 4, 8, 12]"
27,22054327,0.05,4,3,2,homogeneous,log_uniform,0,"[0.05, 0.05, 0.05, 0.05]","[0.4221116801922256, 0.552219007507958, 2.4907065686880534, 0.5349627436117628]",3.7796160979081064,3.7750437875389418,3.7513052729536924,3.7545389648693104,3.7545389648693104,0.9987902712204831,0.9937117247053907,0.9933651639771893,0.9991387246354678,1.0008620177992265,0.002931833965703845,0.0022759169805794954,3,3,"[1, 2, 4, 8, 9, 6]","[1, 2, 4, 6, 8, 9]"
28,22054328,0.05,4,3,2,homogeneous,log_uniform,1,"[0.05, 0.05, 0.05, 0.05]","[1.1914198672579364, 0.5574989758785546, 1.1170441224108032, 1.1340370344527058]",3.7720552120249136,3.7633607949254224,3.7146113779068863,3.7204592028312553,3.720459202831255,0.9976950451118068,0.9870463078947226,0.9863215127315274,0.9984281980783667,1.0015742763722606,0.0034682920086197555,0.002622624975629151,3,3,"[1, 2, 4, 8, 5, 10]","[1, 2, 4, 6, 8, 9]"
29,22054329,0.05,4,3,2,homogeneous,log_uniform,2,"[0.05, 0.05, 0.05, 0.05]","[0.3182942607216378, 0.3989668971829201, 2.154841649083103, 1.127897193012339]",3.7845554873124563,3.7779910484087167,3.752332595229263,3.765930094999533,3.7659300949995327,0.9982654663339601,0.9932084399219896,0.9950785786136934,0.9963893382438711,1.0036237458767803,0.002987791958730668,0.002832458005286753,3,3,"[1, 2, 4, 8, 3, 12]","[1, 2, 3, 4, 8, 12]"
30,22054323,0.05,4,3,2,beta_bimodal,flat,0,"[0.0030520350804963035, 0.0005158090682104761, 0.1964278909494626, 4.264901830620552e-06]","[1.0, 1.0, 1.0, 1.0]",3.799993745342594,3.799892617427055,3.797441362646886,3.799577823896593,3.7999899111521867,0.9999733873468443,0.9993549147233984,0.9999989910008636,0.9993293275601018,1.0005626054613304,0.0030721669900231063,0.0023775000008754432,3,3,"[1, 2, 4, 8, 5, 10]","[1, 2, 4, 5, 8, 10]"
31,22054324,0.05,4,3,2,beta_bimodal,flat,1,"[0.05048813916964428, 0.11892141900416812, 0.004752979741252474, 0.02583746208493509]","[1.0, 1.0, 1.0, 1.0]",3.793670377668249,3.790593508712547,3.7474593507473917,3.769655168041523,3.7895585293650536,0.9991889466797604,0.9886207376586245,0.9989161292643134,0.9888907432643043,1.0059228974130712,0.002995292015839368,0.002345958026126027,3,3,"[1, 2, 4, 8, 3, 12]","[1, 2, 3, 4, 8, 12]"
32,22054325,0.05,4,3,2,beta_bimodal,flat,2,"[5.631833047076852e-07, 6.479386883342947e-08, 0.19999836999212503, 1.002030701220029e-06]","[1.0, 1.0, 1.0, 1.0]",3.7999999481638573,3.79999982256959,3.799999020943899,3.7999994328234634,3.7999998704118005,0.9999999669488765,0.9999997890458611,0.9999999795389322,0.9999997764558078,1.000000108389387,0.002941999991890043,0.003304207988549024,3,3,"[1, 2, 4, 8, 3, 12]","[1, 2, 3, 4, 8, 12]"
33,22054330,0.05,4,3,2,beta_bimodal,log_uniform,0,"[0.19901367850226206, 0.0007020343209380967, 0.0001007405250623556, 0.00018354665173766956]","[0.5138043458148999, 1.5932908921348314, 1.640541935863112, 0.25236282618715716]",3.8963740817845416,3.89633022478596,3.896238161704029,3.896313639745115,3.896288974364076,0.9999887441509309,0.9999763718482214,0.9999781572768222,0.9999869587034276,1.0000193720296227,0.0034885420463979244,0.002679416968021542,3,3,"[1, 2, 4, 8, 3, 12]","[1, 2, 4, 6, 8, 9]"
34,22054331,0.05,4,3,2,beta_bimodal,log_uniform,1,"[0.028818890132748843, 0.08420985094334603, 0.06314555834630986, 0.02382570057759529]","[0.33626401347934426, 2.1377771037047046, 1.1133706636693963, 0.4125882191465543]",3.7195799350158794,3.7162814894058807,3.6647758619429527,3.71076486184767,3.71076486184767,0.9991132209368732,0.9861405473159779,0.9976300890632233,0.9876065982036334,1.0125489256743618,0.002915457997005433,0.0024832499912008643,3,3,"[1, 2, 4, 8, 9, 6]","[1, 2, 4, 6, 8, 9]"
35,22054332,0.05,4,3,2,beta_bimodal,log_uniform,2,"[0.00045181410872031783, 0.19689348984310043, 1.2666916147499436e-06, 0.0026534293565644513]","[0.44950287784618875, 1.5434425896542459, 1.1051275531275169, 0.9019269793720491]",3.69350547950742,3.6934262056994247,3.692865784420601,3.6928673496748035,3.693505477583842,0.9999785369729556,0.9998482652021154,0.9999999994791998,0.999826805952469,1.0000004238589468,0.0030001249979250133,0.0028121250215917826,3,3,"[1, 2, 4, 8, 5, 10]","[1, 2, 4, 6, 8, 9]"
36,22054330,0.05,4,3,3,homogeneous,flat,0,"[0.05, 0.05, 0.05, 0.05]","[1.0, 1.0, 1.0, 1.0]",3.7907375,3.743475,3.61475,3.705,3.7049999999999987,0.9875321095169476,0.9656135008247684,0.9773823695257186,0.975641025641026,1.0249671484888305,0.007018958043772727,0.01210904202889651,15,15,"[1, 2, 4, 8, 3, 12]","[1, 2, 4, 6, 7, 8]"
37,22054331,0.05,4,3,3,homogeneous,flat,1,"[0.05, 0.05, 0.05, 0.05]","[1.0, 1.0, 1.0, 1.0]",3.7907375,3.743475,3.61475,3.705,3.7049999999999987,0.9875321095169476,0.9656135008247684,0.9773823695257186,0.975641025641026,1.0249671484888305,0.007018958043772727,0.01210904202889651,15,15,"[1, 2, 4, 8, 3, 12]","[1, 2, 4, 6, 7, 8]"
38,22054332,0.05,4,3,3,homogeneous,flat,2,"[0.05, 0.05, 0.05, 0.05]","[1.0, 1.0, 1.0, 1.0]",3.7907375,3.743475,3.61475,3.705,3.7049999999999987,0.9875321095169476,0.9656135008247684,0.9773823695257186,0.975641025641026,1.0249671484888305,0.007018958043772727,0.01210904202889651,15,15,"[1, 2, 4, 8, 3, 12]","[1, 2, 4, 6, 7, 8]"
39,22054337,0.05,4,3,3,homogeneous,log_uniform,0,"[0.05, 0.05, 0.05, 0.05]","[0.9148563920821574, 0.9494277389086021, 1.8797828331987612, 0.25593303581047955]",3.7908359687554385,3.7794305986579073,3.722474835565302,3.7334463648942022,3.763195752447556,0.996991331149241,0.9849300677427889,0.9927086752010119,0.9891791659108433,1.0029473750162328,0.007239750004373491,0.012047290976624936,15,15,"[1, 2, 4, 8, 3, 12]","[1, 2, 3, 4, 7, 8]"
40,22054338,0.05,4,3,3,homogeneous,log_uniform,1,"[0.05, 0.05, 0.05, 0.05]","[0.5130815306699912, 0.7286185315883829, 2.044038126713672, 0.7142618110279539]",3.791112793615029,3.76911762974712,3.7094680198578147,3.7314631837257237,3.741701191269347,0.9941982301595054,0.9841741182555486,0.9869664647200946,0.9913854234307263,1.0059294658291063,0.0070776669890619814,0.012181625002995133,15,15,"[1, 2, 4, 8, 3, 12]","[1, 2, 4, 8, 10, 14]"
41,22054339,0.05,4,3,3,homogeneous,log_uniform,2,"[0.05, 0.05, 0.05, 0.05]","[0.9597767966918244, 0.10104596720283576, 1.408492880400556, 1.5306843557047836]",3.7929935723082813,3.784513499639986,3.7409594893105553,3.7452912036170822,3.7760371930010037,0.997764279715577,0.9884915167210861,0.995529552322189,0.9907104453961773,1.0011579153206294,0.007021708006504923,0.012166290951427072,15,15,"[1, 2, 4, 8, 3, 12]","[1, 2, 4, 5, 8, 13]"
42,22054333,0.05,4,3,3,beta_bimodal,flat,0,"[0.1995065675284799, 0.0004897966541010786, 1.4316345134162383e-06, 2.204182905480101e-06]","[1.0, 1.0, 1.0, 1.0]",3.799999427311019,3.7999981265459555,3.7996028095987713,3.799604286964846,3.799997136355739,0.9999996576933528,0.9998959691731365,0.9999993971169406,0.9998962297225976,1.000000388821187,0.00722070800838992,0.012181708007119596,15,15,"[1, 2, 4, 8, 3, 12]","[1, 2, 4, 8, 10, 14]"
43,22054334,0.05,4,3,3,beta_bimodal,flat,1,"[0.00046995092783433905, 8.007202306189436e-05, 2.4024337408338265e-06, 0.199447574615363]","[1.0, 1.0, 1.0, 1.0]",3.799998981920169,3.7999815739783007,3.799477781432567,3.799555385492316,3.799995158824081,0.9999954189614388,0.9998674223714179,0.9999989939218126,0.9998638478814078,1.0000204249279014,0.00807437498588115,0.012218084011692554,15,15,"[1, 2, 4, 8, 9, 6]","[1, 2, 3, 4, 7, 8]"
44,22054335,0.05,4,3,3,beta_bimodal,flat,2,"[0.04280308179522969, 0.0596480853465997, 0.09748201734127138, 6.681551689927808e-05]","[1.0, 1.0, 1.0, 1.0]",3.799583290477498,3.7936992692201574,3.7026007984771443,3.709729241756939,3.7995640452466537,0.9984514035336224,0.9759869024194584,0.9999949349101275,0.9744804283820896,1.0019252529958744,0.007087666017469019,0.012284084048587829,15,15,"[1, 2, 4, 8, 9, 6]","[1, 2, 3, 4, 8, 11]"
45,22054340,0.05,4,3,3,beta_bimodal,log_uniform,0,"[0.006858782455261322, 0.19165391614167768, 1.219070596615395e-05, 0.0014751106970950043]","[0.4204180907069397, 1.19645509221613, 1.7026598251882332, 0.6804669918886966]",3.7667608438731226,3.766649456087369,3.684953902336895,3.6862558242658032,3.766758154180008,0.9999704287608451,0.9783108158317085,0.9999992859400355,0.9782825845210332,1.000353307521183,0.008309416996780783,0.012434375006705523,15,15,"[1, 2, 4, 8, 3, 12]","[1, 2, 4, 8, 10, 14]"
46,22054341,0.05,4,3,3,beta_bimodal,log_uniform,1,"[0.0009027178310906885, 0.0047196807406067525, 0.19409714948992263, 0.00028045193837999835]","[0.19597198472379568, 2.202321938598492, 0.6624284743429403, 0.9392776023347726]",3.8605388455875853,3.8603650673697216,3.821827540976702,3.8224033538928923,3.86022077477523,0.9999549860201349,0.9900171290226504,0.9999176097365997,0.9900541352325208,1.0001506642856113,0.007001250050961971,0.14219612500164658,15,15,"[1, 2, 4, 8, 9, 6]","[1, 2, 4, 8, 12, 14]"
47,22054342,0.05,4,3,3,beta_bimodal,log_uniform,2,"[0.19678203945237605, 0.0025381307771778065, 0.0006641272502113108, 1.570252023508213e-05]","[0.4772711556897502, 0.22326466023011238, 0.30770102962032075, 2.991763154459817]",3.9052572701767487,3.905228321677978,3.8610935454194473,3.861315159961587,3.905250234491537,0.9999925873004599,0.9886985413852659,0.999998198406731,0.9886929936826855,1.0000573968331854,0.007067416969221085,0.011957209033425897,15,15,"[1, 2, 4, 8, 3, 12]","[1, 2, 4, 5, 8, 13]"
48,22055220,0.05,5,2,2,homogeneous,flat,0,"[0.05, 0.05, 0.05, 0.05, 0.05]","[1.0, 1.0, 1.0, 1.0, 1.0]",3.6100000000000003,3.6100000000000003,3.6100000000000003,3.6100000000000003,3.61,1.0,1.0,0.9999999999999999,1.0000000000000002,1.0,0.0016115420148707926,0.0003131250268779695,15,1,"[1, 2, 4, 8, 16, 3, 12]","[1, 2, 3, 4, 8, 12, 16]"
49,22055221,0.05,5,2,2,homogeneous,flat,1,"[0.05, 0.05, 0.05, 0.05, 0.05]","[1.0, 1.0, 1.0, 1.0, 1.0]",3.6100000000000003,3.6100000000000003,3.6100000000000003,3.6100000000000003,3.61,1.0,1.0,0.9999999999999999,1.0000000000000002,1.0,0.0016115420148707926,0.0003131250268779695,15,1,"[1, 2, 4, 8, 16, 3, 12]","[1, 2, 3, 4, 8, 12, 16]"
50,22055222,0.05,5,2,2,homogeneous,flat,2,"[0.05, 0.05, 0.05, 0.05, 0.05]","[1.0, 1.0, 1.0, 1.0, 1.0]",3.6100000000000003,3.6100000000000003,3.6100000000000003,3.6100000000000003,3.61,1.0,1.0,0.9999999999999999,1.0000000000000002,1.0,0.0016115420148707926,0.0003131250268779695,15,1,"[1, 2, 4, 8, 16, 3, 12]","[1, 2, 3, 4, 8, 12, 16]"
51,22055227,0.05,5,2,2,homogeneous,log_uniform,0,"[0.05, 0.05, 0.05, 0.05, 0.05]","[1.6199454208185704, 0.17253870028753734, 0.7710734885282243, 0.6816834009166463, 1.7547589894490214]",4.356783822990498,4.356783822990498,4.356783822990497,4.356783822990497,4.356783822990499,1.0,0.9999999999999998,1.0000000000000002,0.9999999999999996,1.0,0.001728333008941263,0.001216583012137562,15,6,"[1, 2, 4, 8, 16, 5, 24]","[1, 2, 4, 8, 12, 16, 17]"
52,22055228,0.05,5,2,2,homogeneous,log_uniform,1,"[0.05, 0.05, 0.05, 0.05, 0.05]","[1.2504585489039812, 0.4455878119641236, 1.0903597160675065, 0.8740417662841959, 1.3395521567801922]",4.110356999702379,4.110356999702378,4.110356999702378,4.110356999702379,4.110356999702379,0.9999999999999998,1.0,1.0,0.9999999999999998,1.0000000000000002,0.0020809999550692737,0.0011962089920416474,15,6,"[1, 2, 4, 8, 16, 5, 24]","[1, 2, 4, 8, 12, 16, 17]"
53,22055229,0.05,5,2,2,homogeneous,log_uniform,2,"[0.05, 0.05, 0.05, 0.05, 0.05]","[0.977875971316832, 1.287725076713304, 0.809120242831438, 0.6100840734840539, 1.315194635654372]",3.961899123680642,3.9618991236806416,3.9618991236806416,3.961899123680642,3.9618991236806416,0.9999999999999999,1.0,0.9999999999999999,1.0,1.0000000000000002,0.0015530840028077364,0.0004081670194864273,15,2,"[1, 2, 4, 8, 16, 3, 20]","[1, 2, 4, 5, 8, 16, 18]"
54,22055223,0.05,5,2,2,beta_bimodal,flat,0,"[8.223663678001067e-05, 0.003408067946722801, 0.22190749149065347, 0.0008063574298190773, 0.02379584649602442]","[1.0, 1.0, 1.0, 1.0, 1.0]",3.9439773113289696,3.9439773113289696,3.9439773113289696,3.9439773113289696,3.94397731132897,1.0,1.0,1.0000000000000002,0.9999999999999999,1.0,0.0015468749916180968,0.0018125000060535967,15,9,"[1, 2, 4, 8, 16, 9, 18]","[1, 2, 4, 8, 9, 16, 18]"
55,22055224,0.05,5,2,2,beta_bimodal,flat,1,"[0.0016690943463332892, 0.21463033480978994, 4.6395943171953086e-07, 0.03325445545263194, 0.0004456514318132495]","[1.0, 1.0, 1.0, 1.0, 1.0]",3.929400375918783,3.9293716796802807,3.9293716796802807,3.9293716796802807,3.92937167968028,0.9999926970438853,1.0,0.999992697043885,1.0000000000000002,1.0,0.00214937498094514,0.002988249994814396,15,15,"[1, 2, 4, 8, 16, 9, 20]","[1, 2, 4, 8, 9, 16, 20]"
56,22055225,0.05,5,2,2,beta_bimodal,flat,2,"[0.0011882826494417269, 0.11468184113069088, 0.07091463953012249, 8.711233458013691e-05, 0.0631281243551648]","[1.0, 1.0, 1.0, 1.0, 1.0]",3.738333741298013,3.738317305655252,3.738317305655252,3.738317305655252,3.7383173056552517,0.99999560348436,1.0,0.9999956034843599,1.0000000000000002,1.0,0.0015380830154754221,0.003513583040330559,15,15,"[1, 2, 4, 8, 16, 9, 20]","[1, 2, 4, 8, 9, 16, 20]"
