n,B,G,instance,opt,greedy,u_pi,u_pen,true_ratio,cert_pi,cert_pen
4,2,3,15,4.457762677679302,4.457762677679303,6.201431536266644,6.201431536266646,1.0000000000000002,0.718828007954264,0.7188280079542638
4,2,3,16,7.1122672364626265,6.870744113753472,8.453686996322423,8.453686996322425,0.9660413318736207,0.8127511838021004,0.8127511838021002
4,2,3,17,4.224518919999897,4.2245189199998965,5.991829476472247,5.991829476472246,0.9999999999999998,0.7050465866206738,0.7050465866206739
4,2,3,18,8.22111845435654,8.221118454356542,10.78166213867668,10.78166213867668,1.0000000000000002,0.7625093745856876,0.7625093745856876
4,2,3,19,8.377007901509147,8.356144336283077,9.310862368319787,9.310862368319782,0.9975094251466192,0.8974619112312153,0.8974619112312159
5,2,3,0,8.189774965001348,8.074532774716284,11.322768060582131,10.786638781243001,0.9859285278560709,0.7131235693881335,0.7485680144177232
5,2,3,1,8.61334188833991,8.247904696382317,10.15152982660242,9.835433291606101,0.9575731235686471,0.8124789895970566,0.8385908837815376
5,2,3,2,10.018265212053779,9.79696767121792,13.734220000613933,13.274484991282756,0.9779105926872851,0.713325377835799,0.7380299633207245
5,2,3,3,7.386843909173053,7.201878877662586,10.922445122670439,10.706688357542973,0.9749602084753983,0.6593650777621661,0.672652330689049
5,2,3,4,8.918958598515491,8.918958598515488,12.152479884274944,11.57390556585858,0.9999999999999996,0.7339208691105454,0.7706092422963241
5,2,3,5,8.347196183683693,8.32707855883603,11.282326410645393,10.688430626291902,0.9975898943303877,0.7380639644478864,0.7790740146970401
5,2,3,6,10.47055271567031,10.470552715670312,13.501666329740594,12.671540547421149,1.0000000000000002,0.7755007759750704,0.8263046372685308
5,2,3,7,6.1721534123365185,6.167578391726065,8.07010039734495,7.836634049068045,0.99925876427483,0.7642505158616352,0.7870188084716717
5,2,3,8,8.73289137816776,8.700365397054604,10.738364535549511,10.458393806865296,0.9962754625352983,0.8102132655537925,0.831902637988574
5,2,3,9,7.353790357486502,6.904572750364823,10.175341307539513,9.757038310173986,0.9389134602315179,0.6785593270713008,0.707650470447082
5,2,3,10,10.598076724409799,10.598076724409799,14.495261811456277,13.750877453952464,1.0,0.7311407591157579,0.7707200329505922
5,2,3,11,9.217273297526129,8.837205175773073,13.434624756476499,13.212055810742829,0.9587656664303245,0.6577932272736443,0.6688743449439164
5,2,3,12,9.761393731258583,9.644802227511395,12.403841751232498,12.056235131152032,0.9880558548341483,0.7775657268888525,0.7999845824663995
5,2,3,13,10.091779322595329,10.091779322595327,13.302906559788472,12.698339453492622,0.9999999999999998,0.7586146138243487,0.794732205699512
5,2,3,14,7.657204671781611,7.582965273286311,11.34207675605039,10.681911732588114,0.9903046344354764,0.6685693842832799,0.7098884041657437
5,2,3,15,6.270992313500513,6.266163468839426,9.83246196493449,9.418090189108888,0.9992299712039685,0.6372934358847707,0.6653327100313436
5,2,3,16,6.080350128527862,6.040617749158691,9.375482480997439,9.041949197230382,0.9934654454876283,0.6442994012736976,0.6680658801985946
5,2,3,17,7.271018056557153,7.234696933664283,10.877480048315329,10.482190516779434,0.9950046716140232,0.6651078100377459,0.6901894143293136
5,2,3,18,4.65583165499051,4.496889318370114,8.255873935328122,8.032031226687401,0.9658616658851854,0.5446896783546137,0.5598695014317987
5,2,3,19,6.853210531470121,6.853210531470121,12.25989549637502,11.567982129655999,1.0,0.5589942045995795,0.5924292114785552
5,3,3,0,8.822668911771066,8.300080167140228,10.304673021064524,10.304673021064525,0.9407674990576141,0.8054675922441631,0.805467592244163
5,3,3,1,7.645842740230963,6.9737120727062525,8.526657947616789,8.526657947616789,0.912092009950965,0.817871681442952,0.817871681442952
5,3,3,2,6.863030565727271,6.611524683454541,7.615784899724625,7.615784899724624,0.9633535243848825,0.8681343775470344,0.8681343775470345
5,3,3,3,8.311021291508931,7.9932091511167895,9.54068884581332,9.540688845813317,0.9617601580786661,0.8378021000679002,0.8378021000679003
5,3,3,4,10.332687371486504,9.557389044501338,11.760421992793397,11.760421992793402,0.924966439115865,0.8126739882597714,0.812673988259771
5,3,3,5,9.204317192371477,7.965250612133753,10.435705306986982,10.435705306986982,0.8653820208125096,0.7632690247395933,0.7632690247395933
5,3,3,6,8.19315122226137,7.798700296848472,9.163338247986923,9.163338247986928,0.951856017945678,0.8510763311134733,0.8510763311134727
5,3,3,7,4.571723578971474,4.1612637109368205,6.039594744709418,6.039594744709419,0.9102176977797514,0.6889971739547619,0.6889971739547618
5,3,3,8,5.44597043540506,4.977774970980352,6.739996641199233,6.739996641199236,0.9140290109948266,0.7385426486050396,0.7385426486050393
5,3,3,9,9.761998797880848,9.23640488518462,10.786384960046119,10.78638496004612,0.9461591910039647,0.856302173471206,0.8563021734712059
5,3,3,10,4.819371002702496,4.325380895039357,5.839941035799743,5.839941035799744,0.8974990496921423,0.7406548916374501,0.74065489163745
5,3,3,11,8.80574375429897,8.195205035105088,10.156895410769573,10.156895410769573,0.9306658544434914,0.8068612212365146,0.8068612212365146
5,3,3,12,11.069410527168868,10.421109754132187,12.046514892775965,12.046514892775965,0.9414331258701188,0.8650725829743091,0.8650725829743091
5,3,3,13,9.701338621278323,9.165089653799626,10.53843037029616,10.538430370296163,0.9447242294684446,0.8696826122828063,0.869682612282806
5,3,3,14,9.012496775672956,8.084560370604535,9.791039039872988,9.791039039872986,0.8970389196062561,0.8257101557537463,0.8257101557537464
5,3,3,15,7.24142556210597,6.704440896777996,8.420318295012654,8.420318295012656,0.925845448424135,0.7962217889968636,0.7962217889968635
5,3,3,16,6.602085274561369,6.515564535991123,7.5430904793179945,7.5430904793179945,0.9868949377398046,0.8637791835926943,0.8637791835926943
5,3,3,17,10.311409902420822,10.007788655103237,11.454286766542339,11.454286766542337,0.9705548271098889,0.8737155668509816,0.8737155668509817
5,3,3,18,8.938853250175267,8.38692056065887,9.996872016130734,9.996872016130736,0.9382546425062326,0.8389544796738339,0.8389544796738337
5,3,3,19,13.648525115124412,13.192395917626817,14.306821111875232,14.30682111187523,0.96658033057417,0.9221053240594868,0.9221053240594869
6,2,3,0,6.923808110008035,6.681183868921534,10.986796132411106,10.309383572375477,0.9649579772819239,0.6081102978885725,0.6480682207638592
6,2,3,1,4.095809736053732,4.0747775298374025,8.085520760794134,7.505006490581469,0.9948649454999847,0.5039598129035279,0.5429412399511062
6,2,3,2,7.63667824228689,7.513385890480464,12.571000751793001,11.772783101906112,0.9838552381160025,0.5976760354110098,0.6381996360116398
6,2,3,3,7.273038702845199,6.903896010074963,11.480003279575147,10.618466037752375,0.9492450531542163,0.6013844980652708,0.6501782823930677
6,2,3,4,8.3927225957432,8.15406461673763,11.984975788288615,11.270088937772574,0.971563699826488,0.6803572039507627,0.7235137771991003
6,2,3,5,9.818094162602046,9.714036026898038,15.698466964544915,14.281146994158416,0.9894013915551579,0.6187888313449491,0.6801999888994549
6,2,3,6,7.3749060894944884,7.283707224347247,10.76956160433864,10.175341826650328,0.9876338947180421,0.6763234653314878,0.7158194140731886
6,2,3,7,6.657247808216612,6.337049739561546,12.506892048927295,11.341526075948781,0.9519023359383038,0.5066846115542405,0.558747535131106
6,2,3,8,10.085452030682337,10.085452030682333,15.041974787791844,13.800889065868596,0.9999999999999997,0.670487231428399,0.730782776569444
6,2,3,9,8.769922313052177,8.743575505141562,12.746611385658458,11.89798554112561,0.9969957763626477,0.6859529360861496,0.7348786460463604
6,2,3,10,9.565665722321647,9.301941494788595,13.756064050933878,12.64273218915448,0.9724301229847865,0.6762066140682953,0.735754056608763
6,2,3,11,9.43827986071789,9.282119512485858,15.976557972321368,14.753811302946506,0.983454575353082,0.5809836842558135,0.6291336741328738
6,2,3,12,13.792572081017573,13.699325417792458,20.1664425923822,18.127420596641915,0.9932393564682944,0.6793129405464565,0.7557239235862516
6,2,3,13,7.990834481043243,7.670351600608233,14.299181335554144,13.029014911967437,0.9598936905531836,0.53641893340679,0.5887130878607596
6,2,3,14,11.805665462879723,11.74106696395572,17.89884721951015,16.408304743464793,0.9945281780915173,0.6559677737881181,0.7155563690168559
6,2,3,15,9.088287157180318,9.088287157180318,11.739264012230226,11.001425662973913,1.0,0.7741786152617351,0.8261008559797481
6,2,3,16,6.855397727892579,6.854430388765922,10.811747871206967,10.08123435282491,0.9998588937994478,0.633979858799716,0.6799197547515805
6,2,3,17,10.820773511587971,10.792294628149651,17.072243850488558,15.5270336670715,0.9973681286824994,0.6321544328129315,0.6950648050076103
6,2,3,18,11.032209727871432,10.788140957416996,16.365775157599227,15.132211789398527,0.9778767104256703,0.659189122026259,0.7129255859989388
6,2,3,19,9.034055510868015,8.629316954696373,13.328495628932272,12.33811364394596,0.9551985754698165,0.64743367855894,0.6994032640419542
6,3,3,0,13.748147269989147,12.57739025509964,17.01076265456421,17.01076265456421,0.914842560826712,0.7393783871133468,0.7393783871133468
6,3,3,1,12.469205735627868,11.78219118439506,14.38958364511472,14.389583645114724,0.9449031024269795,0.818800006655865,0.8188000066558648
6,3,3,2,6.487268404099342,5.948721861183679,8.438048886651165,8.438048886651165,0.9169840818401545,0.7049878403281646,0.7049878403281646
6,3,3,3,9.152926934973594,8.466486531444225,11.96549848452467,11.965498484524673,0.9250031811237932,0.7075749115169904,0.7075749115169901
6,3,3,4,13.127680403489942,11.91881949447599,14.756025301465767,14.756025301465767,0.9079151173810889,0.8077256070638515,0.8077256070638515
6,3,3,5,7.715950202796647,7.360432636653139,9.107432440960258,9.107432440960253,0.9539243311841683,0.8081786699344519,0.8081786699344523
