model,G,B,N,kmax,inst,w_myopic,w_rollout,first_pool_diff,pred_gain_step1
binary,5,5,50,24,133,21.0,23.0,1,0.27547
binary,5,5,50,24,134,17.0,14.0,1,0.062596
binary,5,5,50,24,135,26.0,20.0,1,0.611524
binary,5,5,50,24,136,28.0,21.0,1,0.288802
binary,5,5,50,24,137,25.0,25.0,1,0.001643
binary,5,5,50,24,138,13.0,12.0,1,0.301405
binary,5,5,50,24,139,12.0,7.0,1,0.556493
binary,5,5,50,24,140,9.0,12.0,1,0.262133
binary,5,5,50,24,141,34.0,31.0,1,0.176013
binary,5,5,50,24,142,23.0,9.0,1,0.243938
binary,5,5,50,24,143,23.0,23.0,1,0.129129
binary,5,5,50,24,144,17.0,25.0,1,0.192478
binary,5,5,50,24,145,11.0,7.0,1,0.095471
binary,5,5,50,24,146,29.0,29.0,1,0.24406
binary,5,5,50,24,147,33.0,31.0,1,0.411279
binary,5,5,50,24,148,20.0,18.0,1,0.037419
binary,5,5,50,24,149,29.0,28.0,1,0.575155
binary,5,5,50,24,150,18.0,22.0,1,0.19177
binary,5,5,50,24,151,17.0,15.0,1,0.149386
binary,5,5,50,24,152,28.0,30.0,1,0.18244
binary,5,5,50,24,153,27.0,30.0,1,0.283423
binary,5,5,50,24,154,27.0,25.0,1,0.223206
binary,5,5,50,24,155,28.0,31.0,1,0.205356
binary,5,5,50,24,156,20.0,21.0,1,0.815305
binary,5,5,50,24,157,23.0,25.0,1,0.138044
binary,5,5,50,24,158,11.0,11.0,1,0.074137
binary,5,5,50,24,159,18.0,25.0,1,0.178883
binary,5,5,50,24,160,25.0,27.0,1,0.356925
binary,5,5,50,24,161,9.0,16.0,1,0.156052
binary,5,5,50,24,162,15.0,13.0,1,0.128284
binary,5,5,50,24,163,7.0,8.0,1,0.122159
binary,5,5,50,24,164,10.0,10.0,1,0.047293
binary,5,5,50,24,165,25.0,25.0,1,0.131233
binary,5,5,50,24,166,12.0,0.0,1,0.234535
binary,5,5,50,24,167,0.0,0.0,1,0.270286
binary,5,5,50,24,168,24.0,25.0,1,0.753374
binary,5,5,50,24,169,36.0,33.0,1,0.120471
binary,5,5,50,24,170,8.0,6.0,1,0.086084
binary,5,5,50,24,171,35.0,36.0,1,0.192125
binary,5,5,50,24,172,23.0,20.0,1,0.157803
binary,5,5,50,24,173,20.0,10.0,1,0.261155
binary,5,5,50,24,174,19.0,19.0,1,0.227868
binary,5,5,50,24,175,17.0,20.0,1,0.592464
binary,5,5,50,24,176,20.0,21.0,1,0.154464
binary,5,5,50,24,177,37.0,33.0,1,0.233429
binary,5,5,50,24,178,6.0,12.0,1,0.061644
binary,5,5,50,24,179,23.0,31.0,1,0.27927
binary,5,5,50,24,180,20.0,21.0,1,0.091908
binary,5,5,50,24,181,25.0,20.0,1,0.227533
binary,5,5,50,24,182,40.0,40.0,0,0.0
binary,5,5,50,24,183,11.0,15.0,1,0.239895
binary,5,5,50,24,184,30.0,33.0,1,0.289947
binary,5,5,50,24,185,24.0,24.0,1,0.092204
binary,5,5,50,24,186,25.0,27.0,1,0.342517
binary,5,5,50,24,187,23.0,21.0,0,0.0
binary,5,5,50,24,188,20.0,18.0,1,0.264154
binary,5,5,50,24,189,28.0,26.0,1,0.118633
binary,5,5,50,24,190,18.0,23.0,1,0.141649
binary,5,5,50,24,191,24.0,26.0,1,0.296742
binary,5,5,50,24,192,32.0,32.0,1,0.128462
binary,5,5,50,24,193,9.0,10.0,1,0.170081
binary,5,5,50,24,194,23.0,23.0,1,0.097938
binary,5,5,50,24,195,30.0,30.0,1,0.477167
binary,5,5,50,24,196,21.0,26.0,1,0.137251
binary,5,5,50,24,197,21.0,21.0,1,0.212174
binary,5,5,50,24,198,6.0,13.0,1,0.087466
binary,5,5,50,24,199,28.0,25.0,1,0.09653
binary,5,5,50,24,200,12.0,16.0,1,0.136641
binary,5,5,50,24,201,32.0,30.0,1,0.364378
binary,5,5,50,24,202,25.0,27.0,1,0.144533
binary,5,5,50,24,203,7.0,7.0,1,0.374039
binary,5,5,50,24,204,18.0,18.0,1,0.246352
binary,5,5,50,24,205,12.0,21.0,1,0.265805
binary,5,5,50,24,206,35.0,32.0,1,0.163617
binary,5,5,50,24,207,17.0,8.0,1,0.364236
binary,5,5,50,24,208,17.0,6.0,1,0.092131
binary,5,5,50,24,209,0.0,6.0,1,0.208341
binary,5,5,50,24,210,21.0,21.0,1,0.174358
binary,5,5,50,24,211,0.0,8.0,1,0.077671
binary,5,5,50,24,212,47.0,44.0,1,0.428177
binary,5,5,50,24,213,27.0,30.0,1,0.15081
binary,5,5,50,24,214,17.0,16.0,1,0.057205
binary,5,5,50,24,215,38.0,37.0,1,0.319331
binary,5,5,50,24,216,25.0,24.0,1,0.463994
binary,5,5,50,24,217,25.0,27.0,1,0.209061
binary,5,5,50,24,218,15.0,15.0,1,0.198902
binary,5,5,50,24,219,12.0,21.0,1,0.080764
binary,5,5,50,24,220,28.0,28.0,1,0.164086
binary,5,5,50,24,221,16.0,15.0,1,0.249664
binary,5,5,50,24,222,14.0,14.0,1,0.152878
binary,5,5,50,24,223,27.0,27.0,1,0.359058
binary,5,5,50,24,224,32.0,32.0,1,0.05268
binary,5,5,50,24,225,10.0,11.0,1,0.454952
binary,5,5,50,24,226,13.0,15.0,1,0.046968
binary,5,5,50,24,227,37.0,37.0,1,0.010903
binary,5,5,50,24,228,17.0,18.0,1,0.10007
binary,5,5,50,24,229,10.0,10.0,1,0.237771
binary,5,5,50,24,230,27.0,27.0,1,0.096259
binary,5,5,50,24,231,9.0,13.0,1,0.293715
binary,5,5,50,24,232,26.0,22.0,1,0.135379
binary,5,5,50,24,233,30.0,29.0,0,0.0
binary,5,5,50,24,234,33.0,40.0,1,0.071626
binary,5,5,50,24,235,22.0,29.0,1,0.078498
binary,5,5,50,24,236,0.0,11.0,1,0.283373
binary,5,5,50,24,237,20.0,21.0,1,0.053454
binary,5,5,50,24,238,19.0,14.0,1,0.118846
binary,5,5,50,24,239,18.0,10.0,1,0.002885
binary,5,5,50,24,240,16.0,8.0,1,0.166019
binary,5,5,50,24,241,16.0,23.0,1,0.001257
binary,5,5,50,24,242,15.0,9.0,1,0.118902
binary,5,5,50,24,243,25.0,24.0,1,0.132487
binary,5,5,50,24,244,11.0,16.0,1,0.360321
binary,5,5,50,24,245,22.0,25.0,1,0.230627
binary,5,5,50,24,246,32.0,42.0,1,0.20763
binary,5,5,50,24,247,27.0,25.0,1,0.221361
binary,5,5,50,24,248,31.0,31.0,1,0.281806
binary,5,5,50,24,249,37.0,28.0,1,0.554039
binary,5,5,50,24,250,32.0,19.0,1,0.147409
binary,5,5,50,24,251,17.0,19.0,1,0.099379
binary,5,5,50,24,252,24.0,24.0,1,0.135745
binary,5,5,50,24,253,22.0,18.0,1,0.319315
binary,5,5,50,24,254,36.0,36.0,1,0.184652
binary,5,5,50,24,255,30.0,30.0,1,0.430303
binary,5,5,50,24,256,24.0,19.0,1,0.106381
binary,5,5,50,24,257,8.0,15.0,1,0.463274
binary,5,5,50,24,258,13.0,18.0,1,0.253824
binary,5,5,50,24,259,16.0,14.0,1,0.121318
binary,5,5,50,24,260,20.0,28.0,1,0.193496
binary,5,5,50,24,261,28.0,28.0,1,0.282661
binary,5,5,50,24,262,16.0,9.0,1,0.161517
binary,5,5,50,24,263,31.0,30.0,1,0.462206
binary,5,5,50,24,264,35.0,29.0,1,0.591882
binary,5,5,50,24,265,30.0,24.0,1,0.216579
binary,5,5,50,24,266,31.0,30.0,1,0.930937
binary,5,5,50,24,267,14.0,14.0,1,0.039537
binary,5,5,50,24,268,23.0,27.0,1,0.123552
binary,5,5,50,24,269,23.0,23.0,1,0.694248
binary,5,5,50,24,270,24.0,31.0,1,0.343968
binary,5,5,50,24,271,24.0,32.0,1,0.189543
binary,5,5,50,24,272,40.0,40.0,0,0.0
binary,5,5,50,24,273,6.0,7.0,1,0.159079
binary,5,5,50,24,274,13.0,12.0,1,0.229853
binary,5,5,50,24,275,14.0,17.0,1,0.104293
binary,5,5,50,24,276,0.0,0.0,1,0.29374
binary,5,5,50,24,277,19.0,16.0,1,0.206871
binary,5,5,50,24,278,28.0,33.0,1,0.091873
binary,5,5,50,24,279,27.0,27.0,1,0.217234
binary,5,5,50,24,280,18.0,13.0,1,0.224065
binary,5,5,50,24,281,17.0,22.0,1,0.161891
binary,5,5,50,24,282,24.0,22.0,1,0.0983
binary,5,5,50,24,283,24.0,27.0,1,0.178941
binary,5,5,50,24,284,30.0,30.0,1,0.320746
binary,5,5,50,24,285,13.0,13.0,1,0.117336
binary,5,5,50,24,286,10.0,12.0,1,0.064827
binary,5,5,50,24,287,34.0,29.0,1,0.201171
binary,5,5,50,24,288,40.0,41.0,1,0.159091
binary,5,5,50,24,289,20.0,27.0,1,0.311186
binary,5,5,50,24,290,12.0,18.0,1,0.248776
binary,5,5,50,24,291,29.0,28.0,1,0.180203
binary,5,5,50,24,292,38.0,37.0,1,0.203501
binary,5,5,50,24,293,22.0,14.0,1,0.183111
binary,5,5,50,24,294,16.0,11.0,1,0.329101
binary,5,5,50,24,295,27.0,30.0,1,0.205242
binary,5,5,50,24,296,20.0,19.0,1,0.175401
binary,5,5,50,24,297,30.0,32.0,1,0.141454
binary,5,5,50,24,298,13.0,20.0,1,0.085128
binary,5,5,50,24,299,10.0,15.0,1,0.129536
binary,5,5,50,24,300,34.0,33.0,1,0.218544
binary,5,5,50,24,301,31.0,29.0,1,0.019453
binary,5,5,50,24,302,24.0,24.0,1,0.200185
binary,5,5,50,24,303,19.0,21.0,1,0.125202
binary,5,5,50,24,304,35.0,32.0,1,0.229421
binary,5,5,50,24,305,0.0,0.0,1,0.176333
binary,5,5,50,24,306,19.0,29.0,1,0.431176
binary,5,5,50,24,307,28.0,31.0,1,0.145791
binary,5,5,50,24,308,12.0,10.0,1,0.335923
binary,5,5,50,24,309,32.0,27.0,1,0.014713
binary,5,5,50,24,310,7.0,17.0,1,0.105113
binary,5,5,50,24,311,29.0,29.0,1,0.257223
binary,5,5,50,24,312,28.0,29.0,1,0.268647
binary,5,5,50,24,313,22.0,19.0,1,0.168248
binary,5,5,50,24,314,15.0,13.0,1,0.173194
binary,5,5,50,24,315,24.0,22.0,1,0.261684
binary,5,5,50,24,316,31.0,31.0,1,0.576212
binary,5,5,50,24,317,33.0,21.0,1,0.17987
binary,5,5,50,24,318,15.0,15.0,1,0.040824
binary,5,5,50,24,319,34.0,35.0,1,0.20295
binary,5,5,50,24,320,27.0,20.0,1,0.205507
binary,5,5,50,24,321,12.0,15.0,1,0.11971
binary,5,5,50,24,322,32.0,32.0,1,0.328755
binary,5,5,50,24,323,14.0,14.0,1,0.228643
binary,5,5,50,24,324,25.0,24.0,1,0.133876
binary,5,5,50,24,325,16.0,14.0,1,0.052371
binary,5,5,50,24,326,0.0,0.0,0,0.0
binary,5,5,50,24,327,7.0,13.0,1,0.482702
binary,5,5,50,24,328,7.0,0.0,1,0.067626
binary,5,5,50,24,329,14.0,19.0,1,0.544982
binary,5,5,50,24,330,33.0,33.0,1,0.141137
binary,5,5,50,24,331,18.0,19.0,1,0.199559
binary,5,5,50,24,332,10.0,10.0,1,0.07677
binary,5,5,50,24,333,28.0,29.0,1,0.371144
binary,5,5,50,24,334,22.0,21.0,1,0.059169
binary,5,5,50,24,335,21.0,19.0,1,0.08509
binary,5,5,50,24,336,35.0,32.0,1,0.053548
binary,5,5,50,24,337,26.0,27.0,1,0.305153
binary,5,5,50,24,338,31.0,34.0,1,0.136322
binary,5,5,50,24,339,21.0,27.0,1,0.246293
binary,5,5,50,24,340,9.0,9.0,1,0.22894
binary,5,5,50,24,341,21.0,21.0,1,0.128584
binary,5,5,50,24,342,15.0,23.0,1,0.065876
binary,5,5,50,24,343,14.0,15.0,1,0.201119
binary,5,5,50,24,344,0.0,9.0,1,0.225119
binary,5,5,50,24,345,19.0,21.0,1,0.381309
binary,5,5,50,24,346,21.0,22.0,1,0.027879
binary,5,5,50,24,347,13.0,13.0,1,0.147273
binary,5,5,50,24,348,15.0,14.0,1,0.193362
binary,5,5,50,24,349,0.0,20.0,1,0.238999
binary,5,5,50,24,350,20.0,19.0,1,0.30806
binary,5,5,50,24,351,24.0,23.0,1,0.473031
binary,5,5,50,24,352,28.0,27.0,1,0.162631
binary,5,5,50,24,353,30.0,28.0,1,0.318428
binary,5,5,50,24,354,10.0,10.0,1,0.253835
binary,5,5,50,24,355,29.0,36.0,1,0.653008
binary,5,5,50,24,356,20.0,23.0,1,0.182486
binary,5,5,50,24,357,27.0,21.0,1,0.107706
binary,5,5,50,24,358,35.0,33.0,1,0.23495
binary,5,5,50,24,359,20.0,20.0,1,0.203032
binary,5,5,50,24,360,6.0,15.0,1,0.09209
binary,5,5,50,24,361,21.0,20.0,1,0.186574
binary,5,5,50,24,362,10.0,0.0,1,0.231231
binary,5,5,50,24,363,32.0,25.0,1,0.168249
binary,5,5,50,24,364,6.0,0.0,1,0.032823
binary,5,5,50,24,365,24.0,28.0,1,0.15963
binary,5,5,50,24,366,17.0,19.0,1,0.874641
binary,5,5,50,24,367,18.0,12.0,1,0.132775
binary,5,5,50,24,368,21.0,21.0,1,0.069532
binary,5,5,50,24,369,9.0,16.0,1,0.207337
binary,5,5,50,24,370,0.0,9.0,1,0.419284
binary,5,5,50,24,371,26.0,27.0,1,0.187195
binary,5,5,50,24,372,18.0,18.0,1,0.096839
binary,5,5,50,24,373,10.0,8.0,1,0.186996
binary,5,5,50,24,374,7.0,7.0,1,0.245074
binary,5,5,50,24,375,0.0,16.0,1,0.086806
binary,5,5,50,24,376,17.0,7.0,1,0.069101
binary,5,5,50,24,377,32.0,29.0,1,0.210082
binary,5,5,50,24,378,9.0,0.0,1,0.295071
binary,5,5,50,24,379,0.0,0.0,1,0.426974
binary,5,5,50,24,380,37.0,35.0,1,0.125343
binary,5,5,50,24,381,26.0,25.0,1,0.280882
binary,5,5,50,24,382,25.0,25.0,1,0.376124
binary,5,5,50,24,383,24.0,29.0,1,0.300065
binary,5,5,50,24,384,16.0,17.0,1,0.138292
binary,5,5,50,24,385,18.0,20.0,1,0.317527
binary,5,5,50,24,386,37.0,37.0,1,0.054871
binary,5,5,50,24,387,27.0,27.0,1,0.072736
binary,5,5,50,24,388,13.0,21.0,1,0.259897
binary,5,5,50,24,389,22.0,21.0,1,0.303547
binary,5,5,50,24,390,17.0,17.0,1,0.046429
binary,5,5,50,24,391,25.0,37.0,1,0.1197
binary,5,5,50,24,392,20.0,17.0,1,0.032977
binary,5,5,50,24,393,22.0,24.0,1,0.224793
binary,5,5,50,24,394,33.0,28.0,1,0.245476
binary,5,5,50,24,395,10.0,14.0,1,0.175663
binary,5,5,50,24,396,12.0,19.0,1,0.020328
binary,5,5,50,24,397,27.0,22.0,1,0.187164
binary,5,5,50,24,398,23.0,18.0,1,0.19261
binary,5,5,50,24,399,19.0,22.0,1,0.287233
binary,5,5,50,24,400,13.0,22.0,1,0.195236
binary,5,5,50,24,401,27.0,27.0,1,0.404267
binary,5,5,50,24,402,24.0,26.0,1,0.54016
binary,5,5,50,24,403,21.0,23.0,1,0.113882
binary,5,5,50,24,404,18.0,19.0,1,0.163792
binary,5,5,50,24,405,28.0,27.0,1,0.238722
binary,5,5,50,24,406,32.0,27.0,1,0.067544
binary,5,5,50,24,407,23.0,25.0,1,0.163142
binary,5,5,50,24,408,29.0,27.0,1,0.241112
binary,5,5,50,24,409,22.0,20.0,1,0.059046
binary,5,5,50,24,410,26.0,27.0,1,0.088503
binary,5,5,50,24,411,44.0,42.0,1,0.012456
binary,5,5,50,24,412,24.0,21.0,1,0.101993
binary,5,5,50,24,413,36.0,36.0,1,0.277782
binary,5,5,50,24,414,35.0,30.0,1,0.09452
binary,5,5,50,24,415,20.0,20.0,1,0.217559
binary,5,5,50,24,416,21.0,27.0,1,0.060532
binary,5,5,50,24,417,14.0,16.0,1,0.549293
binary,5,5,50,24,418,10.0,17.0,1,0.045279
binary,5,5,50,24,419,8.0,8.0,1,0.21014
binary,5,5,50,24,420,27.0,29.0,1,0.184062
binary,5,5,50,24,421,13.0,10.0,1,0.354026
binary,5,5,50,24,422,23.0,29.0,1,0.0102
binary,5,5,50,24,423,24.0,18.0,1,0.196074
binary,5,5,50,24,424,34.0,22.0,1,0.571106
binary,5,5,50,24,425,22.0,19.0,1,0.174542
binary,5,5,50,24,426,36.0,36.0,1,0.714857
binary,5,5,50,24,427,25.0,17.0,1,0.190875
binary,5,5,50,24,428,23.0,26.0,1,0.242791
binary,5,5,50,24,429,26.0,25.0,1,0.448611
binary,5,5,50,24,430,27.0,31.0,1,0.0707
binary,5,5,50,24,431,31.0,30.0,1,0.289697
binary,5,5,50,24,432,18.0,20.0,1,0.063159
binary,5,5,50,24,433,32.0,23.0,1,0.161393
binary,5,5,50,24,434,23.0,27.0,1,0.065749
binary,5,5,50,24,435,21.0,24.0,0,0.0
binary,5,5,50,24,436,13.0,12.0,1,0.02619
binary,5,5,50,24,437,18.0,17.0,0,0.0
binary,5,5,50,24,438,23.0,29.0,1,0.1161
binary,5,5,50,24,439,25.0,23.0,1,0.296984
binary,5,5,50,24,440,21.0,19.0,1,0.263986
binary,5,5,50,24,441,22.0,16.0,1,0.146385
binary,5,5,50,24,442,12.0,8.0,1,0.04459
binary,5,5,50,24,443,27.0,27.0,1,0.225512
binary,5,5,50,24,444,19.0,18.0,1,0.479584
binary,5,5,50,24,445,8.0,13.0,1,0.114496
binary,5,5,50,24,446,32.0,30.0,1,0.263695
binary,5,5,50,24,447,14.0,6.0,1,0.190692
binary,5,5,50,24,448,20.0,23.0,1,0.078722
binary,5,5,50,24,449,27.0,26.0,1,0.121846
binary,5,5,50,24,450,29.0,28.0,1,0.32593
binary,5,5,50,24,451,25.0,26.0,1,0.248069
binary,5,5,50,24,452,26.0,23.0,1,0.213456
binary,5,5,50,24,453,18.0,22.0,1,0.190473
binary,5,5,50,24,454,22.0,23.0,1,0.070805
binary,5,5,50,24,455,27.0,20.0,1,0.294681
binary,5,5,50,24,456,12.0,14.0,1,0.128867
binary,5,5,50,24,457,11.0,14.0,1,0.095042
binary,5,5,50,24,458,22.0,21.0,1,0.067718
binary,5,5,50,24,459,30.0,26.0,1,0.174146
binary,5,5,50,24,460,17.0,15.0,1,0.199434
binary,5,5,50,24,461,18.0,22.0,1,0.495728
binary,5,5,50,24,462,19.0,18.0,1,0.124909
binary,5,5,50,24,463,23.0,19.0,1,0.213936
binary,5,5,50,24,464,22.0,22.0,1,0.281982
binary,5,5,50,24,465,20.0,12.0,1,0.366133
binary,5,5,50,24,466,37.0,37.0,0,0.0
binary,5,5,50,24,467,23.0,17.0,1,0.108474
binary,5,5,50,24,468,7.0,10.0,1,0.121982
binary,5,5,50,24,469,33.0,25.0,1,0.304588
binary,5,5,50,24,470,22.0,20.0,1,0.037765
binary,5,5,50,24,471,7.0,15.0,1,0.078214
binary,5,5,50,24,472,26.0,26.0,1,0.0931
binary,5,5,50,24,473,23.0,18.0,1,0.093508
binary,5,5,50,24,474,17.0,10.0,1,0.298624
binary,5,5,50,24,475,28.0,28.0,1,0.096407
binary,5,5,50,24,476,23.0,16.0,1,0.248517
binary,5,5,50,24,477,11.0,16.0,1,0.217465
binary,5,5,50,24,478,19.0,20.0,1,0.225788
binary,5,5,50,24,479,24.0,19.0,1,0.366262
binary,5,5,50,24,480,10.0,14.0,1,0.046969
binary,5,5,50,24,481,18.0,18.0,1,0.123908
binary,5,5,50,24,482,14.0,8.0,1,0.181128
binary,5,5,50,24,483,16.0,20.0,1,0.189599
binary,5,5,50,24,484,12.0,8.0,1,0.111618
binary,5,5,50,24,485,33.0,30.0,1,0.096469
binary,5,5,50,24,486,32.0,29.0,1,0.135599
binary,5,5,50,24,487,23.0,24.0,1,0.103686
binary,5,5,50,24,488,34.0,35.0,1,0.409834
binary,5,5,50,24,489,29.0,28.0,1,0.215941
binary,5,5,50,24,490,20.0,24.0,1,0.34296
binary,5,5,50,24,491,7.0,0.0,1,0.02425
binary,5,5,50,24,492,25.0,22.0,1,0.13501
binary,5,5,50,24,493,22.0,23.0,1,0.270555
binary,5,5,50,24,494,17.0,15.0,1,0.18233
binary,5,5,50,24,495,10.0,18.0,1,0.262917
binary,5,5,50,24,496,32.0,33.0,1,0.007506
