instance_id,history_id,probability,policy,action,action_size,depth,class,flags,score,immediate,rollout_q,local_regret,final_value
n4_B2_G2_p0.45,raiz,1.0,S0,3,2,0,virgen,,0.605,0.605,1.21,0.0,1.21
n4_B2_G2_p0.45,3:2,0.2025,S0,12,2,1,virgen,,0.605,0.605,0.605,0.0,0.605
n4_B2_G2_p0.45,3:1,0.495,S0,12,2,1,virgen,,0.605,0.605,0.605,0.0,0.605
n4_B2_G2_p0.45,3:0,0.3025,S0,12,2,1,virgen,,0.605,0.605,0.605,0.0,0.605
n4_B2_G2_p0.45,raiz,1.0,rollout,3,2,0,virgen,,0.605,0.605,1.21,0.0,1.21
n4_B2_G2_p0.45,3:2,0.2025,rollout,12,2,1,virgen,,0.605,0.605,0.605,0.0,0.605
n4_B2_G2_p0.45,3:1,0.495,rollout,12,2,1,virgen,,0.605,0.605,0.605,0.0,0.605
n4_B2_G2_p0.45,3:0,0.3025,rollout,12,2,1,virgen,,0.605,0.605,0.605,0.0,0.605
n4_B2_G2_p0.45,raiz,1.0,optimo,3,2,0,virgen,,0.605,0.605,1.21,0.0,1.21
n4_B2_G2_p0.45,3:2,0.2025,optimo,12,2,1,virgen,,0.605,0.605,0.605,0.0,0.605
n4_B2_G2_p0.45,3:1,0.495,optimo,12,2,1,virgen,,0.605,0.605,0.605,0.0,0.605
n4_B2_G2_p0.45,3:0,0.3025,optimo,12,2,1,virgen,,0.605,0.605,0.605,0.0,0.605
n4_B2_G2_p0.9,raiz,1.0,S0,1,1,0,virgen,,0.1,0.1,0.2,0.0,0.2
n4_B2_G2_p0.9,1:1,0.9,S0,8,1,1,virgen,,0.1,0.1,0.1,0.0,0.1
n4_B2_G2_p0.9,1:0,0.1,S0,8,1,1,virgen,,0.1,0.1,0.1,0.0,0.1
n4_B2_G2_p0.9,raiz,1.0,rollout,1,1,0,virgen,,0.1,0.1,0.2,0.0,0.2
n4_B2_G2_p0.9,1:1,0.9,rollout,8,1,1,virgen,,0.1,0.1,0.1,0.0,0.1
n4_B2_G2_p0.9,1:0,0.1,rollout,8,1,1,virgen,,0.1,0.1,0.1,0.0,0.1
n4_B2_G2_p0.9,raiz,1.0,optimo,1,1,0,virgen,,0.1,0.1,0.2,0.0,0.2
n4_B2_G2_p0.9,1:1,0.9,optimo,8,1,1,virgen,,0.1,0.1,0.1,0.0,0.1
n4_B2_G2_p0.9,1:0,0.1,optimo,8,1,1,virgen,,0.1,0.1,0.1,0.0,0.1
n4_B2_G3_p0.05,raiz,1.0,S0,7,3,0,virgen,,2.572125,2.572125,3.56499375,0.04500625,3.56499375
n4_B2_G3_p0.05,7:3,0.000125,S0,8,1,1,virgen,,0.95,0.95,0.95,0.0,0.95
n4_B2_G3_p0.05,7:2,0.007125,S0,8,1,1,virgen,,0.95,0.95,0.95,0.0,0.95
n4_B2_G3_p0.05,7:1,0.135375,S0,9,2,1,cruzada,cruzada;atomo_virgen,1.2666666667,1.2666666667,1.2666666667,0.0,1.2666666667
n4_B2_G3_p0.05,7:0,0.857375,S0,8,1,1,virgen,,0.95,0.95,0.95,0.0,0.95
n4_B2_G3_p0.05,raiz,1.0,rollout,3,2,0,virgen,,1.805,1.805,3.61,0.0,3.61
n4_B2_G3_p0.05,3:2,0.0025,rollout,12,2,1,virgen,,1.805,1.805,1.805,0.0,1.805
n4_B2_G3_p0.05,3:1,0.095,rollout,12,2,1,virgen,,1.805,1.805,1.805,0.0,1.805
n4_B2_G3_p0.05,3:0,0.9025,rollout,12,2,1,virgen,,1.805,1.805,1.805,0.0,1.805
n4_B2_G3_p0.05,raiz,1.0,optimo,3,2,0,virgen,,1.805,1.805,3.61,0.0,3.61
n4_B2_G3_p0.05,3:2,0.0025,optimo,12,2,1,virgen,,1.805,1.805,1.805,0.0,1.805
n4_B2_G3_p0.05,3:1,0.095,optimo,12,2,1,virgen,,1.805,1.805,1.805,0.0,1.805
n4_B2_G3_p0.05,3:0,0.9025,optimo,12,2,1,virgen,,1.805,1.805,1.805,0.0,1.805
n4_B2_G3_p0.45,raiz,1.0,S0,3,2,0,virgen,,0.605,0.605,1.21,0.0,1.21
n4_B2_G3_p0.45,3:2,0.2025,S0,12,2,1,virgen,,0.605,0.605,0.605,0.0,0.605
n4_B2_G3_p0.45,3:1,0.495,S0,12,2,1,virgen,,0.605,0.605,0.605,0.0,0.605
n4_B2_G3_p0.45,3:0,0.3025,S0,12,2,1,virgen,,0.605,0.605,0.605,0.0,0.605
n4_B2_G3_p0.45,raiz,1.0,rollout,3,2,0,virgen,,0.605,0.605,1.21,0.0,1.21
n4_B2_G3_p0.45,3:2,0.2025,rollout,12,2,1,virgen,,0.605,0.605,0.605,0.0,0.605
n4_B2_G3_p0.45,3:1,0.495,rollout,12,2,1,virgen,,0.605,0.605,0.605,0.0,0.605
n4_B2_G3_p0.45,3:0,0.3025,rollout,12,2,1,virgen,,0.605,0.605,0.605,0.0,0.605
n4_B2_G3_p0.45,raiz,1.0,optimo,3,2,0,virgen,,0.605,0.605,1.21,0.0,1.21
n4_B2_G3_p0.45,3:2,0.2025,optimo,12,2,1,virgen,,0.605,0.605,0.605,0.0,0.605
n4_B2_G3_p0.45,3:1,0.495,optimo,12,2,1,virgen,,0.605,0.605,0.605,0.0,0.605
n4_B2_G3_p0.45,3:0,0.3025,optimo,12,2,1,virgen,,0.605,0.605,0.605,0.0,0.605
n4_B2_G3_p0.9,raiz,1.0,S0,1,1,0,virgen,,0.1,0.1,0.2,0.0,0.2
n4_B2_G3_p0.9,1:1,0.9,S0,8,1,1,virgen,,0.1,0.1,0.1,0.0,0.1
n4_B2_G3_p0.9,1:0,0.1,S0,8,1,1,virgen,,0.1,0.1,0.1,0.0,0.1
n4_B2_G3_p0.9,raiz,1.0,rollout,1,1,0,virgen,,0.1,0.1,0.2,0.0,0.2
n4_B2_G3_p0.9,1:1,0.9,rollout,8,1,1,virgen,,0.1,0.1,0.1,0.0,0.1
n4_B2_G3_p0.9,1:0,0.1,rollout,8,1,1,virgen,,0.1,0.1,0.1,0.0,0.1
n4_B2_G3_p0.9,raiz,1.0,optimo,1,1,0,virgen,,0.1,0.1,0.2,0.0,0.2
n4_B2_G3_p0.9,1:1,0.9,optimo,8,1,1,virgen,,0.1,0.1,0.1,0.0,0.1
n4_B2_G3_p0.9,1:0,0.1,optimo,8,1,1,virgen,,0.1,0.1,0.1,0.0,0.1
n4_B3_G2_p0.05,raiz,1.0,S0,3,2,0,virgen,,1.805,1.805,3.7004875,0.0045125,3.7004875
n4_B3_G2_p0.05,3:2,0.0025,S0,12,2,1,virgen,,1.805,1.805,1.8525,0.0475,1.8525
n4_B3_G2_p0.05,3:2|c:2,6.25e-06,S0,1,1,2,descendiente,intraatomo,0.0,0.0,0.0,0.0,0.0
n4_B3_G2_p0.05,3:2|c:1,0.0002375,S0,4,1,2,descendiente,intraatomo,0.5,0.5,0.5,0.0,0.5
n4_B3_G2_p0.05,3:2|c:0,0.00225625,S0,1,1,2,descendiente,intraatomo,0.0,0.0,0.0,0.0,0.0
n4_B3_G2_p0.05,3:1,0.095,S0,12,2,1,virgen,,1.805,1.805,2.305,0.09375,2.305
n4_B3_G2_p0.05,3:1|c:2,0.0002375,S0,1,1,2,descendiente,intraatomo,0.5,0.5,0.5,0.0,0.5
n4_B3_G2_p0.05,3:1|c:1,0.009025,S0,1,1,2,descendiente,intraatomo,0.5,0.5,0.5,0.0,0.5
n4_B3_G2_p0.05,3:1|c:0,0.0857375,S0,1,1,2,descendiente,intraatomo,0.5,0.5,0.5,0.0,0.5
n4_B3_G2_p0.05,3:0,0.9025,S0,12,2,1,virgen,,1.805,1.805,1.8525,0.0475,1.8525
n4_B3_G2_p0.05,3:0|c:2,0.00225625,S0,1,1,2,descendiente,dominada;intraatomo,0.0,0.0,0.0,0.0,0.0
n4_B3_G2_p0.05,3:0|c:1,0.0857375,S0,4,1,2,descendiente,intraatomo,0.5,0.5,0.5,0.0,0.5
n4_B3_G2_p0.05,3:0|c:0,0.81450625,S0,1,1,2,descendiente,dominada;intraatomo,0.0,0.0,0.0,0.0,0.0
n4_B3_G2_p0.05,raiz,1.0,rollout,1,1,0,virgen,,0.95,0.95,3.705,0.0,3.705
n4_B3_G2_p0.05,1:1,0.05,rollout,2,1,1,virgen,,0.95,0.95,2.755,0.0,2.755
n4_B3_G2_p0.05,1:1|2:1,0.0025,rollout,12,2,2,virgen,,1.805,1.805,1.805,0.0,1.805
n4_B3_G2_p0.05,1:1|2:0,0.0475,rollout,12,2,2,virgen,,1.805,1.805,1.805,0.0,1.805
n4_B3_G2_p0.05,1:0,0.95,rollout,6,2,1,virgen,,1.805,1.805,2.755,0.0,2.755
n4_B3_G2_p0.05,1:0|6:2,0.002375,rollout,8,1,2,virgen,,0.95,0.95,0.95,0.0,0.95
n4_B3_G2_p0.05,1:0|6:1,0.09025,rollout,8,1,2,virgen,,0.95,0.95,0.95,0.0,0.95
n4_B3_G2_p0.05,1:0|6:0,0.857375,rollout,8,1,2,virgen,,0.95,0.95,0.95,0.0,0.95
n4_B3_G2_p0.05,raiz,1.0,optimo,3,2,0,virgen,,1.805,1.805,3.7004875,0.0045125,3.75238125
n4_B3_G2_p0.05,3:2,0.0025,optimo,4,1,1,virgen,,0.95,0.95,1.9,0.0,1.9
n4_B3_G2_p0.05,3:2|4:1,0.000125,optimo,8,1,2,virgen,,0.95,0.95,0.95,0.0,0.95
n4_B3_G2_p0.05,3:2|4:0,0.002375,optimo,8,1,2,virgen,,0.95,0.95,0.95,0.0,0.95
n4_B3_G2_p0.05,3:1,0.095,optimo,5,2,1,cruzada,cruzada;atomo_virgen,0.95,0.95,2.39875,0.0,2.39875
n4_B3_G2_p0.05,3:1|5:2,0.002375,optimo,10,2,2,cruzada,cruzada;atomo_virgen,1.9,1.9,1.9,0.0,1.9
n4_B3_G2_p0.05,3:1|5:1,0.0475,optimo,6,2,2,cruzada,cruzada;multiatomo,1.9,1.9,1.9,0.0,1.9
n4_B3_G2_p0.05,3:1|5:0,0.045125,optimo,8,1,2,virgen,,0.95,0.95,0.95,0.0,0.95
n4_B3_G2_p0.05,3:0,0.9025,optimo,4,1,1,virgen,,0.95,0.95,1.9,0.0,1.9
n4_B3_G2_p0.05,3:0|4:1,0.045125,optimo,8,1,2,virgen,,0.95,0.95,0.95,0.0,0.95
n4_B3_G2_p0.05,3:0|4:0,0.857375,optimo,8,1,2,virgen,,0.95,0.95,0.95,0.0,0.95
n4_B3_G2_p0.45,raiz,1.0,S0,3,2,0,virgen,,0.605,0.605,1.5824875,0.1225125,1.5824875
n4_B3_G2_p0.45,3:2,0.2025,S0,12,2,1,virgen,,0.605,0.605,0.8525,0.2475,0.8525
n4_B3_G2_p0.45,3:2|c:2,0.04100625,S0,1,1,2,descendiente,intraatomo,0.0,0.0,0.0,0.0,0.0
n4_B3_G2_p0.45,3:2|c:1,0.1002375,S0,4,1,2,descendiente,intraatomo,0.5,0.5,0.5,0.0,0.5
n4_B3_G2_p0.45,3:2|c:0,0.06125625,S0,1,1,2,descendiente,intraatomo,0.0,0.0,0.0,0.0,0.0
n4_B3_G2_p0.45,3:1,0.495,S0,12,2,1,virgen,,0.605,0.605,1.105,0.39375,1.105
n4_B3_G2_p0.45,3:1|c:2,0.1002375,S0,1,1,2,descendiente,intraatomo,0.5,0.5,0.5,0.0,0.5
n4_B3_G2_p0.45,3:1|c:1,0.245025,S0,1,1,2,descendiente,intraatomo,0.5,0.5,0.5,0.0,0.5
n4_B3_G2_p0.45,3:1|c:0,0.1497375,S0,1,1,2,descendiente,intraatomo,0.5,0.5,0.5,0.0,0.5
n4_B3_G2_p0.45,3:0,0.3025,S0,12,2,1,virgen,,0.605,0.605,0.8525,0.2475,0.8525
n4_B3_G2_p0.45,3:0|c:2,0.06125625,S0,1,1,2,descendiente,dominada;intraatomo,0.0,0.0,0.0,0.0,0.0
n4_B3_G2_p0.45,3:0|c:1,0.1497375,S0,4,1,2,descendiente,intraatomo,0.5,0.5,0.5,0.0,0.5
n4_B3_G2_p0.45,3:0|c:0,0.09150625,S0,1,1,2,descendiente,dominada;intraatomo,0.0,0.0,0.0,0.0,0.0
n4_B3_G2_p0.45,raiz,1.0,rollout,1,1,0,virgen,,0.55,0.55,1.705,0.0,1.705
n4_B3_G2_p0.45,1:1,0.45,rollout,2,1,1,virgen,,0.55,0.55,1.155,0.0,1.155
n4_B3_G2_p0.45,1:1|2:1,0.2025,rollout,12,2,2,virgen,,0.605,0.605,0.605,0.0,0.605
n4_B3_G2_p0.45,1:1|2:0,0.2475,rollout,12,2,2,virgen,,0.605,0.605,0.605,0.0,0.605
n4_B3_G2_p0.45,1:0,0.55,rollout,2,1,1,virgen,,0.55,0.55,1.155,0.0,1.155
n4_B3_G2_p0.45,1:0|2:1,0.2475,rollout,12,2,2,virgen,,0.605,0.605,0.605,0.0,0.605
n4_B3_G2_p0.45,1:0|2:0,0.3025,rollout,12,2,2,virgen,,0.605,0.605,0.605,0.0,0.605
n4_B3_G2_p0.45,raiz,1.0,optimo,3,2,0,virgen,,0.605,0.605,1.5824875,0.1225125,1.90238125
n4_B3_G2_p0.45,3:2,0.2025,optimo,4,1,1,virgen,,0.55,0.55,1.1,0.0,1.1
n4_B3_G2_p0.45,3:2|4:1,0.091125,optimo,8,1,2,virgen,,0.55,0.55,0.55,0.0,0.55
n4_B3_G2_p0.45,3:2|4:0,0.111375,optimo,8,1,2,virgen,,0.55,0.55,0.55,0.0,0.55
n4_B3_G2_p0.45,3:1,0.495,optimo,5,2,1,cruzada,cruzada;atomo_virgen,0.55,0.55,1.49875,0.0,1.49875
n4_B3_G2_p0.45,3:1|5:2,0.111375,optimo,10,2,2,cruzada,cruzada;atomo_virgen,1.1,1.1,1.1,0.0,1.1
n4_B3_G2_p0.45,3:1|5:1,0.2475,optimo,6,2,2,cruzada,cruzada;multiatomo,1.1,1.1,1.1,0.0,1.1
n4_B3_G2_p0.45,3:1|5:0,0.136125,optimo,8,1,2,virgen,,0.55,0.55,0.55,0.0,0.55
n4_B3_G2_p0.45,3:0,0.3025,optimo,4,1,1,virgen,,0.55,0.55,1.1,0.0,1.1
n4_B3_G2_p0.45,3:0|4:1,0.136125,optimo,8,1,2,virgen,,0.55,0.55,0.55,0.0,0.55
n4_B3_G2_p0.45,3:0|4:0,0.166375,optimo,8,1,2,virgen,,0.55,0.55,0.55,0.0,0.55
n4_B3_G2_p0.9,raiz,1.0,S0,1,1,0,virgen,,0.1,0.1,0.3,0.073,0.3
n4_B3_G2_p0.9,1:1,0.9,S0,8,1,1,virgen,,0.1,0.1,0.2,0.0,0.2
n4_B3_G2_p0.9,1:1|8:1,0.81,S0,2,1,2,virgen,,0.1,0.1,0.1,0.0,0.1
n4_B3_G2_p0.9,1:1|8:0,0.09,S0,2,1,2,virgen,,0.1,0.1,0.1,0.0,0.1
n4_B3_G2_p0.9,1:0,0.1,S0,8,1,1,virgen,,0.1,0.1,0.2,0.0,0.2
n4_B3_G2_p0.9,1:0|8:1,0.09,S0,2,1,2,virgen,,0.1,0.1,0.1,0.0,0.1
n4_B3_G2_p0.9,1:0|8:0,0.01,S0,2,1,2,virgen,,0.1,0.1,0.1,0.0,0.1
n4_B3_G2_p0.9,raiz,1.0,rollout,9,2,0,virgen,,0.02,0.02,0.373,0.0,0.373
n4_B3_G2_p0.9,9:2,0.81,rollout,2,1,1,virgen,,0.1,0.1,0.2,0.0,0.2
n4_B3_G2_p0.9,9:2|2:1,0.729,rollout,4,1,2,virgen,,0.1,0.1,0.1,0.0,0.1
n4_B3_G2_p0.9,9:2|2:0,0.081,rollout,4,1,2,virgen,,0.1,0.1,0.1,0.0,0.1
n4_B3_G2_p0.9,9:1,0.18,rollout,8,1,1,descendiente,intraatomo,0.5,0.5,1.05,0.0,1.05
n4_B3_G2_p0.9,9:1|8:1,0.09,rollout,1,1,2,descendiente,intraatomo,1.0,1.0,1.0,0.0,1.0
n4_B3_G2_p0.9,9:1|8:0,0.09,rollout,2,1,2,virgen,,0.1,0.1,0.1,0.0,0.1
n4_B3_G2_p0.9,9:0,0.01,rollout,2,1,1,virgen,,0.1,0.1,0.2,0.0,0.2
n4_B3_G2_p0.9,9:0|2:1,0.009,rollout,4,1,2,virgen,,0.1,0.1,0.1,0.0,0.1
n4_B3_G2_p0.9,9:0|2:0,0.001,rollout,4,1,2,virgen,,0.1,0.1,0.1,0.0,0.1
n4_B3_G2_p0.9,raiz,1.0,optimo,9,2,0,virgen,,0.02,0.02,0.373,0.0,0.373
n4_B3_G2_p0.9,9:2,0.81,optimo,2,1,1,virgen,,0.1,0.1,0.2,0.0,0.2
n4_B3_G2_p0.9,9:2|2:1,0.729,optimo,4,1,2,virgen,,0.1,0.1,0.1,0.0,0.1
n4_B3_G2_p0.9,9:2|2:0,0.081,optimo,4,1,2,virgen,,0.1,0.1,0.1,0.0,0.1
n4_B3_G2_p0.9,9:1,0.18,optimo,8,1,1,descendiente,intraatomo,0.5,0.5,1.05,0.0,1.05
n4_B3_G2_p0.9,9:1|8:1,0.09,optimo,1,1,2,descendiente,intraatomo,1.0,1.0,1.0,0.0,1.0
n4_B3_G2_p0.9,9:1|8:0,0.09,optimo,2,1,2,virgen,,0.1,0.1,0.1,0.0,0.1
n4_B3_G2_p0.9,9:0,0.01,optimo,2,1,1,virgen,,0.1,0.1,0.2,0.0,0.2
n4_B3_G2_p0.9,9:0|2:1,0.009,optimo,4,1,2,virgen,,0.1,0.1,0.1,0.0,0.1
n4_B3_G2_p0.9,9:0|2:0,0.001,optimo,4,1,2,virgen,,0.1,0.1,0.1,0.0,0.1
n4_B3_G3_p0.05,raiz,1.0,S0,7,3,0,virgen,,2.572125,2.572125,3.74335625,0.0,3.74335625
n4_B3_G3_p0.05,7:3,0.000125,S0,8,1,1,virgen,,0.95,0.95,0.95,0.0,0.95
n4_B3_G3_p0.05,7:3|8:1,6.25e-06,S0,1,1,2,descendiente,intraatomo,0.0,0.0,0.0,0.0,0.0
n4_B3_G3_p0.05,7:3|8:0,0.00011875,S0,1,1,2,descendiente,intraatomo,0.0,0.0,0.0,0.0,0.0
n4_B3_G3_p0.05,7:2,0.007125,S0,8,1,1,virgen,,0.95,0.95,1.2833333333,0.0,1.2833333333
n4_B3_G3_p0.05,7:2|8:1,0.00035625,S0,1,1,2,descendiente,intraatomo,0.3333333333,0.3333333333,0.3333333333,0.0,0.3333333333
n4_B3_G3_p0.05,7:2|8:0,0.00676875,S0,1,1,2,descendiente,intraatomo,0.3333333333,0.3333333333,0.3333333333,0.0,0.3333333333
n4_B3_G3_p0.05,7:1,0.135375,S0,9,2,1,cruzada,cruzada;atomo_virgen,1.2666666667,1.2666666667,2.5666666667,0.0,2.5666666667
n4_B3_G3_p0.05,7:1|9:2,0.00225625,S0,6,2,2,descendiente,intraatomo,2.0,2.0,2.0,0.0,2.0
n4_B3_G3_p0.05,7:1|9:1,0.04738125,S0,14,3,2,cruzada,cruzada;multiatomo,2.7142857143,2.7142857143,2.7142857143,0.0,2.7142857143
n4_B3_G3_p0.05,7:1|9:0,0.0857375,S0,2,1,2,descendiente,intraatomo,0.5,0.5,0.5,0.0,0.5
n4_B3_G3_p0.05,7:0,0.857375,S0,8,1,1,virgen,,0.95,0.95,0.95,0.0,0.95
n4_B3_G3_p0.05,7:0|8:1,0.04286875,S0,1,1,2,descendiente,dominada;intraatomo,0.0,0.0,0.0,0.0,0.0
n4_B3_G3_p0.05,7:0|8:0,0.81450625,S0,1,1,2,descendiente,dominada;intraatomo,0.0,0.0,0.0,0.0,0.0
n4_B3_G3_p0.05,raiz,1.0,rollout,7,3,0,virgen,,2.572125,2.572125,3.74335625,0.0,3.74335625
n4_B3_G3_p0.05,7:3,0.000125,rollout,1,1,1,descendiente,intraatomo,0.0,0.0,0.95,0.0,0.95
n4_B3_G3_p0.05,7:3|1:1,0.000125,rollout,8,1,2,virgen,,0.95,0.95,0.95,0.0,0.95
n4_B3_G3_p0.05,7:2,0.007125,rollout,1,1,1,descendiente,intraatomo,0.3333333333,0.3333333333,1.2833333333,0.0,1.2833333333
n4_B3_G3_p0.05,7:2|1:1,0.00475,rollout,8,1,2,virgen,,0.95,0.95,0.95,0.0,0.95
n4_B3_G3_p0.05,7:2|1:0,0.002375,rollout,8,1,2,virgen,,0.95,0.95,0.95,0.0,0.95
n4_B3_G3_p0.05,7:1,0.135375,rollout,9,2,1,cruzada,cruzada;atomo_virgen,1.2666666667,1.2666666667,2.5666666667,0.0,2.5666666667
n4_B3_G3_p0.05,7:1|9:2,0.00225625,rollout,6,2,2,descendiente,intraatomo,2.0,2.0,2.0,0.0,2.0
n4_B3_G3_p0.05,7:1|9:1,0.04738125,rollout,14,3,2,cruzada,cruzada;multiatomo,2.7142857143,2.7142857143,2.7142857143,0.0,2.7142857143
n4_B3_G3_p0.05,7:1|9:0,0.0857375,rollout,2,1,2,descendiente,intraatomo,0.5,0.5,0.5,0.0,0.5
n4_B3_G3_p0.05,7:0,0.857375,rollout,1,1,1,descendiente,dominada;intraatomo,0.0,0.0,0.95,0.0,0.95
n4_B3_G3_p0.05,7:0|1:0,0.857375,rollout,8,1,2,virgen,,0.95,0.95,0.95,0.0,0.95
n4_B3_G3_p0.05,raiz,1.0,optimo,3,2,0,virgen,,1.805,1.805,3.7004875,0.04286875,3.7907375
n4_B3_G3_p0.05,3:2,0.0025,optimo,4,1,1,virgen,,0.95,0.95,1.9,0.0,1.9
n4_B3_G3_p0.05,3:2|4:1,0.000125,optimo,8,1,2,virgen,,0.95,0.95,0.95,0.0,0.95
n4_B3_G3_p0.05,3:2|4:0,0.002375,optimo,8,1,2,virgen,,0.95,0.95,0.95,0.0,0.95
n4_B3_G3_p0.05,3:1,0.095,optimo,5,2,1,cruzada,cruzada;atomo_virgen,0.95,0.95,2.8025,0.0,2.8025
n4_B3_G3_p0.05,3:1|5:2,0.002375,optimo,10,2,2,cruzada,cruzada;atomo_virgen,1.9,1.9,1.9,0.0,1.9
n4_B3_G3_p0.05,3:1|5:1,0.0475,optimo,14,3,2,cruzada,cruzada;multiatomo;atomo_virgen,2.7075,2.7075,2.7075,0.0,2.7075
n4_B3_G3_p0.05,3:1|5:0,0.045125,optimo,8,1,2,virgen,,0.95,0.95,0.95,0.0,0.95
n4_B3_G3_p0.05,3:0,0.9025,optimo,4,1,1,virgen,,0.95,0.95,1.9,0.0,1.9
n4_B3_G3_p0.05,3:0|4:1,0.045125,optimo,8,1,2,virgen,,0.95,0.95,0.95,0.0,0.95
n4_B3_G3_p0.05,3:0|4:0,0.857375,optimo,8,1,2,virgen,,0.95,0.95,0.95,0.0,0.95
n4_B3_G3_p0.45,raiz,1.0,S0,3,2,0,virgen,,0.605,0.605,1.5824875,0.1225125,1.5824875
n4_B3_G3_p0.45,3:2,0.2025,S0,12,2,1,virgen,,0.605,0.605,0.8525,0.2475,0.8525
n4_B3_G3_p0.45,3:2|c:2,0.04100625,S0,1,1,2,descendiente,intraatomo,0.0,0.0,0.0,0.0,0.0
n4_B3_G3_p0.45,3:2|c:1,0.1002375,S0,4,1,2,descendiente,intraatomo,0.5,0.5,0.5,0.0,0.5
n4_B3_G3_p0.45,3:2|c:0,0.06125625,S0,1,1,2,descendiente,intraatomo,0.0,0.0,0.0,0.0,0.0
n4_B3_G3_p0.45,3:1,0.495,S0,12,2,1,virgen,,0.605,0.605,1.105,0.39375,1.105
n4_B3_G3_p0.45,3:1|c:2,0.1002375,S0,1,1,2,descendiente,intraatomo,0.5,0.5,0.5,0.0,0.5
n4_B3_G3_p0.45,3:1|c:1,0.245025,S0,1,1,2,descendiente,intraatomo,0.5,0.5,0.5,0.0,0.5
n4_B3_G3_p0.45,3:1|c:0,0.1497375,S0,1,1,2,descendiente,intraatomo,0.5,0.5,0.5,0.0,0.5
n4_B3_G3_p0.45,3:0,0.3025,S0,12,2,1,virgen,,0.605,0.605,0.8525,0.2475,0.8525
n4_B3_G3_p0.45,3:0|c:2,0.06125625,S0,1,1,2,descendiente,dominada;intraatomo,0.0,0.0,0.0,0.0,0.0
n4_B3_G3_p0.45,3:0|c:1,0.1497375,S0,4,1,2,descendiente,intraatomo,0.5,0.5,0.5,0.0,0.5
