instance_id,n,B,G,prevalence,policy,decisions,w_cruzada,w_virgen,w_descendiente,w_union_de_atomos,w_compatible_mixta,w_dominada,mean_local_regret,mean_action_size
n5_B1_G2_p0.9,5,1,2,0.9,S0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
n5_B1_G2_p0.9,5,1,2,0.9,rollout,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
n5_B1_G2_p0.9,5,1,2,0.9,optimo,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
n5_B1_G3_p0.05,5,1,3,0.05,S0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
n5_B1_G3_p0.05,5,1,3,0.05,rollout,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
n5_B1_G3_p0.05,5,1,3,0.05,optimo,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
n5_B1_G3_p0.45,5,1,3,0.45,S0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
n5_B1_G3_p0.45,5,1,3,0.45,rollout,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
n5_B1_G3_p0.45,5,1,3,0.45,optimo,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
n5_B1_G3_p0.9,5,1,3,0.9,S0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
n5_B1_G3_p0.9,5,1,3,0.9,rollout,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
n5_B1_G3_p0.9,5,1,3,0.9,optimo,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
n5_B2_G2_p0.05,5,2,2,0.05,S0,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
n5_B2_G2_p0.05,5,2,2,0.05,rollout,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
n5_B2_G2_p0.05,5,2,2,0.05,optimo,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
n5_B2_G2_p0.45,5,2,2,0.45,S0,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
n5_B2_G2_p0.45,5,2,2,0.45,rollout,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
n5_B2_G2_p0.45,5,2,2,0.45,optimo,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
n5_B2_G2_p0.9,5,2,2,0.9,S0,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
n5_B2_G2_p0.9,5,2,2,0.9,rollout,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
n5_B2_G2_p0.9,5,2,2,0.9,optimo,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
n5_B2_G3_p0.05,5,2,3,0.05,S0,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.5
n5_B2_G3_p0.05,5,2,3,0.05,rollout,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.5
n5_B2_G3_p0.05,5,2,3,0.05,optimo,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.5
n5_B2_G3_p0.45,5,2,3,0.45,S0,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
n5_B2_G3_p0.45,5,2,3,0.45,rollout,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
n5_B2_G3_p0.45,5,2,3,0.45,optimo,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
n5_B2_G3_p0.9,5,2,3,0.9,S0,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
n5_B2_G3_p0.9,5,2,3,0.9,rollout,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
n5_B2_G3_p0.9,5,2,3,0.9,optimo,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
n5_B3_G2_p0.05,5,3,2,0.05,S0,13,0.0030083333,0.9969916667,0.0,0.0,0.0,0.0,0.001579375,1.669675
n5_B3_G2_p0.05,5,3,2,0.05,rollout,9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.6666666667
n5_B3_G2_p0.05,5,3,2,0.05,optimo,12,0.0482916667,0.9517083333,0.0,0.0,0.0,0.0,0.0,1.6983333333
n5_B3_G2_p0.45,5,3,2,0.45,S0,13,0.0,1.0,0.0,0.0,0.0,0.0,0.059214375,1.6666666667
n5_B3_G2_p0.45,5,3,2,0.45,rollout,11,0.284625,0.715375,0.0,0.0,0.0,0.0,0.0,1.8316666667
n5_B3_G2_p0.45,5,3,2,0.45,optimo,11,0.284625,0.715375,0.0,0.0,0.0,0.0,0.0,1.8316666667
n5_B3_G2_p0.9,5,3,2,0.9,S0,7,0.0,1.0,0.0,0.0,0.0,0.0,0.0243333333,1.0
n5_B3_G2_p0.9,5,3,2,0.9,rollout,10,0.0,0.91,0.09,0.0,0.0,0.0,0.0,1.3333333333
n5_B3_G2_p0.9,5,3,2,0.9,optimo,10,0.0,0.91,0.09,0.0,0.0,0.0,0.0,1.3333333333
n5_B3_G3_p0.05,5,3,3,0.05,S0,17,0.0,0.6666666667,0.3333333333,0.0,0.0,0.0,0.0699813542,2.0
n5_B3_G3_p0.05,5,3,3,0.05,rollout,15,0.0798791667,0.9201208333,0.0,0.0,0.0,0.0,0.0,1.8210020833
n5_B3_G3_p0.05,5,3,3,0.05,optimo,15,0.0798791667,0.9201208333,0.0,0.0,0.0,0.0,0.0,1.8210020833
n5_B3_G3_p0.45,5,3,3,0.45,S0,13,0.0,1.0,0.0,0.0,0.0,0.0,0.0687740625,1.6666666667
n5_B3_G3_p0.45,5,3,3,0.45,rollout,14,0.20191875,0.7776625,0.02041875,0.0,0.0,0.0,0.0,1.9547979167
n5_B3_G3_p0.45,5,3,3,0.45,optimo,11,0.284625,0.715375,0.0,0.0,0.0,0.0,0.0095596875,1.8316666667
n5_B3_G3_p0.9,5,3,3,0.9,S0,7,0.0,1.0,0.0,0.0,0.0,0.0,0.0243333333,1.0
n5_B3_G3_p0.9,5,3,3,0.9,rollout,10,0.0,0.91,0.09,0.0,0.0,0.0,0.0,1.3333333333
n5_B3_G3_p0.9,5,3,3,0.9,optimo,10,0.0,0.91,0.09,0.0,0.0,0.0,0.0,1.3333333333
n6_B1_G2_p0.05,6,1,2,0.05,S0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
n6_B1_G2_p0.05,6,1,2,0.05,rollout,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
n6_B1_G2_p0.05,6,1,2,0.05,optimo,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
n6_B1_G2_p0.45,6,1,2,0.45,S0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
n6_B1_G2_p0.45,6,1,2,0.45,rollout,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
n6_B1_G2_p0.45,6,1,2,0.45,optimo,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
n6_B1_G2_p0.9,6,1,2,0.9,S0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
n6_B1_G2_p0.9,6,1,2,0.9,rollout,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
n6_B1_G2_p0.9,6,1,2,0.9,optimo,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
n6_B1_G3_p0.05,6,1,3,0.05,S0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
n6_B1_G3_p0.05,6,1,3,0.05,rollout,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
n6_B1_G3_p0.05,6,1,3,0.05,optimo,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
n6_B1_G3_p0.45,6,1,3,0.45,S0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
n6_B1_G3_p0.45,6,1,3,0.45,rollout,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
n6_B1_G3_p0.45,6,1,3,0.45,optimo,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
n6_B1_G3_p0.9,6,1,3,0.9,S0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
n6_B1_G3_p0.9,6,1,3,0.9,rollout,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
n6_B1_G3_p0.9,6,1,3,0.9,optimo,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
n6_B2_G2_p0.05,6,2,2,0.05,S0,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
n6_B2_G2_p0.05,6,2,2,0.05,rollout,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
n6_B2_G2_p0.05,6,2,2,0.05,optimo,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
n6_B2_G2_p0.45,6,2,2,0.45,S0,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
n6_B2_G2_p0.45,6,2,2,0.45,rollout,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
n6_B2_G2_p0.45,6,2,2,0.45,optimo,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
n6_B2_G2_p0.9,6,2,2,0.9,S0,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
n6_B2_G2_p0.9,6,2,2,0.9,rollout,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
n6_B2_G2_p0.9,6,2,2,0.9,optimo,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
n6_B2_G3_p0.05,6,2,3,0.05,S0,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
n6_B2_G3_p0.05,6,2,3,0.05,rollout,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
n6_B2_G3_p0.05,6,2,3,0.05,optimo,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
n6_B2_G3_p0.45,6,2,3,0.45,S0,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
n6_B2_G3_p0.45,6,2,3,0.45,rollout,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
n6_B2_G3_p0.45,6,2,3,0.45,optimo,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
n6_B2_G3_p0.9,6,2,3,0.9,S0,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
n6_B2_G3_p0.9,6,2,3,0.9,rollout,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
n6_B2_G3_p0.9,6,2,3,0.9,optimo,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
n6_B3_G2_p0.05,6,3,2,0.05,S0,13,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
n6_B3_G2_p0.05,6,3,2,0.05,rollout,13,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
n6_B3_G2_p0.05,6,3,2,0.05,optimo,13,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
n6_B3_G2_p0.45,6,3,2,0.45,S0,13,0.0,1.0,0.0,0.0,0.0,0.0,0.050139375,2.0
n6_B3_G2_p0.45,6,3,2,0.45,rollout,13,0.284625,0.715375,0.0,0.0,0.0,0.0,0.0,2.0
n6_B3_G2_p0.45,6,3,2,0.45,optimo,13,0.284625,0.715375,0.0,0.0,0.0,0.0,0.0,2.0
n6_B3_G2_p0.9,6,3,2,0.9,S0,7,0.0,1.0,0.0,0.0,0.0,0.0,0.0243333333,1.0
n6_B3_G2_p0.9,6,3,2,0.9,rollout,10,0.0,0.91,0.09,0.0,0.0,0.0,0.0,1.3333333333
n6_B3_G2_p0.9,6,3,2,0.9,optimo,10,0.0,0.91,0.09,0.0,0.0,0.0,0.0,1.3333333333
n6_B3_G3_p0.05,6,3,3,0.05,S0,21,0.0061087969,0.6666666667,0.3272245365,0.0,0.0,0.0,0.0489754688,2.3781311771
n6_B3_G3_p0.05,6,3,3,0.05,rollout,14,0.04904375,0.95095625,0.0,0.0,0.0,0.0,0.0,2.04904375
n6_B3_G3_p0.05,6,3,3,0.05,optimo,14,0.04904375,0.95095625,0.0,0.0,0.0,0.0,0.0,2.04904375
n6_B3_G3_p0.45,6,3,3,0.45,S0,13,0.0,1.0,0.0,0.0,0.0,0.0,0.0850183125,2.0
n6_B3_G3_p0.45,6,3,3,0.45,rollout,15,0.20191875,0.7776625,0.02041875,0.0,0.0,0.0,0.0,2.20191875
n6_B3_G3_p0.45,6,3,3,0.45,optimo,13,0.284625,0.715375,0.0,0.0,0.0,0.0,0.0348789375,2.0
n6_B3_G3_p0.9,6,3,3,0.9,S0,7,0.0,1.0,0.0,0.0,0.0,0.0,0.0243333333,1.0
n6_B3_G3_p0.9,6,3,3,0.9,rollout,10,0.0,0.91,0.09,0.0,0.0,0.0,0.0,1.3333333333
n6_B3_G3_p0.9,6,3,3,0.9,optimo,10,0.0,0.91,0.09,0.0,0.0,0.0,0.0,1.3333333333
