workspace_ref	gap_anchor_max	gap_anchor_med	tight_batt_med	sep_lo_flagship	sep_hi_flagship	n_instances	violations	runtime_seconds	tests_status	status	description
f51c4e4	2.032726	0.579937	0.057800	1.609439	4.880987	11	0	94.837	pass	keep	S46 aceleracion exacta valor-identico (U_cell flagship=2.928592, gap 2.032726 preservado) para caber bajo la puerta 60s en esta maquina: la construccion vigente (4b18e2e/f51c4e4) tardaba ~76s => anchor_timeout. Tres opts value-identical, SIN tocar la cota: (1) especializacion nact==1/2 en bucles planos sin recursion (perfil S46: go=56% del tiempo, dp solo 25934 llamadas); (2) DEDUP POR SIMETRIA en gen: cells es tupla ordenada => celdas identicas adyacentes; acciones que solo las permutan dan igual distribucion de hijos y valor, se evalua 1 representante (a no-creciente en cada racha); (3) ruta rapida de hoja sin sorted con base vacia. flagship ~76s->~57s.
b47d798	2.032726	0.579937	0.057800	1.609439	4.880987	11	0	48.369	pass	flat	S49 flat: baseline 2.032726 reproducido; RETIRA hope g=5 exacto — flagship T=4=44.35s deja ~15s holgura, g=5 exacto >120s (infeasible aun a 2x hw); solo build multi-sesion (full-reveal-K acoplado / potencial no-aditivo) mueve el numero
5eaa082	2.032726	0.579937	0.057800	1.609439	4.880987	11	0	49.031	pass	flat	S50 flat: cota Lagrangiana por precio de presupuesto compartido (direccion no-aditiva de S48/S49) construida y VERIFICADA valida (lb>=dp exacto, 0 violaciones en 470+ casos, incl. G=16 hasta n=17; dp((6,2),4)@G2=1.8, lb=1.9002) pero PLANA en la insignia: con G=16 el presupuesto es holgado (g<<G) => _lagrangian_bound(32,g,6,16)=g exacto, identico al trivial. El costo de localizacion insignia es informacion/particion, no contencion de presupuesto; matiza S48. Cota sin cambio 2.032726
7458d11	2.032726	0.579937	0.057800	1.609439	4.880987	11	0	48.878	pass	flat	S51 flat: re-confirmada la pared cola g>=5 (comentario). Medido g<=4=44.1s, g=5 exacto>106s (reconfirma S49, infeasible <60s); re-cierre atajo dp((n,4))+1 (lema incremento<=1 FALSO). Baseline 2.032726 reproducido; avance real = multi-sesion.
16e2bd1	2.032726	0.579937	0.057800	1.609439	4.880987	11	0	48.818	pass	flat	S52 flat: dp1 (reveal-total fusionando a una celda) CERRADO INVALIDO — subestima V* 5/5 por 3-4 ordenes (hom_q10_n6 V*=0.373 vs 1e-4); fusionar destruye la localizacion => colapsa bajo V*. Confirma por que full-reveal-K no factoriza (belief correlacionado, intratable). Ninguna reduccion factorizada es valida Y mas ajustada que U_cell. Frontera viva: particion-gruesa / u_pen laminar (multi-sesion). Baseline 2.032726 reproducido, gates verdes
9d7247f	2.032726	0.579937	0.057800	1.609439	4.880987	11	0	48.795	pass	flat	S53 flat: caracterizacion informacional de la pared — obstaculo = belief correlacionado de OPT (todo bound valido revela superconjunto de conteos-de-pool-testeado; U_cell revela toda celda => factoriza pero flojo; no hay intermedio factorizado valido y mas ajustado). Cola g>=5 en min(g,BG)=g es capacidad PURA ya ajustada (g<=G cabe en 1 pool, BG=96>>g), cierra la direccion capacidad-analitica. Premio ~2x (OPT insignia ~1.5, sep_hi ~2.4) enteramente detras del build de belief comprimido. Baseline 2.032726 reproducido, gates verdes
9d7247f	2.032726	0.579937	0.057800	1.609439	4.880987	11	0	50.531	pass	flat	S54 flat: cota SIN cambio (baseline 2.032726 reproducido, gates verdes). REFUTA como INVALIDA la ruta 'belief comprimido laminar' que S46-S53 marcaban como el build prometedor. laminar-reveal-K (proto_lamtrunc): revela K + conteo-por-celda pero RESTRINGE tests a slices de UNA celda; estado=multiset (m,j), TRATABLE (flagship T=4 en 0.3s=2.124 << U_cell 2.929). PASA la bateria n<=7 (E_g binomial >= V*: 0.377>=0.373, 1.110>=1.011, 0.729>=0.704) PERO INVALIDA por-g: sweep exacto vs OPT_g (492 pts/79 cfg) = 47 VIOLACIONES lam<OPT_g, concentradas en G grande (regimen insignia): n=7,g=5,B=4,G=6 lam=3.905<4.571 (-0.667); clean-raro n=7,g=2,B=4,G=6 lam=1.476<1.524 tambien viola. CAUSA: single-cell PIERDE el pooling cruzado-celda (mas test-eficiente con G grande: un test revela 1 conteo pero limpia un pool grande); la info por-celda NO compensa. La bateria lo ENMASCARA (g grandes violadores pesan ~0 con clean raro) => es exactamente la trampa que avisa program.md. TRILEMA: full-reveal-K=valido+ajustado pero INTRATABLE (correlacionado); laminar-reveal-K=tratable+ajustado pero INVALIDO; U_cell=valido+tratable pero FLOJO. Todo belief comprimido VALIDO debe RETENER el set de acciones completo (todos los pools)=>correlacionado=>intratable. Cierra la direccion laminar como build.
ea7db79	2.032726	0.579937	0.057800	1.609439	4.880987	11	0	49.270	pass	flat	S55 flat: CIERRA la sub-direccion 'desacoplar el sup interno de u_pen' — el desacople max(A-B)<=maxA-minB da >=U_PI (PEOR que trivial); apriete vive en la correlacion welfare-penalizacion en la MISMA pi. Dual exacto del obstaculo full-reveal-K (S53): ambos builds vivos colapsan a la MISMA optimizacion conjunta intratable. Cota sin cambio 2.032726.
45f536f	2.032726	0.579937	0.057800	1.609439	4.880987	11	0	48.651	pass	flat	S56 flat: cota SIN cambio (2.032726 reproducido, gates verdes). 6a revision independiente; sin nueva idea barata+valida. Aporta 3a derivacion de la pared g>=5: descomposicion union-sobre-tests OPT<=sum_t sup_pi E[|P_t|*1(P_t todo-limpio)] (valida por union<=suma); cada termino telescopia a g porque la localizacion perfecta permite un pool todo-limpio de tamano g, y toda cota por-termino barata es no-adaptativa (cota INFERIOR, invalida). Dual welfare-por-test del belief correlacionado (S53) y del sup interno u_pen (S55): las 3 rutas colapsan al mismo DP intratable. Confirma gates en esta maquina (py3.13). Avance real = multi-sesion.
43244eb	2.032726	0.579937	0.057800	1.609439	4.880987	11	0	96.433	pass	flat	S57 flat: cota sin cambio (2.032726, gates verdes, 95.7s = regimen lento ~2x pero pasa la puerta, flagship g<=4 con ~2x margen). 7a revision independiente sin idea barata+valida nueva. Re-cierra g=5 exacto CONSCIENTE de contencion (>106s a 1x => >200s a este 2x; medida cap=5 contaminada por CPU concurrente, descartada). Aporta frontera-monotona compacta (mas reveal=barato+flojo=g; U_cell=factorizado mas ajustado, explota g>=5; menos que conteo-pool=invalido; toda relacion dp(n,g) barata FALSA por no-monotonia en n) y dato de continuidad: el corte g<=4 tiene ~2x margen de hardware, no re-ingenierizar velocidad. Avance real sigue multi-sesion (full-reveal-K acoplado / u_pen sup interno EXACTO)
7cd5d08	2.032726	0.579937	0.057800	1.609439	4.880987	11	0	49.074	pass	flat	S59 flat: certificacion del premio bloqueada por la MISMA intratabilidad (lado cota inferior). dp((32,5),6)=4.290323 exacto (unico en registro, 758s) baja gap 2.032726->1.946668 pero gate-bloqueado (>>60s). La LB cheap single-cell del tail es 2.72x floja (1.5788 vs 4.290323, pierde pooling cruzado-celda, mecanismo S54) => techo de premio vacuo (<=0.854 tail). CORRIGE el borrador S58 'premio<=0.13' (no certificado: igualaba tail exacto con telescopio invalido). El costo de localizacion es inaccesible barato en AMBAS direcciones (superior S45-S57, inferior S59); dual de la frontera-monotona S57. Cota sin cambio, gates verdes.
1d09578	2.032726	0.579937	0.057800	1.609439	4.880987	11	0	48.906	pass	flat	S61 flat: 10a revision independiente, sin idea barata+valida (baseline 2.032726, gates verdes, 48.7s regimen rapido). Impossibilidad S60 vista por el lado de la COMPUTABILIDAD: el conjunto de cotas superiores baratas-y-validas de la cola dp((n,gg),B) es el SINGLETON {gg} — todo lo barato <gg es cota INFERIOR (dp(.,1) forma cerrada, no-adaptativo, single-cell), toda cota superior valida barata es >=gg (refunde por (B-k)G>>gg); se tocan solo en el DP exacto que explota. El head gg<=4 tambien esta en su frontera (cell-reveal es la relajacion factorizable mas ajustada; full-reveal-K intratable ya en gg=2). 2.032726 es el optimo barato+valido COMPLETO; avance real multi-sesion.
3f231f9	2.032726	0.579937	0.057800	1.609439	4.880987	11	0	48.416	pass	flat	flat(S62): cota SIN cambio (2.032726, gates verdes, 11a revision independiente). Trilema como teorema de una linea (valida+tratable=floja/telescopia; valida+ajustada=intratable; tratable+ajustada=invalida<V*) + truncacion-con-hindsight vacua re-verificada por algebra (nodo=j=su propio hindsight => raiz=g a toda profundidad). Premio barato = solo g=5 exacto (Delta 0.086) locked tras 758s; premio completo tras belief correlacionado multi-sesion.
a508bd4	2.032726	0.579937	0.057800	1.609439	4.880987	11	0	49.116	pass	flat	S63 flat: 12a revision independiente, sin idea barata+valida; statement de DIRECCION que mata la familia telescopio-de-una-persona (la unica relacion 1-persona provable va al reves: reveal-identidad >= dp, nunca <= dp - algo; acoplamiento inverso pierde hasta G). Baseline 2.032726 reproducido, gates verdes, 49s
b70b813	2.032726	0.579937	0.057800	1.609439	4.880987	11	0	48.639	pass	flat	S64 flat: baseline 2.032726 reproducido (gates verdes, 0 violations, tests pass, 48.5s py3.13). 13a revision independiente. REFUTA CUANTITATIVAMENTE el punto 4 del brief (contar-historias/capacidad): en la insignia (G+1)^B=17^6=24.1M transcripts >> C(32,<=5)=243k configs (99x) y bits 24.52>17.62 para ID completo => toda cota por capacidad/bits es VACUA (=g). El hueco NO es limitacion de bits: acreditar exige un pool testeado todo-limpio, y localizar gasta tests que no acreditan (VoI secuencial), solo medible por el DP que explota en gg>=5. 4a derivacion del mismo objeto; cierra la ultima direccion barata-estructural abierta en las notas. Sin keep.
cbaa668	2.032726	0.579937	0.057800	1.609439	4.880987	11	0	48.622	pass	flat	S65 flat: baseline 2.032726 reproducido (gates verdes, 0 violations, tests pass, py3). 14a revision independiente. Cierra el 2do eje de coarsening del reveal: revelar-statistic-gruesa-POR-CELDA (misma particion que U_cell, f(j_c) bucketizada) SI factoriza pero es INVALIDO (no domina los totales-de-pool => esconde info => colapsa bajo V*, mismo mecanismo dp1/single-cell). Con S52 (coarsening por particion) => ambos ejes cerrados: factorizar EXIGE revelar la cuenta exacta por celda = U_cell, unico punto factorizado+valido (S53 re-derivado desde el eje statistic). Premio restante multi-sesion.
4e84600	2.032726	0.579937	0.057800	1.609439	4.880987	11	0	48.253	pass	flat	S66 flat: cierra atajo reveal-active n-shrink (dual S63); relajacion-de-info UNSOUND (activos son sondas => testear pool con activo-conocido aun parte celdas), relacion desnuda dp((n,g),B)<=dp((n0,g),B) FALSA por contraejemplo S48 4.989011>4.950050, y numerico solo verificable con el DP 758s. Cota sin cambio 2.032726.
4e84600	2.032726	0.579937	0.057800	1.609439	4.880987	11	0	48.439	pass	flat	S67 flat: 16a confirmacion independiente sin idea barata+valida (baseline 2.032726, gates verdes). Re-ataca desde cero los 2 frentes frescos: (a) dual/LP factible -> aditiva=g (S48), Lagrangiana tamano=plana B*G>>g (S50), dual de AGENDA=mismo estado que DP exacto (S50); (b) cota por DEFICIT g-dp por entropia/Fano=VACUA (S64: bits no atan). SENAL DE PARO: el carril (cota factorizada barata+valida) esta en su optimo demostrado {U_cell} con 16 confirmaciones; avance exige build multi-sesion full-reveal-K/u_pen FUERA del carril (autorizacion humana).
f9da176	2.032726	0.579937	0.057800	1.609439	4.880987	11	0	51.641	pass	flat	S68 flat: baseline 2.032726 reproducido (gates verdes, 50.5s, py3, 17a revision independiente). Adopta la senal de paro S67; aporte nuevo: HARDCODEAR dp((32,5),6)=4.290 pasaria puertas y es valido pero es lookup de una tupla (no generaliza, no es lema) => NO keep. dp crece en G/B => acotar por arriba telescopia a g. Carril en optimo demostrado {U_cell}; se detiene el loop de una-iteracion, avance real = build multi-sesion fuera del carril con autorizacion humana.
405658a	2.032726	0.579937	0.057800	1.609439	4.880987	11	0	95.697	pass	flat	S69 flat: baseline 2.032726 reproducido (gates verdes, violations 0, tests pass, 94.9s = regimen LENTO ~2x, py3); 18a revision independiente. Un investigador fresco leyo el log completo S45-S68 y re-probo el surface abierto (tail gg>=5 = singleton {gg} S61/all-or-nothing S60; head gg<=4 = unico factorizado+valido S53/S65; relaciones per-(n,g) FALSAS por no-monotonia-en-n S48/S63/S66; aditiva/Lagrangiana/capacidad/Fano => g S48/S50/S64) y NO hallo idea barata+valida no cubierta. Aporte de continuidad: a 94.9s (~2x lento, comparable a S47/S57) el corte g<=4 aun pasa TODOS los gates con violations 0 => confirma el ~2x de margen de hardware (S57 pt1); futuras sesiones NO necesitan re-ingenierizar velocidad. Unico lever real (dp((32,5),6) exacto, Dgap 0.086) locked por COMPUTO >106s (no validez); hardcodear prohibido (lookup, no lema, S68). ADOPTA la senal de paro S67/S68: el carril editable esta en su optimo demostrado barato+valido {U_cell}=2.032726; el loop de una-iteracion esta AGOTADO. El avance real exige el build multi-sesion (full-reveal-K acoplado / u_pen sup interno EXACTO) FUERA del carril, con autorizacion humana explicita.
405658a	2.032726	0.579937	0.057800	1.609439	4.880987	11	0	48.375	pass	flat	S70 flat: baseline 2.032726 reproducido (gates verdes, violations 0, tests pass, 48.7s, py3 regimen rapido). 19a revision independiente. Adopta la senal de paro S67/S68 sin re-derivar el muro. Due-diligence fresca sobre la unica holgura viva (cola gg>=5 en min(gg,B*G)=gg): (a) min-de-cotas-validas no tiene socio nuevo — para gg grande gg ya es ajustado, el overpay vive en gg=5,6 donde solo el DP exacto (758s>>60s, crecimiento de estados no-hardware) baja de gg; (b) head gg<=4 en su frontera factorizada (S61); (c) reveal parcial del brief = full-reveal-K intratable (S46). Ningun cheap+valid no-cerrado-con-prueba. El set de cotas superiores baratas+validas factorizadas es el SINGLETON {U_cell} (S61 PROBADO), no falta-de-idea. Loop de una-iteracion DETENIDO; el premio (gap ~0.5, sep_hi ~2.4) exige el build multi-sesion (full-reveal-K acoplado / u_pen sup interno EXACTO) FUERA del carril editable, con autorizacion humana.
405658a	2.032726	0.579937	0.057800	1.609439	4.880987	11	0	49.016	pass	flat	S71 flat: baseline 2.032726 reproducido (gates verdes, violations 0, tests pass, 48.7s py3 regimen rapido). 20a revision independiente, esta vez re-derivando el muro desde el CODIGO (no solo del log). Confirmado: en la insignia B*G=96>>n=32 => tail gg>=5 en min(gg,B*G)=gg es donde vive TODO el gap residual; head gg<=4 ya exacto (dp((32,4),6)=3.388765). Auditada de nuevo la palanca que el brief lista explicito (min de varias cotas validas): enumeracion fresca de candidatos a 2a cota barata para el tail (U_PI global=n*q=3.2=tail trivial, no aprieta; dp((n,gg),1) y single-cell=cotas INFERIORES; reveal-mas=telescopia a gg; capacidad/bits=vacua S64) => NINGUN candidato es simultaneamente barato+valido+<gg; todos colapsan a un vertice ya refutado del trilema (valido+tratable=floja=gg / valido+ajustado=intratable full-reveal-K / tratable+ajustado=invalido<V*). Unica palanca real sigue siendo dp((32,5),6) exacto (Delta gap 0.086) locked por computo ~758s>>60s (crecimiento de estados j=5, no hardware). Adopta la senal de paro S67-S70: el carril editable esta en su optimo barato+valido demostrado {U_cell}=2.032726; el loop de una-iteracion esta AGOTADO. Avance real = build multi-sesion (full-reveal-K acoplado / u_pen sup interno EXACTO) FUERA del carril, con autorizacion humana.
405658a	2.032726	0.579937	0.057800	1.609439	4.880987	11	0	49.287	pass	flat	S72 flat: baseline 2.032726 reproducido (gates verdes, violations 0, tests pass, 50.3s py3, regimen rapido). 21a revision independiente. A DIFERENCIA de las revisiones que solo re-leyeron el log, esta re-derivo el trilema DESDE EL CODIGO y desde cero: (a) valido+tratable=>flojo=g — re-verificada por algebra la truncacion-con-hindsight (nodo con j limpios vale j bajo hindsight del hijo: acredita a + (j-a)=j o no-acredita j; E=j para toda accion => raiz=g), y confirmado B*G=96>>g refunda todo prefijo (S56/S60); (b) valido+ajustado=>intratable — la creencia mas fina compatible con validez es la de OPT (conteos-de-pool correlacionados), dp((32,5),6) ~758s; (c) tratable+ajustado=>invalido — todo merge/coarsening cae bajo los totales-de-pool y colapsa bajo V* (dp1 S52/single-cell S54/statistic S65). Enumeracion fresca de candidatos a 2a cota barata para la cola gg>=5: relacionales entre dp a distinto (n,g) FALSOS por no-monotonia en n (S45/S48/S63/S66), reveal-factorizado telescopia a g, capacidad/bits vacua (S64), Lagrangiana plana (S50), u_pen desacoplado >=U_PI (S55) — NINGUN candidato simultaneamente barato+valido+<gg. Unica palanca real = gg=5 EXACTO (Delta gap 0.086, validez ironclad por misma relajacion de info que gg<=4, SIN lema nuevo) locked por COMPUTO ~758s>>60s (crecimiento de estados j=5, no hardware; medido infeasible S49/S51). El conjunto de cotas superiores factorizadas baratas+validas es el SINGLETON {U_cell} (S61 probado). ADOPTA la senal de paro S67-S71: el loop de una-iteracion sobre laminar_cert.py esta AGOTADO; ninguna idea distinta queda dentro del carril. Avance real = build multi-sesion (full-reveal-K con belief correlacionado comprimido / u_pen sup interno EXACTO) FUERA del carril editable, requiere autorizacion humana explicita para editar solver/certificados o anadir modulos.
405658a	2.032726	0.579937	0.057800	1.609439	4.880987	11	0	49.117	pass	flat	S73 flat: baseline 2.032726 reproducido (gates verdes, violations 0, tests pass, 48.6s, py3 regimen rapido). 22a revision independiente. Aporte NUEVO: MEDICION LIMPIA (cero contencion, proceso aislado) del unico lever de validez ironclad (subir _CELL_GG_CAP 4->5 = exact gg=5): cap=4 flagship=44.37s, cap=5 NO termina en 200s (>>60s gate). Cierra la duda residual de S57 (cuya medida cap=5 estaba CONTAMINADA por contencion de CPU con el run baseline concurrente): el lock es explosion de estados j=5, NO hardware, aun en maquina de regimen rapido (44.37s = mismo que S49/S51). Codigo completo re-leido (docstring+DP): carril en su optimo barato+valido demostrado {U_cell} (trilema S54/S62, singleton {gg} S61, no-monotonia-en-n S48/S63/S66, u_pen desacoplado>=U_PI S55 — ninguno reabierto). Adopta senal de paro S67-S72; el premio (gap ~0.5) exige el build multi-sesion de belief correlacionado comprimido, intratable dentro del carril (full-reveal-K >75s ya en gg=2, S46).
405658a	2.032726	0.579937	0.057800	1.609439	4.880987	11	0	48.672	pass	flat	S74 flat: baseline 2.032726 reproducido (gates verdes, violations 0, tests pass, 48.5s). Sin keep, sin edit. Nueva construccion evaluada y REFUTADA por telescopio: backup exacto de 1 nivel en la cola g=5 con rama-acreditada cayendo al DP tratable dp((32-a,5-a),5)<5-a+a. Falla porque el max exterior sobre pools a=1..G ESCAPA por un pool grande (a>=6): con solo 5 limpios ningun pool a>=6 es todo-limpio => todos sus hijos cargan 5 limpios y se acotan trivial en 5 => U5(a>=6)=5 => max=g. Sharper que S46pto2: la telescopia no es solo (B-k)G>>g, es que el max de accion se enruta por un pool grande trivial-acotado. Cerrar el escape exige acotar hijos-5-limpios por doquier = DP g=5 exacto (explota >106s). Trilema intacto. 18a confirmacion independiente.
405658a	2.032726	0.579937	0.057800	1.609439	4.880987	11	0	48.171	pass	flat	S75 flat: baseline 2.032726 reproducido (gates verdes, violations 0, tests pass, 48.3s, regimen rapido, 405658a sin cambio). 23a confirmacion independiente. Sesion fresca leyo laminar_cert.py COMPLETO (1180 lineas, notas S45-S74) + todo results.tsv; regenero candidatos y TODOS mapean a direcciones ya refutadas (add-info=>telescopia a g S46/S60; remove-info<pool-totals=>colapsa bajo V* dp1/single-cell S52/S54; relacional per-(n,g)=>FALSO por no-monotonia en n S48/S63/S66; g=5 exacto=>gate-blocked ~750s>>60s por crecimiento de estados no hardware S49/S51; hardcodear dp((32,5),6)=>lookup de 1-tupla no lema S68). Set de cotas superiores baratas+validas factorizadas = singleton {U_cell} (trilema/all-or-nothing/singleton S54/S60/S61) = RESULTADO, no busqueda incompleta. ADOPTA la senal de paro S67/S68: no queda idea distinta con argumento de validez dentro del carril; el premio (gap ~0.5, sep_hi ~2.4 vs 4.88 hoy) vive entero tras el build multi-sesion (full-reveal-K con belief correlacionado comprimido / u_pen con sup interno EXACTO), que exige editar fuera del carril seguro con autorizacion humana explicita.
405658a	2.032726	0.579937	0.057800	1.609439	4.880987	11	0	48.677	pass	flat	S76 flat: baseline 2.032726 reproducido (gates verdes, violations 0, tests pass, 48.3s, py3 regimen rapido). 24a revision independiente, re-derivada DESDE EL CODIGO vigente (no solo el log): upper_bound=min(U_PI,U_cell); U_cell=E_gg[f(gg)] con gg~Binom(n,0.1) (limpio-raro), head gg<=4 EXACTO (dp((32,4),6)=3.388765, mas ajustado factorizado, validez=relajacion de info pura), cola gg>=5 en el trivial min(gg,B*G)=gg. TODO el gap residual vive en la cola: el unico apriete valido es dp((32,5),6)=4.290323 (Dgap 0.086 a 1.946668) pero cuesta ~758s>>60s (explosion de estados j=5, no hardware; re-confirmado S73 medicion limpia). Confirmadas CERRADAS con contraejemplo a escala insignia las CUATRO shortcuts relacionales baratas entre dp a distinto (n,g): (1) telescopio quita-persona dp((n,g),B)<=dp((n-1,g-1),B)+1 FALSO (dp((16,5),6)=4.989011>dp((15,4),6)+1=4.969231, S45); (2) flip mismo-n dp((n,g),B)<=dp((n,g-1),B)+1 FALSO (dp((16,5),6)=4.989011>dp((16,4),6)+1=4.986807, lineas 167/215); (3) m-monotonia dp((m+1,j),B)<=dp((m,j),B) FALSA (dp((14,5),6)=4.98002<dp((16,5),6)=4.98901, docstring); (4) concavidad/secante en g FALSA (dp((12,5),6)=5.0>secante 4.9838). Causa unica comun: un cuerpo limpio extra sirve de SONDA informativa => no-monotonia => todo bound relacional barato falla. Aditiva=>g (S48/S56), Lagrangiana-tamano=>plana (S50), capacidad/bits=>vacua (S64), reveal-mas=>telescopia a g (S53/S66), reveal-menos<pool-totals=>colapsa bajo V* (dp1/single-cell/statistic S52/S54/S65). El set de cotas superiores factorizadas baratas+validas = SINGLETON {U_cell} (S61 probado) = RESULTADO. Hardcodear dp((32,5),6) prohibido (lookup 1-tupla, no lema, S68). ADOPTA la senal de paro S67-S75: el loop de una-iteracion sobre laminar_cert.py esta AGOTADO sin idea distinta+valida; el premio (gap ~0.5, sep_hi 4.88->~2.4) vive tras el build multi-sesion (full-reveal-K con belief correlacionado comprimido / u_pen con sup interno EXACTO) FUERA del carril, que exige autorizacion humana para editar solver/certificados o anadir modulos.
405658a	2.032726	0.579937	0.057800	1.609439	4.880987	11	0	56.442	pass	flat	S77 flat: baseline 2.032726 reproducido (gates verdes, violations 0, tests pass, 54.1s clean py3.13, sin contencion, 405658a sin cambio). 25a revision independiente. Aporte NUEVO (no en S45-S76): DOS ataques frescos distintos, ambos construidos desde cero y REFUTADOS. (A) COTA POR DESACOPLE-DE-PRESUPUESTO f(m,j,t): tabla de 3 indices donde tras cada test CADA subgrupo resultante recibe su PROPIO presupuesto completo t-1 (en vez de compartirlo). VALIDA por induccion en t: dp(C,t) <= sum_c f(m_c,j_c,t) porque (1) el reward del pool conjunto (acredita sum a_c solo si TODO el pool limpio) es <= sum de rewards por-celda punto-a-punto, y (2) dar a cada rama el presupuesto t-1 completo solo agrega valor. Es BARATA (tabla (m<=32,j<=5,t<=6) ~960 estados, milisegundos) — el sueno del carril. Pero COMPUTADA es VACUA: f(32,5,6)=5.000000 EXACTO (telescopia a g), y ademas floja en la cabeza f(32,4,6)=4.0 vs exacto dp((32,4),6)=3.388765. Mecanismo probado: presupuesto independiente por rama => aislamiento eventual de cada limpio => f=g. Nuevo miembro COMPUTADO de la familia reveal-mas/recurso-ilimitado->g (S53/S66); cierra el hueco de si 'desacoplar por celda' (dual del single-cell de S54) daba cota superior util: NO, colapsa a g. (B) TRUNCACION-POR-PROFUNDIDAD-DE-TEST + completion trivial (conteo-limpio-restante): re-derivada VACUA desde el codigo por la identidad de conservacion reward + limpios_restantes == limpios_totales en CADA nodo de test (el reward acredita exactamente los limpios que retira) => V_k = g a toda profundidad finita k (re-derivacion independiente del all-or-nothing S60/S62, ahora como identidad de conservacion de una linea). Muro re-medido limpio py3.13: cabeza cap=4=36.1s; el UNICO lever valido que baja el gap (exact dp((32,5),6), Dgap 0.086 a 1.9467) sigue >>60s por explosion de estados j=5 (no hardware), sin speedup exacto 12x de una-iteracion. El set de cotas superiores baratas+validas factorizadas sigue siendo el SINGLETON {U_cell}; trilema intacto (valido+tratable->g / valido+ajustado->intratable / tratable+ajustado-><V*). ADOPTA la senal de paro S67-S76: el loop de una-iteracion sobre laminar_cert.py esta AGOTADO; el premio (gap ~0.5, sep_hi 4.88->~2.4) vive tras el build multi-sesion (full-reveal-K con belief correlacionado comprimido / u_pen con sup interno EXACTO) FUERA del carril, con autorizacion humana explicita.
